Species,decimalLongitude,decimalLatitude
Coffea arabica,-51.2,-23.33
Coffea arabica,-60.720125,2.792337
Coffea arabica,-43.17,-22.3
Coffea arabica,-46.67,-23.47
Coffea arabica,-45.44,-22.94
Coffea arabica,-43.998585,-19.886948
Coffea arabica,-40.636539,-19.965394
Coffea arabica,-46.628551,-23.574686
Coffea arabica,-45.344444,-23.915
Coffea arabica,-46.71,-23.15
Coffea arabica,-60.672969,-3.219396
Coffea arabica,-46.330068,-18.932691
Coffea arabica,-52.597778,-23.649167
Coffea arabica,-52.597972,-23.649306
Coffea arabica,-53.91,-28.41
Coffea arabica,-46.933045,-23.148455
Coffea arabica,-49.54,-25.68
Coffea arabica,-46.83,-23.22
Coffea arabica,-55.485337,-11.864592
Coffea arabica,-43.455422,-22.902425
Coffea arabica,-49.280409,-26.803513
Coffea arabica,-38.922802,-4.227718
Coffea arabica,-46.51543,-23.48376
Coffea arabica,-46.730072,-23.56199
Coffea arabica,-46.728332,-23.563092
Coffea arabica,-46.728329,-23.562633
Coffea arabica,-46.728293,-23.562774
Coffea arabica,-46.728548,-23.562881
Coffea arabica,-43.18,-22.64
Coffea arabica,-43.32,-22.79
Coffea arabica,-43.370767,-21.729955
Coffea arabica,-38.945556,-12.264167
Coffea arabica,-46.35,-23.97
Coffea arabica,-42.02,-22.05
Coffea arabica,-52.34,-31.78
Coffea arabica,-46.69,-23.59
Coffea arabica,-46.757452,-23.458819
Coffea arabica,-43.47,-21.73
Coffea arabica,-43.416389,-22.473611
Coffea arabica,-46.882466,-23.585662
Coffea arabica,-46.82,-23.23
Coffea arabica,-48.503288,-27.602387
Coffea arabica,-44.28,-23.13
Coffea arabica,-70.65,-8.17
Coffea arabica,-46.53,-23.66
Coffea arabica,-46.9,-23.17
Coffea arabica,-45.83,-21.4
Coffea arabica,-46.67,-23.47
Coffea arabica,-54.61,-20.5
Coffea arabica,-49.18,-26.86
Coffea arabica,-46.26,-23.34
Coffea arabica,-49.282479,-26.803245
Coffea arabica,-45.53,-20.31
Coffea arabica,-51.23,-30.07
Coffea arabica,-40.33,-20.35
Coffea arabica,-43.416389,-22.473611
Coffea arabica,-46.642845,-23.636082
Coffea arabica,-46.96,-23.86
Coffea arabica,-43.17,-22.3
Coffea arabica,-46.6,-23.59
Coffea arabica,-46.10675,-15.912998
Coffea arabica,13,-13.011389
Coffea arabica,-46.58,-23.46
Coffea arabica,-43.876495,-16.721064
Coffea arabica,-49.748611,-3.015
Coffea arabica,-46.68,-23.61
Coffea arabica,-46.68,-23.61
Coffea arabica,-46.66,-23.59
Coffea arabica,-51.34,-22.06
Coffea arabica,-46.729929,-23.583427
Coffea arabica,-46.728673,-23.583854
Coffea arabica,-56.071389,-15.673472
Coffea arabica,-38.433333,-12.783333
Coffea arabica,-41.66,-21.14
Coffea arabica,-46.32,-23.96
Coffea arabica,-40.147244,-19.056328
Coffea arabica,-46.664661,-23.562439
Coffea arabica,-47.24,-22.82
Coffea arabica,-47.42,-22.56
Coffea arabica,-43.238055,-22.915833
Coffea arabica,-43.359106,-21.745224
Coffea arabica,-46.624261,-23.638543
Coffea arabica,-46.58,-23.46
