Species,decimalLongitude,decimalLatitude
Coix lacryma-jobi,-42.990408,-22.177404
Coix lacryma-jobi,-46.300483,-23.779035
Coix lacryma-jobi,-49.48967,-28.430375
Coix lacryma-jobi,-46.624261,-23.442162
Coix lacryma-jobi,-49.57331,-25.472909
Coix lacryma-jobi,-51.539722,-27.043333
Coix lacryma-jobi,-41.02725,-20.380906
Coix lacryma-jobi,-49.507495,-28.488043
Coix lacryma-jobi,-48.420757,-24.270067
Coix lacryma-jobi,-49.787161,-26.097598
Coix lacryma-jobi,-42.859993,-20.765082
Coix lacryma-jobi,-46.819855,-19.006602
Coix lacryma-jobi,-51.359,-24.28175
Coix lacryma-jobi,-48.877399,-27.064589
Coix lacryma-jobi,-49.497992000000004,-27.108291
Coix lacryma-jobi,-48.918921,-26.293696
Coix lacryma-jobi,-51.919208,-23.482784
Coix lacryma-jobi,-48.455768,-24.248428
Coix lacryma-jobi,-44.91994,-19.914106
Coix lacryma-jobi,-47.834044,-15.634273
Coix lacryma-jobi,-49.324471,-25.472556
Coix lacryma-jobi,-49.323763,-25.472955
Coix lacryma-jobi,-49.324394,-25.472314
Coix lacryma-jobi,-46.163013,-19.005038
Coix lacryma-jobi,-49.283245,-25.398629
Coix lacryma-jobi,-39.459167,-14.993889
Coix lacryma-jobi,-49.372295,-26.560256
Coix lacryma-jobi,-41.298991,-21.737734
Coix lacryma-jobi,-49.372295,-26.560256
Coix lacryma-jobi,-53.756327,-29.706463
Coix lacryma-jobi,-46.301333,-23.776955
Coix lacryma-jobi,-46.313136,-23.774315
Coix lacryma-jobi,-52.152778,-24.313333
Coix lacryma-jobi,-52.152972,-24.313333
Coix lacryma-jobi,-51.097995,-29.962435
Coix lacryma-jobi,-38.311974,-12.605641
Coix lacryma-jobi,-56.141307,-15.700338
Coix lacryma-jobi,-46.582115,-23.441611
Coix lacryma-jobi,-48.633333,-23.033333
Coix lacryma-jobi,-48.994462,-17.759443
Coix lacryma-jobi,-46.397378,-23.688165
Coix lacryma-jobi,-48.420857,-24.270368
Coix lacryma-jobi,-48.415062,-24.270244
Coix lacryma-jobi,-43.933444,-19.900041
Coix lacryma-jobi,-48.994383,-17.75933
Coix lacryma-jobi,-46.54727,-23.470528
Coix lacryma-jobi,-41.747018,-20.847271
Coix lacryma-jobi,-54.875207,-11.50423
Coix lacryma-jobi,-42.557575,-21.003447
Coix lacryma-jobi,-47.486174,-23.576629
Coix lacryma-jobi,-46.294819,-23.666757
Coix lacryma-jobi,-46.81983,-19.006394
Coix lacryma-jobi,-47.275833,-14.035278
Coix lacryma-jobi,-40.295,-20.282222
Coix lacryma-jobi,-49.980839,-22.185938
Coix lacryma-jobi,-42.042302,-20.962874
Coix lacryma-jobi,-36.768611,-8.317778
Coix lacryma-jobi,-52.007155,-27.392581
Coix lacryma-jobi,-49.251991,-25.338757
Coix lacryma-jobi,-48.023333,-15.803889
Coix lacryma-jobi,-46.578054,-23.776876
Coix lacryma-jobi,-49.438944,-16.765161
Coix lacryma-jobi,-49.205848,-25.402176
Coix lacryma-jobi,-48.42018,-24.270345
Coix lacryma-jobi,-52.621889,-27.070448
Coix lacryma-jobi,-52.227713,-31.774717
Coix lacryma-jobi,-53.827329,-29.082199
Coix lacryma-jobi,-43.108953,-20.917602
Coix lacryma-jobi,-49.375522,-25.604699
Coix lacryma-jobi,-51.523277,-29.163977
Coix lacryma-jobi,-39.820046,-13.290755
Coix lacryma-jobi,-46.445494,-23.757303
Coix lacryma-jobi,-46.633611,-24.070556
Coix lacryma-jobi,-48.618247,-26.267567
