Species,decimalLongitude,decimalLatitude
Colossoma macropomum,-60.022506,-3.140947
Colossoma macropomum,-67.867327,-9.958258
Colossoma macropomum,-55.725786,-12.507452
Colossoma macropomum,-58.465715,-3.073705
Colossoma macropomum,-60.022492,-3.140994
Colossoma macropomum,-37.439219,-11.270652
Colossoma macropomum,-46.922829,-1.193285
Colossoma macropomum,-46.922829,-1.193285
Colossoma macropomum,-46.922829,-1.193285
Colossoma macropomum,-54.883121,-2.537666
Colossoma macropomum,-60.021731,-3.119027
Colossoma macropomum,-49.293188,-20.930253
Colossoma macropomum,-54.141497,-17.199965
Colossoma macropomum,-48.226524,-15.771584
Colossoma macropomum,-43.295193,-22.953733
Colossoma macropomum,-70.032617,-4.393702
Colossoma macropomum,-56.083181,-9.880018
Colossoma macropomum,-40.658208,-20.36257
Colossoma macropomum,-37.301872,-11.309744
Colossoma macropomum,-48.363,-9.75
Colossoma macropomum,-60.033788,-2.991768
Colossoma macropomum,-61.803333,-4.288611
Colossoma macropomum,-48.418759,-18.893197
Colossoma macropomum,-59.928333,-3.156111
Colossoma macropomum,-48.17,-21.14
Colossoma macropomum,-63.003611,-10.065278
Colossoma macropomum,-54.70468,-2.419183
Colossoma macropomum,-54.704712,-2.419145
Colossoma macropomum,-58.441417,-3.074667
Colossoma macropomum,-70.281720000000007,-4.49659
Colossoma macropomum,-40.9617,-19.9294
Colossoma macropomum,-43.888778,-22.720528
Colossoma macropomum,-54.85775,-2.191472
Colossoma macropomum,-54.890833,-2.435944
Colossoma macropomum,-55.06778,-2.112578
Colossoma macropomum,-59.003611,-3.475833
Colossoma macropomum,-60.025021,-3.137827
Colossoma macropomum,-60.02628,-2.050608
Colossoma macropomum,-59.908056,-3.163056
Colossoma macropomum,-45.253417,-5.502917
Colossoma macropomum,-45.253417,-5.502917
Colossoma macropomum,-56.111625,-15.24795
Colossoma macropomum,-39.584,-15.963
Colossoma macropomum,-64.848333,-9.365833
Colossoma macropomum,-61.659861,-9.009528
Colossoma macropomum,-55.301944,-3.295833
Colossoma macropomum,-60.022133,-3.141177
Colossoma macropomum,-48.638333,-5.919167
Colossoma macropomum,-64.647222,-9.265833
Colossoma macropomum,-59.827523,-3.197781
Colossoma macropomum,-60.016666,-3.1
Colossoma macropomum,-43.73278,-2.86556
Colossoma macropomum,-43.73278,-2.86556
Colossoma macropomum,-67.478116,-5.496147
Colossoma macropomum,-60.0167,-3.1
Colossoma macropomum,-59.471944,-1.92
Colossoma macropomum,-64.7092,-3.34737
Colossoma macropomum,-64.669647,-2.588688
Colossoma macropomum,-67.858611,-5.905556
Colossoma macropomum,-60.209444,-3.3475
Colossoma macropomum,-51.88,-23.264167
Colossoma macropomum,-51.88,-23.264167
Colossoma macropomum,-48.548333,-17.726944
Colossoma macropomum,-54.733334,-1.933333
Colossoma macropomum,-54.733334,-1.933333
Colossoma macropomum,-44.1,-22.5
Colossoma macropomum,-44.1,-22.5
Colossoma macropomum,-48.220857,-20.025828
Colossoma macropomum,-59.71548,-3.154326
Colossoma macropomum,-59.71548,-3.154326
Colossoma macropomum,-62.875833,-8.027778
Colossoma macropomum,-62.875833,-8.027778
Colossoma macropomum,-62.883333,-8.05
Colossoma macropomum,-62.875833,-8.027778
Colossoma macropomum,-64.7,-2.5
Colossoma macropomum,-62.875833,-8.027778
Colossoma macropomum,-60.283333,-3.416667
Colossoma macropomum,-60.033333,-3.133333
Colossoma macropomum,-62.875833,-8.027778
Colossoma macropomum,-58.433333,-3.15
Colossoma macropomum,-60,-3.116667
Colossoma macropomum,-60,-3.116667
Colossoma macropomum,-60,-3.116667
Colossoma macropomum,-60,-3.116667
Colossoma macropomum,-60.283333,-3.416667
Colossoma macropomum,-60,-3.116667
Colossoma macropomum,-58.95,-3.3
Colossoma macropomum,-63.333333,-3.916667
Colossoma macropomum,-66.1,-2.516667
Colossoma macropomum,-67.95,-3.133333
Colossoma macropomum,-66.766667,-2.733333
Colossoma macropomum,-55.866667,-1.766667
Colossoma macropomum,-55.9,-1.766667
Colossoma macropomum,-55.833333,-1.866667
Colossoma macropomum,-55.833333,-1.866667
Colossoma macropomum,-55.833333,-1.866667
Colossoma macropomum,-55.833333,-1.866667
Colossoma macropomum,-58.933333,-3.433333
Colossoma macropomum,-60.633333,-3.283333
Colossoma macropomum,-60.633333,-3.283333
Colossoma macropomum,-60.633333,-3.283333
Colossoma macropomum,-60,-3.116667
Colossoma macropomum,-54.733333,-2.416667
Colossoma macropomum,-56.102587,-2.156546
Colossoma macropomum,-55.238951,-2.198086
Colossoma macropomum,-60.61667,-3.3
Colossoma macropomum,-60.283333,-3.416667
Colossoma macropomum,-54.717992,-2.407093
Colossoma macropomum,-54.739873,-2.413969
Colossoma macropomum,-60.022531,-3.151728
Colossoma macropomum,-56.75833,-2.64167
