Species,decimalLongitude,decimalLatitude
Columba livia,-49.519211,-25.450851
Columba livia,-35.738943,-9.627469
Columba livia,-46.624731,-23.583106
Columba livia,-46.133373,-23.852815
Columba livia,-48.474863,-25.709031
Columba livia,-40.420302,-20.26431
Columba livia,-40.420302,-20.26431
Columba livia,-43.496097,-22.958031
Columba livia,-40.287407,-20.271381
Columba livia,-39.853883,-18.720526
Columba livia,-47.750443,-22.911267
Columba livia,-34.890721,-8.067184
Columba livia,-47.905774,-22.031527
Columba livia,-38.570635,-3.733084
Columba livia,-35.207978,-5.786403
Columba livia,-41.943271,-18.873133
Columba livia,-36.630043,-9.415002
Columba livia,-56.04,-15.61
Columba livia,-35.85526,-9.772806
Columba livia,-35.221395,-9.012716
Columba livia,-34.882897,-8.057838
Columba livia,-34.882897,-8.057838
Columba livia,-49.257076,-25.436285
Columba livia,-48.956307,-28.443691
Columba livia,-35.289724,-8.116825
Columba livia,-35.729959,-9.657198
Columba livia,-46.10594,-15.907699
Columba livia,-40.057406,-19.37609
Columba livia,-35.249815,-5.761071
Columba livia,-47.089279,-22.891444
Columba livia,-47.089242,-22.891542
Columba livia,-47.089024,-22.891798
Columba livia,-46.100299,-15.913261
Columba livia,-50.905999,-17.804606
Columba livia,-46.110168,-15.907587
Columba livia,-43.219524,-22.966689
Columba livia,-49.05778,-26.922127
Columba livia,-49.030117,-28.476203
Columba livia,-47.896875,-22.006884
Columba livia,-46.441339,-23.493391
Columba livia,-44.54092,-14.182893
Columba livia,-49.066075,-26.919677
Columba livia,-48.070788,-15.899698
Columba livia,-43.93436,-19.923693
Columba livia,-44.538385,-14.176418
Columba livia,-44.532916,-14.178049
Columba livia,-47.45279,-21.957766
Columba livia,-44.535042,-14.180984
Columba livia,-43.210687,-22.112049
Columba livia,-44.53447,-14.178672
Columba livia,-49.226509,-25.448203
Columba livia,-56.073532,-9.846968
Columba livia,-46.564767,-23.540577
Columba livia,-35.010566,-8.503529
Columba livia,-44.542139,-14.180169
Columba livia,-53.716046,-29.705291
Columba livia,-48.042851,-15.850949
Columba livia,-51.305799,-14.299192
