Species,decimalLongitude,decimalLatitude
Corbicula fluminea,-48.921897,-26.294086
Corbicula fluminea,-48.517715,-24.773616
Corbicula fluminea,-50.605817,-23.920775
Corbicula fluminea,-47.869877,-15.749791
Corbicula fluminea,-51.241322,-30.034713
Corbicula fluminea,-48.912361,-26.298192
Corbicula fluminea,-48.905669,-26.302786
Corbicula fluminea,-47.867257,-15.752561
Corbicula fluminea,-54.846588,-2.4180450000000002
Corbicula fluminea,-52.327306,-23.931213
Corbicula fluminea,-49.914226,-6.073886
Corbicula fluminea,-41.477713,-21.754199
Corbicula fluminea,-49.914262,-6.073805
Corbicula fluminea,-47.867287,-15.752553
Corbicula fluminea,-38.047537,-4.218308
Corbicula fluminea,-52.58132,-32.499087
Corbicula fluminea,-48.921897,-26.294086
Corbicula fluminea,-48.912361,-26.298192
Corbicula fluminea,-50.040186,-29.814147
Corbicula fluminea,-50.203617,-29.912003
Corbicula fluminea,-47.02245,-22.905722
Corbicula fluminea,-47.019555,-22.904202
Corbicula fluminea,-48.912361,-26.298192
Corbicula fluminea,-48.905669,-26.302786
Corbicula fluminea,-47.869852,-15.749771
Corbicula fluminea,-46.726628,-22.459713
Corbicula fluminea,-51.827435,-26.701415
Corbicula fluminea,-47.869837,-15.749794
Corbicula fluminea,-47.869787,-15.749837
Corbicula fluminea,-48.802331,-26.213242
Corbicula fluminea,-48.912361,-26.298192
Corbicula fluminea,-47.867269,-15.752459
Corbicula fluminea,-47.867283,-15.752475
Corbicula fluminea,-47.869844,-15.749777
Corbicula fluminea,-47.867257,-15.752466
Corbicula fluminea,-47.867257,-15.752506
Corbicula fluminea,-47.867277,-15.752487
Corbicula fluminea,-47.867273,-15.752485
Corbicula fluminea,-48.802331,-26.213242
Corbicula fluminea,-47.869786,-15.749822
Corbicula fluminea,-53.48445,-25.727553
Corbicula fluminea,-47.311158,-16.036822
Corbicula fluminea,-47.867289,-15.752479
Corbicula fluminea,-47.867255,-15.752537
Corbicula fluminea,-51.239444,-30.042536
Corbicula fluminea,-51.420362,-23.536515
Corbicula fluminea,-72.298867,-9.039103
Corbicula fluminea,-47.867268,-15.752472
Corbicula fluminea,-47.869865,-15.749775
Corbicula fluminea,-47.86726,-15.752491
Corbicula fluminea,-54.493343,-25.61598
Corbicula fluminea,-50.428317,-30.52442
Corbicula fluminea,-50.379842,-29.988387
Corbicula fluminea,-50.379733,-29.988291
Corbicula fluminea,-54.809227,-2.412777
Corbicula fluminea,-50.167881,-29.829704
Corbicula fluminea,-51.243674,-30.074829
Corbicula fluminea,-54.960573,-2.492817
Corbicula fluminea,-54.726913,-2.417978
Corbicula fluminea,-54.733378,-2.417473
Corbicula fluminea,-47.019878,-22.902987
Corbicula fluminea,-43.691412,-20.523639
Corbicula fluminea,-46.770722,-22.260958
Corbicula fluminea,-54.910617,-2.438047
Corbicula fluminea,-54.981693,-2.47062
Corbicula fluminea,-54.733803,-2.417908
Corbicula fluminea,-54.734045,-2.417692
Corbicula fluminea,-54.731598,-2.418202
Corbicula fluminea,-54.742018,-2.41676
Corbicula fluminea,-54.742045,-2.41677
Corbicula fluminea,-54.735082,-2.416517
Corbicula fluminea,-54.614068,-2.384062
Corbicula fluminea,-54.747732,-2.423401
Corbicula fluminea,-54.983249,-2.470811
Corbicula fluminea,-54.7267,-2.417918
Corbicula fluminea,-47.02162,-22.905112
