scientific_name,decimalLongitude,decimalLatitude
Corbicula largillierti,-51.827388,-26.701372
Corbicula largillierti,-45.28777,-18.219955
Corbicula largillierti,-49.295084,-26.780252
Corbicula largillierti,-49.1535,-5.351544
Corbicula largillierti,-49.1535,-5.351544
Corbicula largillierti,-49.206506,-5.337433
Corbicula largillierti,-49.206506,-5.337433
Corbicula largillierti,-49.236994,-5.299603
Corbicula largillierti,-49.262533,-5.255681
Corbicula largillierti,-49.317953,-5.128361
Corbicula largillierti,-49.206506,-5.337433
Corbicula largillierti,-55.342778,-28.083056
Corbicula largillierti,-51.074444,-26.2425
Corbicula largillierti,-51.074444,-26.2425
Corbicula largillierti,-51.179167,-29.861667
Corbicula largillierti,-52.355278,-29.994167
Corbicula largillierti,-52.376944,-29.996389
Corbicula largillierti,-52.065,-31.001111
Corbicula largillierti,-52.594167,-32.508056
Corbicula largillierti,-52.594167,-32.508056
Corbicula largillierti,-50.642222,-30.47
Corbicula largillierti,-57.014167,-29.741389
Corbicula largillierti,-57.101944,-29.839722
Corbicula largillierti,-56.833889,-29.560278
Corbicula largillierti,-56.833889,-29.560278
Corbicula largillierti,-50.642222,-30.47
Corbicula largillierti,-50.271111,-30.339444
Corbicula largillierti,-50.271111,-30.339444
Corbicula largillierti,-51.275,-29.844167
Corbicula largillierti,-51.226389,-30.014167
Corbicula largillierti,-41.843963,-21.592404
Corbicula largillierti,-51.987222,-31.353611
Corbicula largillierti,-51.987222,-31.353611
Corbicula largillierti,-50.793056,-29.563333
Corbicula largillierti,-50.822778,-29.630556
Corbicula largillierti,-50.793056,-29.563333
Corbicula largillierti,-56.430278,-14.834694
Corbicula largillierti,-57.101944,-29.816667
Corbicula largillierti,-56.122222,-15.649444
Corbicula largillierti,-51.226389,-30.014167
Corbicula largillierti,-56.122222,-15.649444
Corbicula largillierti,-56.430278,-14.834694
Corbicula largillierti,-52.281944,-27.704167
Corbicula largillierti,-52.281944,-27.704167
Corbicula largillierti,-53.484194,-30.969361
Corbicula largillierti,-51.706944,-29.911944
Corbicula largillierti,-55.978056,-28.654167
Corbicula largillierti,-55.978056,-28.654167
Corbicula largillierti,-55.978056,-28.654167
Corbicula largillierti,-51.226389,-30.014167
