scientific_name,decimalLongitude,decimalLatitude
Cordyline fruticosa,-47.875424,-21.984659
Cordyline fruticosa,-43.302128,-22.549037
Cordyline fruticosa,-38.983889,-12.237222
Cordyline fruticosa,-38.945556,-12.261389
Cordyline fruticosa,-52.418944,-24.031028
Cordyline fruticosa,-38.929722,-12.236389
Cordyline fruticosa,-47.412701,-22.17799
Cordyline fruticosa,-42.787244,-5.066869
Cordyline fruticosa,-43.421123,-22.628998
Cordyline fruticosa,-43.529203,-22.808463
Cordyline fruticosa,-46.655028,-23.80367
Cordyline fruticosa,-46.655321,-23.80693
Cordyline fruticosa,-43.226667,-22.9675
Cordyline fruticosa,-43.226667,-22.9675
Cordyline fruticosa,-43.226667,-22.9675
Cordyline fruticosa,-43.226667,-22.9675
Cordyline fruticosa,-38.433333,-12.783333
Cordyline fruticosa,-54.6125,-20.504444
Cordyline fruticosa,-54.6125,-20.504444
Cordyline fruticosa,-38.966667,-12.266667
Cordyline fruticosa,-38.014406,-12.5814
Cordyline fruticosa,-64.90802,-1.890037
Cordyline fruticosa,-43.438268,-22.586237
Cordyline fruticosa,-43.438268,-22.586237
Cordyline fruticosa,-54.570914,-25.550064
Cordyline fruticosa,-36.377222,-10.206667
Cordyline fruticosa,-39.5775,-16.349444
Cordyline fruticosa,-47.412576,-23.47636
Cordyline fruticosa,-43.23185,-22.925742
Cordyline fruticosa,-39.578333,-16.349722
Cordyline fruticosa,-49.255128,-16.63238
Cordyline fruticosa,-49.25407,-16.632663
Cordyline fruticosa,-49.25407,-16.632663
Cordyline fruticosa,-48.274957,-18.86237
Cordyline fruticosa,-53.429442,-24.950722
Cordyline fruticosa,-43.24139,-22.910866
Cordyline fruticosa,-44.315759,-23.005735
Cordyline fruticosa,-43.07096,-22.253752
Cordyline fruticosa,-49.304199,-25.416007
Cordyline fruticosa,-47.886446,-15.743062
Cordyline fruticosa,-49.304199,-25.416007
Cordyline fruticosa,-43.295193,-22.953733
Cordyline fruticosa,-47.88995,-15.740917
Cordyline fruticosa,-43.256617,-22.924272
Cordyline fruticosa,-43.01195,-22.261827
Cordyline fruticosa,-49.350692,-16.692645
Cordyline fruticosa,-44.220458,-20.124479
Cordyline fruticosa,-40.689392,-20.367552
Cordyline fruticosa,-40.600622,-19.937336
Cordyline fruticosa,-43.99248,-22.913137
Cordyline fruticosa,-49.221222,-16.62533
Cordyline fruticosa,-43.011832,-22.26208
Cordyline fruticosa,-43.210567,-22.95252
Cordyline fruticosa,-51.201717,-30.097131
Cordyline fruticosa,-49.301804,-25.415532
Cordyline fruticosa,-43.072728,-22.185222
Cordyline fruticosa,-40.687339,-16.185366
Cordyline fruticosa,-39.567863,-15.386003
Cordyline fruticosa,-47.050025,-22.872874
Cordyline fruticosa,-43.011237,-22.261984000000002
Cordyline fruticosa,-45.136646,-23.498315
Cordyline fruticosa,-44.793407,-23.212765
Cordyline fruticosa,-47.879476,-23.359972
Cordyline fruticosa,-44.61107,-22.44021
Cordyline fruticosa,-43.07096,-22.253752
Cordyline fruticosa,-61.049914,-13.480845
Cordyline fruticosa,-54.566111,-25.501944
Cordyline fruticosa,-54.566111,-25.501944
Cordyline fruticosa,-48.833333,-23.016667
Cordyline fruticosa,-47.889465,-15.777092
Cordyline fruticosa,-47.957924,-19.736558
Cordyline fruticosa,-40.303262,-20.269419
Cordyline fruticosa,-43.434962,-22.702488
Cordyline fruticosa,-47.878333,-15.947778
Cordyline fruticosa,-47.018455,-22.904757
Cordyline fruticosa,-43.400974,-22.565314
Cordyline fruticosa,-39.095728,-16.587123
Cordyline fruticosa,-43.295193,-22.953733
Cordyline fruticosa,-43.295193,-22.953733
Cordyline fruticosa,-38.629641,-3.957098
Cordyline fruticosa,-40.600567,-19.933977
Cordyline fruticosa,-43.295193,-22.953733
Cordyline fruticosa,-51.195844,-23.326669
Cordyline fruticosa,-54.470278,-25.620833
Cordyline fruticosa,-54.470166999999996,-25.620778
Cordyline fruticosa,-57.238833,-15.631583
Cordyline fruticosa,-46.728056,-23.5625
Cordyline fruticosa,-46.655278,-23.476389
Cordyline fruticosa,-54.470278,-25.620833
Cordyline fruticosa,-54.470306,-25.620861
Cordyline fruticosa,-43.404834,-22.655488
Cordyline fruticosa,-43.396775,-22.667833
