scientific_name,decimalLongitude,decimalLatitude
Coreopsis tinctoria,-49.220572,-25.518128
Coreopsis tinctoria,-50.982288,-25.225273
Coreopsis tinctoria,-50.90557,-27.034926
Coreopsis tinctoria,-49.208919,-25.454835
Coreopsis tinctoria,-49.161332,-25.448346
Coreopsis tinctoria,-48.654234,-27.561859
Coreopsis tinctoria,-49.059526,-25.300242
Coreopsis tinctoria,-48.662455,-26.826692
Coreopsis tinctoria,-51.977862,-29.511514
Coreopsis tinctoria,-53.756491,-29.706098
Coreopsis tinctoria,-52.391025,-26.875242
Coreopsis tinctoria,-49.727618,-25.304807
Coreopsis tinctoria,-48.650909,-26.808465
Coreopsis tinctoria,-49.332768,-28.517682
Coreopsis tinctoria,-48.650073,-26.816027
Coreopsis tinctoria,-48.884176,-27.067811
Coreopsis tinctoria,-48.884241,-27.067936
Coreopsis tinctoria,-48.884232,-27.067681
Coreopsis tinctoria,-48.636511,-26.831675
Coreopsis tinctoria,-49.122247,-25.378215
Coreopsis tinctoria,-53.756255,-29.706772
Coreopsis tinctoria,-49.517588,-25.559115
Coreopsis tinctoria,-49.232275,-25.446637
Coreopsis tinctoria,-49.232647,-25.448146
Coreopsis tinctoria,-53.130755,-29.418725
Coreopsis tinctoria,-47.970214,-16.091168
Coreopsis tinctoria,-48.650073,-26.816027
Coreopsis tinctoria,-49.322516,-25.787649
Coreopsis tinctoria,-53.759717,-29.702871
Coreopsis tinctoria,-48.814053,-24.54047
Coreopsis tinctoria,-48.650073,-26.816027
Coreopsis tinctoria,-48.650073,-26.816027
Coreopsis tinctoria,-49.191667,-25.480833
Coreopsis tinctoria,-49.191667,-25.480833
Coreopsis tinctoria,-49.068889,-25.484152
Coreopsis tinctoria,-52.56,-27.074722
Coreopsis tinctoria,-49.592789,-25.721203
Coreopsis tinctoria,-52.389444,-26.875278
Coreopsis tinctoria,-52.389444,-26.875278
Coreopsis tinctoria,-51.034094,-29.982098
Coreopsis tinctoria,-49.4266,-25.4644
Coreopsis tinctoria,-49.236556,-25.456561
Coreopsis tinctoria,-49.207222,-25.379722
Coreopsis tinctoria,-49.207222,-25.379722
Coreopsis tinctoria,-49.417222,-26.221111
Coreopsis tinctoria,-49.417222,-26.221111
Coreopsis tinctoria,-49.417222,-26.221111
Coreopsis tinctoria,-51.933583,-23.406306
Coreopsis tinctoria,-49.417222,-26.221111
Coreopsis tinctoria,-49.417222,-26.221111
Coreopsis tinctoria,-50.591222,-25.404598
Coreopsis tinctoria,-49.371111,-26.278333
Coreopsis tinctoria,-48.642222,-26.831944
Coreopsis tinctoria,-48.642222,-26.831944
Coreopsis tinctoria,-48.535278,-27.613056
Coreopsis tinctoria,-48.535278,-27.613056
Coreopsis tinctoria,-49.129,-25.378861
Coreopsis tinctoria,-49.1205,-25.380722
Coreopsis tinctoria,-52.389017,-26.873299
Coreopsis tinctoria,-49.119861,-25.380194
Coreopsis tinctoria,-49.120722,-25.384028
Coreopsis tinctoria,-49.233333,-25.433333
Coreopsis tinctoria,-49.233333,-25.433333
Coreopsis tinctoria,-49.183333,-25.516667
Coreopsis tinctoria,-49.183333,-25.516667
Coreopsis tinctoria,-52.396389,-30.195
Coreopsis tinctoria,-49.233333,-25.333333
Coreopsis tinctoria,-46.63,-23.54
Coreopsis tinctoria,-46.63,-23.54
