scientific_name,decimalLongitude,decimalLatitude
Cortaderia selloana,-49.054364,-25.4151
Cortaderia selloana,-49.2123,-28.781687
Cortaderia selloana,-49.038568,-25.410958
Cortaderia selloana,-53.700504,-29.708357
Cortaderia selloana,-50.906428,-27.034773
Cortaderia selloana,-51.831048,-26.732299
Cortaderia selloana,-49.539733,-25.546694
Cortaderia selloana,-49.279652,-25.298501
Cortaderia selloana,-49.635303,-28.154707
Cortaderia selloana,-48.626603,-26.932475
Cortaderia selloana,-49.466614,-28.884793
Cortaderia selloana,-45.884907,-23.169613
Cortaderia selloana,-49.055683,-25.416892
Cortaderia selloana,-48.964937,-25.34679
Cortaderia selloana,-52.316392,-31.765482
Cortaderia selloana,-50.229836,-29.490368
Cortaderia selloana,-51.241518,-30.037735
Cortaderia selloana,-48.833857,-25.239847
Cortaderia selloana,-50.126433,-27.096564
Cortaderia selloana,-50.126433,-27.096564
Cortaderia selloana,-50.172528,-29.354692
Cortaderia selloana,-46.72762,-23.503756
Cortaderia selloana,-52.316398,-31.765553
Cortaderia selloana,-52.539531,-31.765574
Cortaderia selloana,-51.233753,-30.056859
Cortaderia selloana,-49.125255,-25.507583
Cortaderia selloana,-48.943869,-25.303828
Cortaderia selloana,-48.884296,-25.190532
Cortaderia selloana,-48.840557,-25.110403
Cortaderia selloana,-49.386979,-26.251977
Cortaderia selloana,-49.262042,-25.341156
Cortaderia selloana,-49.262316,-25.339908
Cortaderia selloana,-49.237274,-25.446672
Cortaderia selloana,-50.120212,-25.118409
Cortaderia selloana,-52.055844,-27.210194
Cortaderia selloana,-51.066693,-30.033578
Cortaderia selloana,-53.424217,-30.895869
Cortaderia selloana,-45.011749,-23.194848
Cortaderia selloana,-45.011749,-23.194848
Cortaderia selloana,-45.011749,-23.194848
Cortaderia selloana,-45.011749,-23.194848
Cortaderia selloana,-45.011749,-23.194848
Cortaderia selloana,-49.049542,-25.418337
Cortaderia selloana,-49.142416,-25.256798
Cortaderia selloana,-49.142416,-25.256798
Cortaderia selloana,-49.142416,-25.256798
Cortaderia selloana,-49.23653,-26.172129
Cortaderia selloana,-52.696373,-31.391587
Cortaderia selloana,-48.759785,-28.372864
Cortaderia selloana,-53.677627,-28.668047
Cortaderia selloana,-50.268851,-29.566804
Cortaderia selloana,-49.153889,-27.682778
Cortaderia selloana,-50.816667,-29.321389
Cortaderia selloana,-51.851667,-25.965833
Cortaderia selloana,-51.851778,-25.965778
Cortaderia selloana,-51.851778,-25.965778
Cortaderia selloana,-51.851667,-25.965556
Cortaderia selloana,-51.195464,-29.219535
Cortaderia selloana,-49.738055,-27.593611
Cortaderia selloana,-49.910688,-28.665072
Cortaderia selloana,-50.174721,-29.481388
Cortaderia selloana,-51.858917,-25.924167
Cortaderia selloana,-40.073889,-19.410833
Cortaderia selloana,-49.9275,-28.811667
Cortaderia selloana,-49.2875,-26.281389
Cortaderia selloana,-49.326944,-25.553333
Cortaderia selloana,-49.326944,-25.553333
Cortaderia selloana,-49.326944,-25.553333
Cortaderia selloana,-49.850857,-27.930208
Cortaderia selloana,-49.934105,-27.951378
Cortaderia selloana,-49.002472,-25.388194
Cortaderia selloana,-48.418056,-25.189167
Cortaderia selloana,-48.418056,-25.189167
Cortaderia selloana,-48.418139,-25.189167
Cortaderia selloana,-49.3478,-25.5889
Cortaderia selloana,-48.822222,-25.123056
Cortaderia selloana,-48.822333,-25.122972
Cortaderia selloana,-48.527222,-27.627778
Cortaderia selloana,-51.945,-29.401111
Cortaderia selloana,-49.22,-28.032222
Cortaderia selloana,-49.366944,-28.056389
Cortaderia selloana,-51.0225,-30.066389
Cortaderia selloana,-49.612222,-28.027778
Cortaderia selloana,-49.231944,-28.352778
Cortaderia selloana,-49.231944,-28.352778
Cortaderia selloana,-46.4999,-23.4186
Cortaderia selloana,-49.49,-28.1275
Cortaderia selloana,-49.113972,-25.384861
Cortaderia selloana,-49.235555,-26.365
Cortaderia selloana,-49.849722,-29.369444
Cortaderia selloana,-49.235555,-26.365
Cortaderia selloana,-49.879167,-27.916667
Cortaderia selloana,-51.717222,-17.923056
Cortaderia selloana,-49.640706,-28.339732
Cortaderia selloana,-52.268611,-29.383333
Cortaderia selloana,-50.890537,-29.219297
Cortaderia selloana,-49.129444,-28.638333
Cortaderia selloana,-49.129444,-28.638333
Cortaderia selloana,-51.16,-29.1769
Cortaderia selloana,-47.901667,-14.226111
Cortaderia selloana,-49.2523,-25.4139
Cortaderia selloana,-48.8317,-25.283
Cortaderia selloana,-44.283333,-23.166667
Cortaderia selloana,-40.6,-19.936111
Cortaderia selloana,-49.424722,-28.598333
Cortaderia selloana,-51.350083,-29.216889
Cortaderia selloana,-50.854669,-29.311825
Cortaderia selloana,-47.98,-24.85
Cortaderia selloana,-47.983333,-24.864444
Cortaderia selloana,-47.533333,-22.383333
Cortaderia selloana,-51.5051637,-27.1821948
Cortaderia selloana,-51.0788277,-26.2421851
Cortaderia selloana,-48.6683658,-27.6495142
Cortaderia selloana,-48.68972,-27.66389
Cortaderia selloana,-48.6,-25.9
Cortaderia selloana,-46.63333,-23.55
Cortaderia selloana,-46.63333,-23.55
Cortaderia selloana,-47.0608,-22.9056
Cortaderia selloana,-47.065751,-22.9056
Cortaderia selloana,-46.3861849,-21.9274384
