scientific_name,decimalLongitude,decimalLatitude
Corydoras nattereri,-46.176749,-23.35892
Corydoras nattereri,-46.192848,-23.362262
Corydoras nattereri,-46.024167,-23.566111
Corydoras nattereri,-48.591114,-24.581017
Corydoras nattereri,-39.303611,-16.985014
Corydoras nattereri,-41.632222,-21.810833
Corydoras nattereri,-41.739444,-21.836111
Corydoras nattereri,-41.839722,-22.198889
Corydoras nattereri,-41.320528,-21.076778
Corydoras nattereri,-41.32725,-21.319417
Corydoras nattereri,-41.338278,-21.089278
Corydoras nattereri,-41.320528,-21.076778
Corydoras nattereri,-48.749111,-25.527222
Corydoras nattereri,-48.749111,-25.527222
Corydoras nattereri,-41.369167,-21.523056
Corydoras nattereri,-43.09,-22.6
Corydoras nattereri,-43.09,-22.6
Corydoras nattereri,-43.09,-22.6
Corydoras nattereri,-48.287278,-24.609639
Corydoras nattereri,-48.591722,-24.580278
Corydoras nattereri,-48.287278,-24.609639
Corydoras nattereri,-48.591722,-24.580278
Corydoras nattereri,-40.686667,-19.835
Corydoras nattereri,-39.910583,-18.178806
Corydoras nattereri,-40.638444,-19.828583
Corydoras nattereri,-40.638444,-19.828583
Corydoras nattereri,-43.451611,-22.647222
Corydoras nattereri,-42.760556,-22.473611
Corydoras nattereri,-40.556111,-19.951944
Corydoras nattereri,-40.556111,-19.950278
Corydoras nattereri,-45.752778,-23.524167
Corydoras nattereri,-43.256111,-22.562222
Corydoras nattereri,-40.721111,-20.608333
Corydoras nattereri,-40.671944,-19.693333
Corydoras nattereri,-42.3,-22.47
Corydoras nattereri,-42.2975,-22.4675
Corydoras nattereri,-43.069167,-22.585833
Corydoras nattereri,-40.24,-18.31
Corydoras nattereri,-41.228889,-21.071667
Corydoras nattereri,-46.010556,-23.568056
Corydoras nattereri,-46.045,-23.664
Corydoras nattereri,-46.045,-23.664
Corydoras nattereri,-46.045,-23.664
Corydoras nattereri,-46.045,-23.664
Corydoras nattereri,-46.045,-23.664
Corydoras nattereri,-43.296,-22.166
Corydoras nattereri,-43.296,-22.166
Corydoras nattereri,-43.296,-22.166
Corydoras nattereri,-46.024,-23.369
Corydoras nattereri,-46.02,-23.37
Corydoras nattereri,-47.401667,-24.271944
Corydoras nattereri,-45.859055,-23.511194
Corydoras nattereri,-45.859055,-23.511194
Corydoras nattereri,-45.859055,-23.511194
Corydoras nattereri,-45.859055,-23.511194
Corydoras nattereri,-45.859055,-23.511194
Corydoras nattereri,-45.86,-23.51
Corydoras nattereri,-45.86,-23.51
Corydoras nattereri,-45.86,-23.51
Corydoras nattereri,-45.86,-23.51
Corydoras nattereri,-45.86,-23.51
Corydoras nattereri,-39.276944,-16.931944
Corydoras nattereri,-43.063889,-22.578333
Corydoras nattereri,-40.7419422,-20.7793813
Corydoras nattereri,-48.748889,-25.526944
Corydoras nattereri,-40.510833,-20.657778
Corydoras nattereri,-40.749722,-20.635
Corydoras nattereri,-39.843056,-18.306944
Corydoras nattereri,-48.068611,-24.756389
Corydoras nattereri,-39.602778,-17.790556
Corydoras nattereri,-40.174167,-17.846667
Corydoras nattereri,-39.512778,-16.233889
Corydoras nattereri,-39.610279,-17.40889
Corydoras nattereri,-39.977778,-18.355833
Corydoras nattereri,-40.762778,-19.189167
Corydoras nattereri,-42.758889,-22.435556
Corydoras nattereri,-42.35,-21.016667
Corydoras nattereri,-48.9843164,-24.6676747
Corydoras nattereri,-43.410833,-22.613333
Corydoras nattereri,-42.704444,-21.887778
Corydoras nattereri,-44.773889,-22.536944
Corydoras nattereri,-42.566667,-22.566667
Corydoras nattereri,-47.6701107,-24.6862794
Corydoras nattereri,-47.6407089,-24.1804771
Corydoras nattereri,-47.8560078,-24.3157769
Corydoras nattereri,-40.2525,-18.318056
Corydoras nattereri,-40.24139,-18.310278
Corydoras nattereri,-43.828333,-22.465556
Corydoras nattereri,-40.528333,-19.974167
Corydoras nattereri,-40.749722,-20.635
Corydoras nattereri,-40.77,-20.673889
Corydoras nattereri,-40.77,-20.673889
Corydoras nattereri,-47.477222,-24.207778
Corydoras nattereri,-39.893333,-18.097778
Corydoras nattereri,-41.075,-20.9175
Corydoras nattereri,-41.233056,-21.078611
Corydoras nattereri,-39.953333,-18.311389
Corydoras nattereri,-40.677778000000004,-19.826667
Corydoras nattereri,-41.2375,-21.068333
Corydoras nattereri,-43.828333,-22.465556
Corydoras nattereri,-47.4776069,-24.2082776
Corydoras nattereri,-42.894444,-22.503056
Corydoras nattereri,-48.2735154,-24.5910755
Corydoras nattereri,-39.877778,-18.708611
Corydoras nattereri,-42.816667,-22.516667
Corydoras nattereri,-43.113611,-22.393611
Corydoras nattereri,-43.826667,-22.470556
Corydoras nattereri,-43.826667,-22.470556
Corydoras nattereri,-46.017502,-23.574722
Corydoras nattereri,-45.870834,-23.512501
Corydoras nattereri,-46.191387,-23.673611
Corydoras nattereri,-42.659443,-22.485834
Corydoras nattereri,-46.017502,-23.575834
Corydoras nattereri,-46.098331,-23.570278
Corydoras nattereri,-43.037222,-22.539167
Corydoras nattereri,-43.045833,-22.589722
Corydoras nattereri,-43.038611,-22.616111
Corydoras nattereri,-42.661944,-22.486667
Corydoras nattereri,-39.5825,-17.019444
Corydoras nattereri,-44.025,-22.775
Corydoras nattereri,-43.166667,-22.116667
Corydoras nattereri,-42.716667,-21.9
Corydoras nattereri,-48.583332,-24.583334
Corydoras nattereri,-42.216667,-21.666667
Corydoras nattereri,-42.933333,-21.966667
Corydoras nattereri,-42.933333,-21.966667
Corydoras nattereri,-43.166667,-22.216667
Corydoras nattereri,-40.645833,-20.806111
Corydoras nattereri,-40.071944,-19.390833
Corydoras nattereri,-42.8,-21.9
Corydoras nattereri,-40.6175,-20.624722
Corydoras nattereri,-40.645833,-20.806111
Corydoras nattereri,-42.916667,-22
Corydoras nattereri,-43.066667,-22.1
Corydoras nattereri,-41.133333,-21.683333
Corydoras nattereri,-42.55,-21.833333
Corydoras nattereri,-42.95,-21.933333
Corydoras nattereri,-42.556389,-21.841944
Corydoras nattereri,-43,-22.016667
Corydoras nattereri,-41.783333,-21.266667
Corydoras nattereri,-40.645833,-20.806111
Corydoras nattereri,-42.6,-21.85
Corydoras nattereri,-43.016667,-22.016667
Corydoras nattereri,-42.866667,-21.933333
Corydoras nattereri,-43.016667,-22.033333
Corydoras nattereri,-42.116667,-21.7
Corydoras nattereri,-47.45,-24.283333
Corydoras nattereri,-47.833332,-24.366667
Corydoras nattereri,-40.422222,-20.202222
Corydoras nattereri,-42.716667,-21.9
Corydoras nattereri,-43,-22.016667
Corydoras nattereri,-43.15,-22.116667
Corydoras nattereri,-47.633333,-24.333333
Corydoras nattereri,-47.8,-24.75
Corydoras nattereri,-47.633333,-24.333333
Corydoras nattereri,-40.630556,-19.539167
Corydoras nattereri,-40.633335,-19.549999
Corydoras nattereri,-40.551667,-20.127778
Corydoras nattereri,-47.5,-24.316667
Corydoras nattereri,-47.45,-24.283333
Corydoras nattereri,-41.324444,-21.754444
Corydoras nattereri,-47.5,-24.316667
Corydoras nattereri,-47.633333,-24.333333
Corydoras nattereri,-48.083333,-24.483333
Corydoras nattereri,-48.116667,-24.533333
Corydoras nattereri,-43.433333,-22.766667
Corydoras nattereri,-47.45,-24.283333
Corydoras nattereri,-41.341944,-22.111389
Corydoras nattereri,-42.68,-22.48
Corydoras nattereri,-43.583333,-22.716667
Corydoras nattereri,-47.633333,-24.333333
Corydoras nattereri,-43.766667,-22.866667
Corydoras nattereri,-40.083333,-19.35
Corydoras nattereri,-47.834447,-24.489268
Corydoras nattereri,-43.233333,-22.9
Corydoras nattereri,-42.583333,-21.833333
Corydoras nattereri,-43.7,-22.85
Corydoras nattereri,-43.680887,-22.90801
Corydoras nattereri,-43.461814,-22.834834
Corydoras nattereri,-47.633333,-24.333333
Corydoras nattereri,-47.633333,-24.333333
Corydoras nattereri,-47.633333,-24.333333
Corydoras nattereri,-42.683333,-21.85
Corydoras nattereri,-48.829752,-25.477546
Corydoras nattereri,-41.349469,-22.025145
Corydoras nattereri,-43.201706,-22.117602
Corydoras nattereri,-41.051917,-21.636334
Corydoras nattereri,-41.317787,-21.753931
Corydoras nattereri,-42,-19
Corydoras nattereri,-42,-19
Corydoras nattereri,-39.83,-19.63
Corydoras nattereri,-47.633333,-24.333333
Corydoras nattereri,-39.5825,-17.019444
Corydoras nattereri,-42.465278,-22.545833
Corydoras nattereri,-42.657222,-22.478889
Corydoras nattereri,-41.954334,-21.086747
Corydoras nattereri,-40.645833,-20.806111
Corydoras nattereri,-40.645833,-20.806111
Corydoras nattereri,-42.76,-22.28
Corydoras nattereri,-42.76,-22.28
Corydoras nattereri,-43,-22.016667
Corydoras nattereri,-43.461814,-22.834834
Corydoras nattereri,-43.461814,-22.834834
Corydoras nattereri,-40.677642,-19.811928
Corydoras nattereri,-46.616667,-23.533333
