scientific_name,decimalLongitude,decimalLatitude
Coscinodiscus wailesii,-39.6175,-13.013333
Coscinodiscus wailesii,-39.475278,-13.286667
Coscinodiscus wailesii,-39.386667,-13.421389
Coscinodiscus wailesii,-39.323333,-13.399444
Coscinodiscus wailesii,-39.6175,-13.013333
Coscinodiscus wailesii,-39.4675,-13.250833
Coscinodiscus wailesii,-39.4825,-13.288056
Coscinodiscus wailesii,-39.475278,-13.286667
Coscinodiscus wailesii,-39.386667,-13.421389
Coscinodiscus wailesii,-39.323333,-13.399444
Coscinodiscus wailesii,-39.386667,-13.421389
Coscinodiscus wailesii,-39.475278,-13.286667
Coscinodiscus wailesii,-39.386667,-13.421389
Coscinodiscus wailesii,-39.323333,-13.399444
Coscinodiscus wailesii,-39.4825,-13.288056
Coscinodiscus wailesii,-39.475278,-13.286667
Coscinodiscus wailesii,-39.386667,-13.421389
Coscinodiscus wailesii,-39.475278,-13.286667
Coscinodiscus wailesii,-39.386667,-13.421389
Coscinodiscus wailesii,-39.323333,-13.399444
Coscinodiscus wailesii,-39.386667,-13.421389
Coscinodiscus wailesii,-39.323333,-13.399444
Coscinodiscus wailesii,-39.386667,-13.421389
Coscinodiscus wailesii,-39.323333,-13.399444
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
Coscinodiscus wailesii,-52.173,-32.206
