scientific_name,decimalLongitude,decimalLatitude
Cotoneaster franchetii,-49.596111,-25.465
Cotoneaster franchetii,-49.596111,-25.465
Cotoneaster franchetii,-49.596139,-25.465
Cotoneaster franchetii,-49.596139,-25.465
Cotoneaster franchetii,-49.596111,-25.465
Cotoneaster franchetii,-49.003228,-25.388123
Cotoneaster franchetii,-49.233192,-25.447778
Cotoneaster franchetii,-49.023889,-25.886111
Cotoneaster franchetii,-50.360643,-27.592464
Cotoneaster franchetii,-49.004722,-25.388056
Cotoneaster franchetii,-49.004722,-25.388055
Cotoneaster franchetii,-49.171944,-25.525833
Cotoneaster franchetii,-49.171944,-25.525833
Cotoneaster franchetii,-49.122306,-25.3815
Cotoneaster franchetii,-51.0345,-26.221444
