Species,decimalLongitude,decimalLatitude
Crotalaria retusa,-35.194948,-5.756438
Crotalaria retusa,-35.223515,-5.930694
Crotalaria retusa,-38.644083,-3.713819
Crotalaria retusa,-37.342389,-5.191911
Crotalaria retusa,-38.889216,-7.598487
Crotalaria retusa,-42.335894,-22.867308
Crotalaria retusa,-44.196954,-2.668003
Crotalaria retusa,-35.141893,-8.879374
Crotalaria retusa,-39.396952,-6.458875
Crotalaria retusa,-39.396777,-6.457125
Crotalaria retusa,-40.449722,-2.923333
Crotalaria retusa,-37.323538,-5.216255
Crotalaria retusa,-37.323167,-5.21657
Crotalaria retusa,-37.330433,-5.207255
Crotalaria retusa,-44.566389,-2.0625
Crotalaria retusa,-44.566944,-2.062778
Crotalaria retusa,-39.231944,-17.448055
Crotalaria retusa,-44.56968,-3.213445
Crotalaria retusa,-44.768889,-2.051944
Crotalaria retusa,-44.768889,-2.051944
Crotalaria retusa,-41.059091,-21.582289
Crotalaria retusa,-41.628995,-2.88982
Crotalaria retusa,-35.093056,-8.677222
Crotalaria retusa,-40.455892,-2.820761
Crotalaria retusa,-38.456282,-6.985287
Crotalaria retusa,-38.456121,-6.93606
Crotalaria retusa,-38.177253,-6.3286
Crotalaria retusa,-38.454949,-6.978817
Crotalaria retusa,-38.453425,-6.981837
Crotalaria retusa,-38.173997,-6.475924
Crotalaria retusa,-38.467666,-6.981473
Crotalaria retusa,-38.432399,-6.686283
Crotalaria retusa,-35.530626,-9.451483
Crotalaria retusa,-37.080515,-6.465316
Crotalaria retusa,-38.641164,-3.710736
Crotalaria retusa,-38.590833,-6.583889
Crotalaria retusa,-38.588387,-6.9111
Crotalaria retusa,-38.785535,-7.077548
Crotalaria retusa,-38.875883,-7.062646
Crotalaria retusa,-38.790741,-6.915873
Crotalaria retusa,-38.644411,-6.872674
Crotalaria retusa,-38.588226,-6.981368
Crotalaria retusa,-38.970089,-6.747206
Crotalaria retusa,-38.965874,-6.772864
Crotalaria retusa,-38.960502,-6.844725
Crotalaria retusa,-38.974792,-6.870109
Crotalaria retusa,-62.09123,-10.128411
Crotalaria retusa,-38.232189,-4.003473
Crotalaria retusa,-50.19328,-20.320118
Crotalaria retusa,-37.312675,-5.86982
Crotalaria retusa,-39.6875,-15.451667
Crotalaria retusa,-36.844877,-6.958811
Crotalaria retusa,-35.223515,-5.930694
Crotalaria retusa,-37.573445,-6.107461
Crotalaria retusa,-34.896899,-6.872874
Crotalaria retusa,14,-14.827222
Crotalaria retusa,-38.17537,-6.477048
Crotalaria retusa,-38.708503,-6.916535
Crotalaria retusa,-35.163181,-8.095706
Crotalaria retusa,-35.833678,-9.520378
Crotalaria retusa,-38.754322,-7.007825
Crotalaria retusa,-38.813415,-6.779686
Crotalaria retusa,-38.836898,-6.783548
Crotalaria retusa,-38.465016,-6.542755
Crotalaria retusa,-36.432778,-7.634722
Crotalaria retusa,-35.853333,-9.494722
Crotalaria retusa,-37.584444,-11.776944
Crotalaria retusa,-38.87916,-6.781236
Crotalaria retusa,-38.895663,-6.755223
Crotalaria retusa,-38.451423,-6.959591
Crotalaria retusa,-38.444365,-6.956598
Crotalaria retusa,-38.412566,-6.947478
Crotalaria retusa,-38.75462,-4.1386
Crotalaria retusa,-38.643096,-3.710307
Crotalaria retusa,-37.32143,-5.213812
Crotalaria retusa,-34.84268,-7.452238
Crotalaria retusa,-35.403172,-8.055311
Crotalaria retusa,-37.28628,-5.840041
Crotalaria retusa,-44.1971,-2.668608
Crotalaria retusa,-37.584444,-11.776944
Crotalaria retusa,-39.373611,-7.234444
Crotalaria retusa,-42.34336,-2.790054
Crotalaria retusa,-35.464831,-7.88971
Crotalaria retusa,-37.178616,-6.524666
Crotalaria retusa,-34.866412,-7.842995
Crotalaria retusa,-51.592392,-21.472045
