scientific_name,decimalLongitude,decimalLatitude
Crotalaria spectabilis,-49.30556,-16.664588
Crotalaria spectabilis,-47.766175,-15.806297
Crotalaria spectabilis,-44.645878,-22.17354
Crotalaria spectabilis,-49.232844,-25.367315
Crotalaria spectabilis,-48.864978,-27.018328
Crotalaria spectabilis,-48.083881,-18.410325
Crotalaria spectabilis,-60.501984,-3.143685
Crotalaria spectabilis,-36.952605,-10.81458
Crotalaria spectabilis,-48.006389,-21.349781
Crotalaria spectabilis,-50.372566,-22.611841
Crotalaria spectabilis,-47.939629,-15.834858
Crotalaria spectabilis,-49.418616,-28.731247
Crotalaria spectabilis,-54.212222,-24.903889
Crotalaria spectabilis,-41.828056,-20.336389
Crotalaria spectabilis,-41.828056,-20.336389
Crotalaria spectabilis,-49.671079,-15.149619
Crotalaria spectabilis,-36.487172,-8.892246
Crotalaria spectabilis,-50.50668,-21.147114
Crotalaria spectabilis,-48.67203,-28.14508
Crotalaria spectabilis,-48.86829,-26.252507
Crotalaria spectabilis,-48.006389,-21.349781
Crotalaria spectabilis,-50.352117,-21.371575
Crotalaria spectabilis,-46.656047,-23.597603
Crotalaria spectabilis,-47.918211,-15.633459
Crotalaria spectabilis,-47.909889,-15.703694
Crotalaria spectabilis,-49.976389,-6.271944
Crotalaria spectabilis,-48.626667,-27.951389
Crotalaria spectabilis,-48.626667,-27.951389
Crotalaria spectabilis,-48.626667,-27.951389
Crotalaria spectabilis,-54.930543,-28.404451
Crotalaria spectabilis,-43.209722,-20.298944
Crotalaria spectabilis,-43.209722,-20.298944
Crotalaria spectabilis,-43.209722,-20.298944
Crotalaria spectabilis,-43.209722,-20.298944
Crotalaria spectabilis,-51.717222,-17.923056
Crotalaria spectabilis,-51.717222,-17.923056
Crotalaria spectabilis,-48.602778,-26.999167
Crotalaria spectabilis,-49.950833,-26.099444
Crotalaria spectabilis,-46.546389,-23.411389
Crotalaria spectabilis,-46.546389,-23.411389
Crotalaria spectabilis,-49.950833,-26.099444
Crotalaria spectabilis,-58.814167,-13.5425
Crotalaria spectabilis,-46.691111,-23.336111
Crotalaria spectabilis,-46.691067,-23.336247
Crotalaria spectabilis,-55.675278,-20.488055
Crotalaria spectabilis,-60.060729,-3.063985
Crotalaria spectabilis,-55.711389,-12.545278
Crotalaria spectabilis,-46.424167,-23.39
Crotalaria spectabilis,-51.696944,-28.497778
Crotalaria spectabilis,-38.871389,-7.868889
Crotalaria spectabilis,-38.871389,-7.585556
Crotalaria spectabilis,-41.448056,-21.797222
Crotalaria spectabilis,-35.2025,-5.858889
Crotalaria spectabilis,-35.2025,-5.858889
Crotalaria spectabilis,-35.2025,-5.858889
Crotalaria spectabilis,-35.2025,-5.858889
Crotalaria spectabilis,-47.51,-14.132778
Crotalaria spectabilis,-47.668333,-14.137222
Crotalaria spectabilis,-56.055,-9.909722
Crotalaria spectabilis,-37.143056,-10.842778
Crotalaria spectabilis,-37.143,-10.842778
Crotalaria spectabilis,-37.125833,-10.855
Crotalaria spectabilis,-37.125833,-10.855
Crotalaria spectabilis,-41.7275,-22.313056
Crotalaria spectabilis,-41.7275,-22.313056
Crotalaria spectabilis,-44.35,-21.183333
Crotalaria spectabilis,-55.218333,-11.676111
Crotalaria spectabilis,-37.433889,-11.369722
Crotalaria spectabilis,-37.433889,-11.369722
Crotalaria spectabilis,-55.081667,-11.6525
Crotalaria spectabilis,-41.031111,-21.74
Crotalaria spectabilis,-41.031111,-21.74
Crotalaria spectabilis,-43.550833,-19.269444
Crotalaria spectabilis,-43.55075,-19.269583
Crotalaria spectabilis,-43.3025,-19.134167
Crotalaria spectabilis,-42.491667,-20.226944
Crotalaria spectabilis,-43.507,-19.228222
Crotalaria spectabilis,-42.821389,-20.386111
Crotalaria spectabilis,-43.354444,-19.173889
Crotalaria spectabilis,-43.331111,-19.153611
Crotalaria spectabilis,-43.595556,-19.293833
Crotalaria spectabilis,-43.552972,-19.259722
Crotalaria spectabilis,-36.111883,-9.940078
Crotalaria spectabilis,-36.838975,-10.326814
Crotalaria spectabilis,-36.111883,-9.940078
Crotalaria spectabilis,-39.016667,-16.266667
Crotalaria spectabilis,-39.016667,-16.266667
Crotalaria spectabilis,-49.119944,-25.382944
Crotalaria spectabilis,-44.266389,-2.516944
Crotalaria spectabilis,-48.721389,-25.991111
Crotalaria spectabilis,-48.721389,-25.991111
Crotalaria spectabilis,-41.031111,-21.74
Crotalaria spectabilis,-41.031111,-21.74
Crotalaria spectabilis,-41.031111,-21.74
Crotalaria spectabilis,-49.3175,-28.522778
Crotalaria spectabilis,-49.3175,-28.522778
Crotalaria spectabilis,-57.571111,-19.1925
Crotalaria spectabilis,-57.571111,-19.1925
Crotalaria spectabilis,-52.994444,-19.0575
Crotalaria spectabilis,-51.961389,-29.466944
Crotalaria spectabilis,-49.679444,-28.926667
Crotalaria spectabilis,-49.679444,-28.926667
Crotalaria spectabilis,-47.06,-22.9
Crotalaria spectabilis,-37.933333,-11.783333
Crotalaria spectabilis,-37.933333,-11.783333
Crotalaria spectabilis,-37.933333,-11.783333
Crotalaria spectabilis,-51.9386,-23.4253
Crotalaria spectabilis,-56.616667,-9.95
Crotalaria spectabilis,-35.502553,-8.179167
Crotalaria spectabilis,-48.08,-21.68
Crotalaria spectabilis,-48.1702061,-21.7941314
Crotalaria spectabilis,-48.169722,-21.790278
Crotalaria spectabilis,-47.077171,-22.870251
Crotalaria spectabilis,-47.0608,-22.9056
Crotalaria spectabilis,-39.1,-12.666667
Crotalaria spectabilis,-39.1,-12.666667
Crotalaria spectabilis,-39.1,-12.666667
Crotalaria spectabilis,-47.077171,-22.870251
Crotalaria spectabilis,-47.0608,-22.9056
Crotalaria spectabilis,-48.444722,-1.438056
Crotalaria spectabilis,-48.44475,-1.438098
Crotalaria spectabilis,-47.077171,-22.870251
Crotalaria spectabilis,-47.077171,-22.870251
Crotalaria spectabilis,-47.077171,-22.870251
Crotalaria spectabilis,-47.077171,-22.870251
Crotalaria spectabilis,-47.077171,-22.870251
Crotalaria spectabilis,-47.0608,-22.9056
Crotalaria spectabilis,-47.077171,-22.870251
Crotalaria spectabilis,-48.9,-21.18
Crotalaria spectabilis,-49.37,-20.82
Crotalaria spectabilis,-48.9,-21.18
Crotalaria spectabilis,-47.077171,-22.870251
Crotalaria spectabilis,-47.077171,-22.870251
