Species,decimalLongitude,decimalLatitude
Cryptostegia grandiflora,-38.639157,-6.853348
Cryptostegia grandiflora,-38.453152,-6.967056
Cryptostegia grandiflora,-38.432399,-6.686283
Cryptostegia grandiflora,-38.440111,-6.481995
Cryptostegia grandiflora,-38.62059,-6.801076
Cryptostegia grandiflora,-38.498058,-6.676386
Cryptostegia grandiflora,-38.870846,-7.007899
Cryptostegia grandiflora,-38.578031,-7.053417
Cryptostegia grandiflora,-38.965874,-6.772864
Cryptostegia grandiflora,-38.476837,-6.816111
Cryptostegia grandiflora,-38.497961,-6.840367
Cryptostegia grandiflora,-38.477518,-6.8142760000000004
Cryptostegia grandiflora,-41.94,-3.42
Cryptostegia grandiflora,-38.312083,-6.880959
Cryptostegia grandiflora,-38.463249,-6.843866
Cryptostegia grandiflora,-38.464968,-6.893348
Cryptostegia grandiflora,-38.836898,-6.783548
Cryptostegia grandiflora,-38.473083,-6.681037
Cryptostegia grandiflora,-38.478424,-6.651807
Cryptostegia grandiflora,-38.489434,-6.63502
Cryptostegia grandiflora,-38.488952,-6.61976
Cryptostegia grandiflora,-38.888257,-6.733285
Cryptostegia grandiflora,-38.880705,-6.754098
Cryptostegia grandiflora,-38.453017,-6.967002
Cryptostegia grandiflora,-38.381747,-6.923532
Cryptostegia grandiflora,-38.746715,-6.858763
Cryptostegia grandiflora,-39.303183,-8.214483
Cryptostegia grandiflora,-39.303183,-8.214483
Cryptostegia grandiflora,-38.617511,-7.158508
Cryptostegia grandiflora,-39.358083,-8.2565
Cryptostegia grandiflora,-38.493114,-6.556317
Cryptostegia grandiflora,-38.573975,-6.58145
Cryptostegia grandiflora,-38.463889,-4.173333
Cryptostegia grandiflora,-38.777153,-4.292544
Cryptostegia grandiflora,-39.267516,-8.208556
Cryptostegia grandiflora,-38.954896,-6.780928
Cryptostegia grandiflora,-39.35586,-8.286384
Cryptostegia grandiflora,-38.455278,-6.671389
Cryptostegia grandiflora,-38.45517,-6.671447
Cryptostegia grandiflora,-38.455,-6.671389
Cryptostegia grandiflora,-38.412275,-6.573489
Cryptostegia grandiflora,-38.412276,-6.573488
Cryptostegia grandiflora,-40.9375,-8.479444
Cryptostegia grandiflora,-40.937555,-8.479527
Cryptostegia grandiflora,-39.1405,-8.005944
Cryptostegia grandiflora,-41.295833,-7.544167
Cryptostegia grandiflora,-41.295833,-7.544167
Cryptostegia grandiflora,-41.295833,-7.544167
Cryptostegia grandiflora,-41.295833,-7.544167
Cryptostegia grandiflora,-40.680014,-4.679989
Cryptostegia grandiflora,-41.295833,-7.544167
Cryptostegia grandiflora,-41.295833,-7.544167
Cryptostegia grandiflora,-41.295833,-7.544167
Cryptostegia grandiflora,-41.283333,-7.533333
Cryptostegia grandiflora,-38.527778,-7.305555
Cryptostegia grandiflora,-38.330214,-6.796981
Cryptostegia grandiflora,-38.33,-6.803611
Cryptostegia grandiflora,-37.556667,-5.7925
Cryptostegia grandiflora,-39.071794,-7.205144
Cryptostegia grandiflora,-39.071667,-7.205
Cryptostegia grandiflora,-37.582181,-11.511803
Cryptostegia grandiflora,-38.431333,-6.734417
Cryptostegia grandiflora,-38.348889,-6.755833
Cryptostegia grandiflora,-38.348861,-6.755916
Cryptostegia grandiflora,-37.143611,-10.839722
Cryptostegia grandiflora,-37.143611,-10.839611
Cryptostegia grandiflora,-38.983333,-7.98
Cryptostegia grandiflora,-38.98343,-7.98
Cryptostegia grandiflora,-39.733611,-8.093056
Cryptostegia grandiflora,-39.240011,-3.600008
Cryptostegia grandiflora,-39.733722,-8.092944
Cryptostegia grandiflora,-39.24,-3.6
Cryptostegia grandiflora,-38.519992,-4.140014
Cryptostegia grandiflora,-35.195278,-5.857778
Cryptostegia grandiflora,-38.348861,-6.755917
Cryptostegia grandiflora,-40.939167,-8.477222
Cryptostegia grandiflora,-40.939111,-8.477166
Cryptostegia grandiflora,-41.834444,-9.228333
Cryptostegia grandiflora,-40.921111,-3.656111
Cryptostegia grandiflora,-40.921028,-3.656056
Cryptostegia grandiflora,-41.834333,-9.228277
Cryptostegia grandiflora,-39.747222,-7.975278
Cryptostegia grandiflora,-39.747083,-7.975361
Cryptostegia grandiflora,-38.601944,-6.576389
Cryptostegia grandiflora,-41.453889,-4.005278
Cryptostegia grandiflora,-38.601908,-6.576327
Cryptostegia grandiflora,-38.87,-7.208333
Cryptostegia grandiflora,-38.869925,-7.208205
Cryptostegia grandiflora,-40.081667,-7.880833
Cryptostegia grandiflora,-40.081638,-7.880888
Cryptostegia grandiflora,-38.789167,-7.006944
Cryptostegia grandiflora,-38.789138,-7.006861
Cryptostegia grandiflora,-39.203889,-8.103611
Cryptostegia grandiflora,-39.203944,-8.103527
Cryptostegia grandiflora,-44.806944,-2.955556
Cryptostegia grandiflora,-39.309166,-8.362
Cryptostegia grandiflora,-38.82,-7.560556
Cryptostegia grandiflora,-38.820138,-7.560666
Cryptostegia grandiflora,-39.457222,-8.544722
Cryptostegia grandiflora,-39.457297,-8.54468
Cryptostegia grandiflora,-43.498889,-9.213333
Cryptostegia grandiflora,-39.331667,-8.232222
Cryptostegia grandiflora,-43.499027,-9.213277
Cryptostegia grandiflora,-39.331797,-8.232097
Cryptostegia grandiflora,-47.8,-21.166667
Cryptostegia grandiflora,-39.330278,-8.307222
Cryptostegia grandiflora,-39.330277,-8.307222
Cryptostegia grandiflora,-41.417222,-2.928056
Cryptostegia grandiflora,-36.200317,-10.069081
Cryptostegia grandiflora,-39.382836,-8.22285
Cryptostegia grandiflora,-47.0608,-22.9056
Cryptostegia grandiflora,-34.881111,-8.054167
Cryptostegia grandiflora,-47.8,-21.166667
Cryptostegia grandiflora,-37.69,-8.540833
Cryptostegia grandiflora,-37.69,-8.540833
Cryptostegia grandiflora,-37.344167,-5.1875
Cryptostegia grandiflora,-36.908611,-5.576667
Cryptostegia grandiflora,-37.556667,-5.7925
Cryptostegia grandiflora,-37.344167,-5.1875
Cryptostegia grandiflora,-37.69,-8.540833
Cryptostegia grandiflora,-39.03,-5.03
Cryptostegia grandiflora,-39.03,-5.03
Cryptostegia grandiflora,-39.033333,-5.033333
Cryptostegia grandiflora,-39.033333,-5.033333
Cryptostegia grandiflora,-47.0608,-22.9056
Cryptostegia grandiflora,-37.840556,-11.373333
Cryptostegia grandiflora,-44.25,-2.5
Cryptostegia grandiflora,-38.759722,-7.861667
Cryptostegia grandiflora,-38.759722,-7.861667
Cryptostegia grandiflora,-43.37,-13.15
Cryptostegia grandiflora,-43.37,-13.15
Cryptostegia grandiflora,-43.366667,-13.15
Cryptostegia grandiflora,-43.366667,-13.15
Cryptostegia grandiflora,-43.366667,-13.15
Cryptostegia grandiflora,-43.36667,-13.15
Cryptostegia grandiflora,-43.36667,-13.15
Cryptostegia grandiflora,-43.366667,-14.5
