scientific_name,decimalLongitude,decimalLatitude
Cryptostegia madagascariensis,-36.834619000000004,-5.35237
Cryptostegia madagascariensis,-35.914572,-9.258372
Cryptostegia madagascariensis,-39.200858,-6.346333
Cryptostegia madagascariensis,-38.64201,-3.826348
Cryptostegia madagascariensis,-41.3575,-2.954444
Cryptostegia madagascariensis,-35.166888,-5.884855
Cryptostegia madagascariensis,-41.737262,-2.833194
Cryptostegia madagascariensis,-37.905495,-4.983462
Cryptostegia madagascariensis,-37.306544,-5.862339
Cryptostegia madagascariensis,-37.728512,-4.560923
Cryptostegia madagascariensis,-41.536944,-7.523611
Cryptostegia madagascariensis,-41.536944,-7.523611
Cryptostegia madagascariensis,-35.368333,-5.884444
Cryptostegia madagascariensis,-40.209224,-3.46168
Cryptostegia madagascariensis,-41.401111,-6.817222
Cryptostegia madagascariensis,-38.573405,-3.742537
Cryptostegia madagascariensis,-39.0461,-4.8876
Cryptostegia madagascariensis,-39.0461,-4.8876
Cryptostegia madagascariensis,-39.0461,-4.8876
Cryptostegia madagascariensis,-39.0461,-4.8876
Cryptostegia madagascariensis,-39.0461,-4.8876
Cryptostegia madagascariensis,-39.0461,-4.8876
Cryptostegia madagascariensis,-39.0461,-4.8876
Cryptostegia madagascariensis,-37.057222,-10.882222
Cryptostegia madagascariensis,-38.948611,-4.949167
Cryptostegia madagascariensis,-39.081944,-4.987222
Cryptostegia madagascariensis,-38.948611,-4.949167
Cryptostegia madagascariensis,-35.2,-5.883333
Cryptostegia madagascariensis,-35.2,-5.883333
Cryptostegia madagascariensis,-37.833333,-5.592222
Cryptostegia madagascariensis,-37.833333,-5.592222
Cryptostegia madagascariensis,-37.825833,-5.59
Cryptostegia madagascariensis,-37.825833,-5.59
Cryptostegia madagascariensis,-39.140278,-4.904444
Cryptostegia madagascariensis,-39.140278,-4.904722
Cryptostegia madagascariensis,-39.1403,-4.9044
Cryptostegia madagascariensis,-38.752778,-4.734722
Cryptostegia madagascariensis,-38.752778,-4.734722
Cryptostegia madagascariensis,-38.7525,-4.734722
Cryptostegia madagascariensis,-37.789167,-9.66
Cryptostegia madagascariensis,-38.228056,-6.759444
Cryptostegia madagascariensis,-42.296389,-9.291111
Cryptostegia madagascariensis,-42.296389,-9.441111
Cryptostegia madagascariensis,-41.986944,-7.009722
Cryptostegia madagascariensis,-41.986944,-7.009722
Cryptostegia madagascariensis,-42.055833,-7.09
Cryptostegia madagascariensis,-42.055833,-7.09
Cryptostegia madagascariensis,-39.115278000000004,-8.127778
Cryptostegia madagascariensis,-38.495,-6.417083
Cryptostegia madagascariensis,-40.938056,-8.4775
Cryptostegia madagascariensis,-40.938138,-8.477444
Cryptostegia madagascariensis,-38.726111,-8.129444
Cryptostegia madagascariensis,-39.85,-12.883333
Cryptostegia madagascariensis,-38.228056,-6.759444
Cryptostegia madagascariensis,-38.228056,-6.759444
Cryptostegia madagascariensis,-37.439722,-7.183333
Cryptostegia madagascariensis,-38.228056,-6.759444
Cryptostegia madagascariensis,-37.0326,-10.5256
