Species,decimalLongitude,decimalLatitude
Ctenopharyngodon idella,-53.78,-24.796111
Ctenopharyngodon idella,-47.375042,-21.931297
Ctenopharyngodon idella,-47.375042,-21.931297
Ctenopharyngodon idella,-47.375042,-21.931297
Ctenopharyngodon idella,-47.375042,-21.931297
Ctenopharyngodon idella,-47.38,-21.93
Ctenopharyngodon idella,-47.38,-21.93
Ctenopharyngodon idella,-47.38,-21.93
Ctenopharyngodon idella,-47.38,-21.93
Ctenopharyngodon idella,-51.071667,-29.035556
Ctenopharyngodon idella,-51.474444,-29.018889
Ctenopharyngodon idella,-52.729722,-25.617222
Ctenopharyngodon idella,-51.474444,-29.018889
Ctenopharyngodon idella,-54.068333,-24.591111
Ctenopharyngodon idella,-51.884998,-29.169445
Ctenopharyngodon idella,-51.884998,-29.169445
Ctenopharyngodon idella,-48.866024,-25.160452
Ctenopharyngodon idella,-52.039074,-23.519073
Ctenopharyngodon idella,-54.299999,-28.416666
Ctenopharyngodon idella,-43.695111,-22.759417
Ctenopharyngodon idella,-43.695111,-22.759417
Ctenopharyngodon idella,-43.695111,-22.759417
