Species,decimalLongitude,decimalLatitude
Cynodon nlemfuensis,-54.575278,-20.478889
Cynodon nlemfuensis,-35.775556,-8.244722
Cynodon nlemfuensis,-50.306111,-27.7925
Cynodon nlemfuensis,-53.718333,-22.929722
Cynodon nlemfuensis,-54.466667,-20.468889
Cynodon nlemfuensis,-54.466667,-20.468889
Cynodon nlemfuensis,-35.928333,-8.493611
Cynodon nlemfuensis,-53.2575,-22.769167
Cynodon nlemfuensis,-53.258056,-22.765278
Cynodon nlemfuensis,-47.0608,-22.9056
Cynodon nlemfuensis,-47.077171,-22.870251
Cynodon nlemfuensis,-34.881111,-8.053889
Cynodon nlemfuensis,-34.925278,-8.063889
Cynodon nlemfuensis,-42.118889,-7.262222
Cynodon nlemfuensis,-57.573333,-16.212777
Cynodon nlemfuensis,-37.344444,-5.191944
Cynodon nlemfuensis,-47.929444,-15.779722
Cynodon nlemfuensis,-47.914167,-15.938333
Cynodon nlemfuensis,-47.9298727,-15.7834208
Cynodon nlemfuensis,-47.077171,-22.870251
Cynodon nlemfuensis,-47.0608,-22.9056
Cynodon nlemfuensis,-47.0608,-22.9056
Cynodon nlemfuensis,-47.0608,-22.9056
Cynodon nlemfuensis,-46.6361,-23.5475
