scientific_name,decimalLongitude,decimalLatitude
Cynopotamus kincaidi,-57.018333,-19.577222
Cynopotamus kincaidi,-57.018333,-19.577222
Cynopotamus kincaidi,-57.018333,-19.577222
Cynopotamus kincaidi,-57.018333,-19.577222
Cynopotamus kincaidi,-57.018333,-19.577222
Cynopotamus kincaidi,-57.018333,-19.577222
Cynopotamus kincaidi,-57.05528,-19.298611
Cynopotamus kincaidi,-53.891364,-27.16169
Cynopotamus kincaidi,-57.018056,-19.576667
Cynopotamus kincaidi,-57.019722,-19.577778
Cynopotamus kincaidi,-57.018056,-19.576667
Cynopotamus kincaidi,-54.573611,-18.711667
Cynopotamus kincaidi,-51.785139,-27.526944
Cynopotamus kincaidi,-51.785139,-27.526944
Cynopotamus kincaidi,-51.901389,-27.503389
Cynopotamus kincaidi,-57.018056,-19.576667
Cynopotamus kincaidi,-57.018056,-19.576667
Cynopotamus kincaidi,-57.018056,-19.576667
Cynopotamus kincaidi,-57.018056,-19.576667
Cynopotamus kincaidi,-54.461681,-25.643981
Cynopotamus kincaidi,-54.461681,-25.643981
Cynopotamus kincaidi,-53.738611,-17.948611
Cynopotamus kincaidi,-57.011667,-19.576944
Cynopotamus kincaidi,-57.65,-15.933056
Cynopotamus kincaidi,-57.65,-15.933056
Cynopotamus kincaidi,-55.940556,-15.973889
Cynopotamus kincaidi,-55.9,-16.333333
Cynopotamus kincaidi,-64.386944,-9.256389
Cynopotamus kincaidi,-55.940833,-15.974167
Cynopotamus kincaidi,-56.253611,-14.696111
Cynopotamus kincaidi,-56.253611,-14.696111
Cynopotamus kincaidi,-56.317778,-14.713889
Cynopotamus kincaidi,-55.601111,-15.973889
Cynopotamus kincaidi,-55.940556,-15.973889
Cynopotamus kincaidi,-57.018056,-19.576667
Cynopotamus kincaidi,-57.018056,-19.576667
Cynopotamus kincaidi,-55.958333,-16.2
Cynopotamus kincaidi,-56.183333,-21.216667
Cynopotamus kincaidi,-56.183333,-21.216667
Cynopotamus kincaidi,-56.183333,-21.216667
Cynopotamus kincaidi,-56.183333,-21.216667
Cynopotamus kincaidi,-54.551389,-25.394444
Cynopotamus kincaidi,-57.815556,-19.22
Cynopotamus kincaidi,-57.331944,-19.412778
Cynopotamus kincaidi,-57.815556,-19.22
Cynopotamus kincaidi,-57.700001,-16.049999
Cynopotamus kincaidi,-57.011667,-19.576944
Cynopotamus kincaidi,-57.011667,-19.576944
Cynopotamus kincaidi,-57.011667,-19.576944
Cynopotamus kincaidi,-55.8,-20.466667
Cynopotamus kincaidi,-54.633333,-25.516667
Cynopotamus kincaidi,-54.588056,-25.546667
Cynopotamus kincaidi,-56.083333,-15.866667
Cynopotamus kincaidi,-56.083333,-15.866667
Cynopotamus kincaidi,-56.058333,-15.875
Cynopotamus kincaidi,-56.083333,-15.866667
Cynopotamus kincaidi,-56,-15.916667
Cynopotamus kincaidi,-55.916668,-15.983334
Cynopotamus kincaidi,-62.883333,-8.05
Cynopotamus kincaidi,-56.083333,-15.866667
Cynopotamus kincaidi,-56.083333,-15.866667
Cynopotamus kincaidi,-56.083333,-15.866667
Cynopotamus kincaidi,-56.05,-15.633333
Cynopotamus kincaidi,-56.016667,-15.616667
Cynopotamus kincaidi,-56.083333,-15.866667
Cynopotamus kincaidi,-54.316667,-24.5
Cynopotamus kincaidi,-56.083333,-15.866667
Cynopotamus kincaidi,-56.083333,-15.866667
Cynopotamus kincaidi,-55.95,-16.183333
Cynopotamus kincaidi,-55.95,-16.183333
Cynopotamus kincaidi,-54.316667,-24.166667
Cynopotamus kincaidi,-54.316667,-24.166667
Cynopotamus kincaidi,-54.75,-18.5
Cynopotamus kincaidi,-56.083333,-15.866667
Cynopotamus kincaidi,-57.683333,-16.066667
Cynopotamus kincaidi,-57.664722,-15.731389
