Species,decimalLongitude,decimalLatitude
Delonix regia,-42.202735,-22.924457
Delonix regia,-40.539758,-20.581358
Delonix regia,-43.19836,-22.946179
Delonix regia,-47.054412,-22.876639
Delonix regia,-40.702778,-13.402222
Delonix regia,-60.667172,2.820922
Delonix regia,-39.456823,-6.088909
Delonix regia,-45.389217,-23.612663
Delonix regia,-36.631723,-9.407765
Delonix regia,-51.381527,-22.189847
Delonix regia,-40.51206,-11.181513
Delonix regia,-56.738763,-2.615682
Delonix regia,-42.628505,-22.931584
Delonix regia,-54.579198,-16.465164
Delonix regia,-39.032778,-12.370833
Delonix regia,-42.772884,-21.009301
Delonix regia,-44.525805,-14.261063
Delonix regia,-51.444084,-22.106081
Delonix regia,-51.444084,-22.106081
Delonix regia,-39.225058,-17.334078
Delonix regia,-39.225058,-17.334078
Delonix regia,-46.690061,-23.617765
Delonix regia,-46.655167,-23.587914
Delonix regia,-44.522207,-22.442595
Delonix regia,-51.181813,-30.037525
Delonix regia,-44.570744,-14.074416
Delonix regia,-45.147518,-18.309117
Delonix regia,-44.527082,-22.438341
Delonix regia,-52.666449,-18.393056
Delonix regia,-52.666449,-18.393056
Delonix regia,-52.666449,-18.393056
Delonix regia,-47.032809,-22.886352
Delonix regia,-40.04164,-13.5222
Delonix regia,-46.902343,-22.785885
Delonix regia,-43.223753,-22.969324
Delonix regia,-44.069675,-14.95295
Delonix regia,-36.480233,-8.88762
Delonix regia,-55.752629,-20.502746
Delonix regia,-54.581039,-25.548748
Delonix regia,-48.12544,-22.286272
Delonix regia,-51.143609,-30.013931
Delonix regia,-46.661942,-23.587792
Delonix regia,-43.223708,-22.969486
Delonix regia,-39.88289,-13.262737
Delonix regia,-42.691839,-5.079663
Delonix regia,-40.100125,-19.195344
Delonix regia,-56.080077,-9.83526
Delonix regia,-49.070822,-22.315477
Delonix regia,-54.44548,-25.681146
Delonix regia,-42.275686,-14.476537
Delonix regia,-45.202624,-21.495953
Delonix regia,-35.577914,-9.491335
Delonix regia,-53.425,-24.190833
Delonix regia,-39.054261,-3.418888
Delonix regia,-41.291389,-21.761389
Delonix regia,-47.432723,-22.75401
Delonix regia,-51.125157,-30.031274
Delonix regia,-43.421123,-22.628998
Delonix regia,-43.879269,-16.718132
Delonix regia,-41.999845,-19.137362
Delonix regia,-36.227572,-10.088011
Delonix regia,-56.858608,-16.745889
Delonix regia,-42.627945,-22.931642
Delonix regia,-72.680653,-7.609845
Delonix regia,-34.948619,-8.052508
Delonix regia,-47.062633,-22.909845
Delonix regia,-67.873632,-9.963852
Delonix regia,-42.67001,-11.287993
Delonix regia,-47.92805,-21.987547
Delonix regia,-43.900525,-19.638583
Delonix regia,-47.084817,-22.826047
Delonix regia,-41.839765,-13.469544
Delonix regia,-47.9603,-19.716175
Delonix regia,-55.924164,-20.193741
Delonix regia,-55.965083,-20.113003
Delonix regia,-48.960975,-15.841305
Delonix regia,-47.047492,-22.900897
Delonix regia,-51.915883,-23.410452
Delonix regia,-41.930455,-18.848289
Delonix regia,-36.494442,-8.906428
Delonix regia,-47.082183,-22.823543
Delonix regia,-47.613488,-22.397873
Delonix regia,-41.004723,-16.431611
Delonix regia,-41.005263,-16.431632
Delonix regia,-36.480186,-8.887808
Delonix regia,-41.92183,-18.844233
Delonix regia,-47.074957,-22.912614
Delonix regia,-60.689819,2.836135
Delonix regia,-43.049707,-22.557981
Delonix regia,-48.876389,-26.272778
Delonix regia,-48.299167,-21
Delonix regia,-48.295833,-21.243611
Delonix regia,-48.305278,-21.245
Delonix regia,-48.298889,-21.244444
Delonix regia,-48.290278,-21.241944
Delonix regia,-48.293889,-21.245833
Delonix regia,-48.489722,-21.406667
Delonix regia,-54.558157,-25.579029
Delonix regia,-39.013681,-16.25048
Delonix regia,-42.636306,-21.531975
Delonix regia,-44.466071,-23.005423
Delonix regia,-43.233127,-22.983634
Delonix regia,-43.19883,-22.940966
Delonix regia,-46.792893,-23.412014
Delonix regia,-40.658208,-20.36257
Delonix regia,-44.226944,-2.551944
Delonix regia,-47.075038,-22.810486
Delonix regia,-36.226906,-10.032183
Delonix regia,-36.235092,-10.135239
Delonix regia,-43.495985,-23.027465
Delonix regia,-44.713241,-23.21759
Delonix regia,-59.983,-3.116324
Delonix regia,-54.446224,-25.662851
Delonix regia,-45.914533,-16.833336
Delonix regia,-54.570879,-25.550104
Delonix regia,-54.118395,-17.180276
Delonix regia,-54.156083,-17.191824
Delonix regia,-41.142163,-20.327489
Delonix regia,-49.304528,-20.384071
Delonix regia,-43.224733,-22.854333
Delonix regia,-43.451344,-4.384358
Delonix regia,-46.50458,-20.327742
Delonix regia,-54.738923,-16.647367
Delonix regia,-55.161613,-17.212914
Delonix regia,-55.510801,-11.870357
Delonix regia,-54.141437,-17.200023
Delonix regia,-46.504617,-20.32772
Delonix regia,-60.023583,-3.0927
Delonix regia,-46.389562,-20.260559
Delonix regia,-47.400498,-23.238735
Delonix regia,-46.759914,-23.538178
Delonix regia,-42.250252,-9.478521
Delonix regia,-59.907623,-3.112307
Delonix regia,-42.042302,-20.962874
Delonix regia,-39.578889,-16.349167
Delonix regia,-51.185022,-30.050509
Delonix regia,-46.657634,-23.587416
Delonix regia,-53.528187,-24.985188
Delonix regia,-46.633909,-23.558394
Delonix regia,-48.960967,-15.85143
Delonix regia,-43.684792,-22.912505
Delonix regia,-46.68755,-23.552854
Delonix regia,-53.482498,-24.945808
Delonix regia,-60.040431,-3.083499
Delonix regia,-46.135869,-15.919643
Delonix regia,-43.214076,-21.573413
Delonix regia,-51.91552,-23.410351
Delonix regia,-52.574356,-23.680989
Delonix regia,-39.540667,-7.185667
Delonix regia,-43.651287,-22.961803
Delonix regia,-47.654908,-22.716991
Delonix regia,-35.75866,-8.240052
Delonix regia,-51.183568,-30.041885
Delonix regia,-51.181027,-30.041731
Delonix regia,-35.200833,-5.842778
Delonix regia,-43.446255,-22.89913
Delonix regia,-43.691111,-22.764167
Delonix regia,-40.271638,-15.254859
Delonix regia,-51.17002,-30.02327
Delonix regia,-59.977547,-3.076629
Delonix regia,-46.840142,-23.601543
Delonix regia,-48.442425,-25.655182
Delonix regia,-47.744587,-20.961788
Delonix regia,-48.661356,-22.365243
Delonix regia,-51.169583,-23.304436
Delonix regia,-49.061205,-22.332958
Delonix regia,-54.936976,-12.382073
Delonix regia,-46.801716,-23.550907
Delonix regia,-49.054623,-22.347121
Delonix regia,-43.07096,-22.253752
Delonix regia,-46.887446,-23.154649
Delonix regia,-45.338778,-23.882015
Delonix regia,-47.788423,-23.21316
Delonix regia,-46.57894,-23.716663
Delonix regia,-49.357775,-20.809582
Delonix regia,-45.079476,-23.433301
Delonix regia,-43.441053,-22.8814
Delonix regia,-50.874722,-18.513333
Delonix regia,-35.208333,-5.844722
Delonix regia,-35.208333,-5.844722
Delonix regia,-38.971944,-12.201389
Delonix regia,-44.722778,-23.202222
Delonix regia,-34.950611,-8.016944
Delonix regia,-56.59472,-17.3306
Delonix regia,-35.216944,-5.819167
Delonix regia,-35.216944,-5.819167
Delonix regia,-35.219167,-5.825278
Delonix regia,-35.219167,-5.825278
Delonix regia,-53.47568,-25.819125
Delonix regia,-48.257973,-18.918022
Delonix regia,-48.23459,-18.911268
Delonix regia,-47.804243,-21.134609
Delonix regia,-41.931899,-18.849067
Delonix regia,-45.549581,-22.999839
Delonix regia,-43.223732,-22.969414
Delonix regia,-43.223732,-22.969414
Delonix regia,-49.401356,-19.166039
Delonix regia,-47.071052,-22.81171
Delonix regia,-47.746358,-23.08598
Delonix regia,-51.714444,-17.881389
Delonix regia,-51.714444,-17.881389
Delonix regia,-43.600278,-18.236389
Delonix regia,-47.048302,-22.960542
Delonix regia,-46.658664,-23.610083
Delonix regia,-40.207586,-14.365593
Delonix regia,-54.580833,-25.504167
Delonix regia,-54.580833,-25.504167
Delonix regia,-46.508211,-20.324335
Delonix regia,-48.927874,-16.322321
Delonix regia,-39.182322,-17.723683
Delonix regia,-45,-18.140278
Delonix regia,-55.800556,-20.477222
Delonix regia,-57.679861,-16.58
Delonix regia,-45,-18.1402
Delonix regia,-56.594927,-17.330868
Delonix regia,-51.939806,-23.40475
Delonix regia,-51.95,-23.416667
Delonix regia,-46.662903,-23.588013
Delonix regia,-51.932833,-23.424556
Delonix regia,-40.839722,-5.198333
Delonix regia,-40.839667,-5.198333
Delonix regia,-40.071389,-13.873056
Delonix regia,-40.071389,-13.873056
Delonix regia,-40.04165,-13.5223
Delonix regia,-44.282889,-2.539083
Delonix regia,-44.282889,-2.539083
Delonix regia,-47.632255,-22.70919
Delonix regia,-47.021507,-22.904785
Delonix regia,-43.982048,-19.851493
Delonix regia,-46.808333,-22.7575
Delonix regia,-38.966667,-12.25
Delonix regia,-43.222241,-22.963822
Delonix regia,-39.193333,-14.795833
Delonix regia,-39.200833,-14.796389
Delonix regia,-39.1143,-14.4749
Delonix regia,-39.1136,-14.4745
Delonix regia,-39.200833,-14.796389
Delonix regia,-39.193333,-14.795833
Delonix regia,-39.195278,-14.796944
Delonix regia,-39.200833,-14.796389
Delonix regia,-48.502,-26.229
Delonix regia,-39.195278,-14.796944
Delonix regia,-35.200833,-5.8425
Delonix regia,-35.200833,-5.8425
Delonix regia,-37.048056,-10.869444
Delonix regia,-57.231,-15.645917
Delonix regia,-48.845555,-1.766111
Delonix regia,-49.032281,-22.354069
Delonix regia,-49.468056,-28.432222
Delonix regia,-43.903488,-22.62776
Delonix regia,-38.131389,-5.15
Delonix regia,-38.131472,-5.149889
Delonix regia,-55.741971,-15.450607
Delonix regia,-54.537743,-20.52465
Delonix regia,-46.393234,-23.954959
Delonix regia,-48.3625,-18.425833
Delonix regia,-48.607222,-18.716667
Delonix regia,-55.729722,-10.852222
Delonix regia,-55.583333,-15.5
Delonix regia,-51.998611,-3.3225
Delonix regia,-52.026389,-3.267222
Delonix regia,-42.862234,-20.741496
Delonix regia,-38.551667,-3.785833
Delonix regia,-38.498056,-7.074444
Delonix regia,-38.551717,-3.785844
Delonix regia,-38.49808,-7.074494
Delonix regia,-56.304588,-20.266062
Delonix regia,-56.9557,-19.496693
Delonix regia,-56.9557,-19.496693
Delonix regia,-57.558278,-16.555056
Delonix regia,-56.95784,-19.4941
Delonix regia,-53.888611,-26.286389
Delonix regia,-40.070808,-19.15138
Delonix regia,-53.789167,-25.767778
Delonix regia,-45.359351,-23.838585
Delonix regia,-40.501556,-9.3905
Delonix regia,-51.930653,-23.428267
Delonix regia,-51.930653,-23.428267
Delonix regia,-48.832528,-25.573194
Delonix regia,-47.85,-21.15
Delonix regia,-48.572305,-22.302375
Delonix regia,13,-13.219167
Delonix regia,-46.641048,-23.057273
Delonix regia,-37.125833,-10.855
Delonix regia,-37.125833,-10.855
Delonix regia,-44.314167,-2.565556
Delonix regia,-44.314167,-2.565556
Delonix regia,-40.493889,-9.416111
Delonix regia,-40.493972,-9.415972
Delonix regia,-40.491667,-9.425556
Delonix regia,-40.491666,-9.4255
Delonix regia,-34.973333,-8.074167
Delonix regia,-37.789167,-9.66
Delonix regia,-37.789167,-9.66
Delonix regia,-47.85,-21.166667
Delonix regia,-37.206389,-11.014722
Delonix regia,-41.291111,-21.761944
Delonix regia,-37.206389,-11.014722
Delonix regia,-55.5025,-11.864167
Delonix regia,-55.5025,-11.864167
Delonix regia,-43.934493,-19.916681
Delonix regia,-41.377112,-13.003533
Delonix regia,-57.7875,-19.108611
Delonix regia,-60.021731,-3.119027
Delonix regia,-49.214722,-28.653056
Delonix regia,-49.214722,-28.653056
Delonix regia,-47.241123,-22.554429
Delonix regia,-43.415187,-22.592405
Delonix regia,-47.855,-21.169444
Delonix regia,-43.415187,-22.592405
Delonix regia,-52.321944,-24.101667
Delonix regia,-52.321889,-24.10175
Delonix regia,-52.191944,-24.060556
Delonix regia,-36.896111,-8.587083
Delonix regia,-36.896111,-8.587083
Delonix regia,-43.915972,-19.891611
Delonix regia,-37.071667,-10.911111
Delonix regia,-54.352778,-24.708333
Delonix regia,-54.352778,-24.708333
Delonix regia,-37.071667,-10.911111
Delonix regia,-53.433333,-24.983333
Delonix regia,-53.455278,-24.955833
Delonix regia,-53.441667,-25.008333
Delonix regia,-53.433333,-24.983333
Delonix regia,-53.441667,-25.008333
Delonix regia,-36.3877,-10.155586
Delonix regia,-41.291111,-21.761944
Delonix regia,-47.8,-21.166667
Delonix regia,-44.208633,-2.576089
Delonix regia,-44.209467,-2.5747
Delonix regia,-43.934493,-19.916681
Delonix regia,-46.009444,-17.009722
Delonix regia,-42.287222,-13.824444
Delonix regia,-42.780556,-5.778611
Delonix regia,-42.780556,-5.045278
Delonix regia,-42.287222,-13.824444
Delonix regia,-42.288055,-13.821667
Delonix regia,-36.387661,-10.155586
Delonix regia,-46.43,-23.33
Delonix regia,-46.716667,-23.55
Delonix regia,-46.43,-23.33
Delonix regia,-54.580991,-25.519379
Delonix regia,-46.716667,-23.55
Delonix regia,-36.3877,-10.155586
Delonix regia,-36.492808,-9.615439
Delonix regia,-40.081667,-13.864167
Delonix regia,-44.209467,-2.5747
Delonix regia,-43.133889,-22.596111
Delonix regia,-43.966667,-19.866667
Delonix regia,-54.6,-20.5
Delonix regia,-54.8689,-29.1833
Delonix regia,-51.340278,-20.430556
Delonix regia,-47.8,-21.166667
Delonix regia,-39.166667,-14.8
Delonix regia,-39.166667,-14.8
Delonix regia,-39.166667,-14.8
Delonix regia,-38.228056,-6.759444
Delonix regia,-46.7006,-22.6122
Delonix regia,-48.32,-25.27
Delonix regia,-48.32,-25.27
Delonix regia,-47.8,-21.166667
Delonix regia,-54.6,-20.5
Delonix regia,-38.966667,-12.25
