scientific_name,decimalLongitude,decimalLatitude
Dieffenbachia seguine,-48.506219,-27.774765
Dieffenbachia seguine,-43.438949,-23.009613
Dieffenbachia seguine,-44.027818,-19.978135
Dieffenbachia seguine,-44.028729,-19.986679
Dieffenbachia seguine,-40.516688,-19.958442
Dieffenbachia seguine,-66.934596,-4.862527
Dieffenbachia seguine,-59.946158,-3.025239
Dieffenbachia seguine,-43.435334,-22.585967
Dieffenbachia seguine,-43.239123,-22.915381
Dieffenbachia seguine,-49.306362,-25.490019
Dieffenbachia seguine,-43.27772,-22.958982
Dieffenbachia seguine,-38.980278,-12.226667
Dieffenbachia seguine,-49.224715,-16.66693
Dieffenbachia seguine,-49.229362,-26.856153
Dieffenbachia seguine,-47.466301,-4.949696
Dieffenbachia seguine,-45.259659,-21.700668
Dieffenbachia seguine,-56.172445,-20.892108
Dieffenbachia seguine,-35.165012,-7.923776
Dieffenbachia seguine,-40.970278,-21.171667
Dieffenbachia seguine,-40.970278,-21.171667
Dieffenbachia seguine,-40.975083,-16.404342
Dieffenbachia seguine,-40.590041,-20.24467
Dieffenbachia seguine,-35.787666,-9.584648
Dieffenbachia seguine,-40.491712,-20.257925
Dieffenbachia seguine,-44.13168,-23.15863
Dieffenbachia seguine,-41.244392,-3.045887
Dieffenbachia seguine,-43.161971,-22.436082
Dieffenbachia seguine,-72.670207,-7.636855
Dieffenbachia seguine,-72.677609,-7.620298
Dieffenbachia seguine,-44.287056,-23.136612
Dieffenbachia seguine,-38.090653,-5.113919
Dieffenbachia seguine,-43.229167,-22.982222
Dieffenbachia seguine,-41.053333,-6.8875
Dieffenbachia seguine,-49.231111,-25.46
Dieffenbachia seguine,-41.053333,-6.8875
Dieffenbachia seguine,-49.231111,-25.46
Dieffenbachia seguine,-49.279727,-26.795493
Dieffenbachia seguine,-49.041082,-26.865768
Dieffenbachia seguine,-67.866206,-9.957503
Dieffenbachia seguine,-42.620613,-22.931362
Dieffenbachia seguine,-34.855296,-7.063933
Dieffenbachia seguine,-36.633732,-9.411334
Dieffenbachia seguine,-43.226111,-22.968333
Dieffenbachia seguine,-48.639619,-26.87664
Dieffenbachia seguine,-38.48809,-3.813214
Dieffenbachia seguine,-35.202163,-5.841547
Dieffenbachia seguine,-43.225833,-22.968611
Dieffenbachia seguine,-43.2275,-22.965833
Dieffenbachia seguine,-40.321482,-20.160058
Dieffenbachia seguine,-42.613983,-22.412083
Dieffenbachia seguine,-47.624235,-22.719395
Dieffenbachia seguine,-43.984722,-19.953889
Dieffenbachia seguine,-40.89441,-4.064641
Dieffenbachia seguine,-49.795337,-16.014927
Dieffenbachia seguine,-54.583277,-19.383071
Dieffenbachia seguine,-52.357171,-3.299955
Dieffenbachia seguine,-46.55951,-23.734613
Dieffenbachia seguine,-43.549018,-22.984847
Dieffenbachia seguine,-40.84506,-14.842166
Dieffenbachia seguine,-45.530807,-20.035643
Dieffenbachia seguine,-44.591299,-3.265706
Dieffenbachia seguine,-39.036633,-15.191857
Dieffenbachia seguine,-49.497504,-20.812987
Dieffenbachia seguine,-47.47249,-23.5148
Dieffenbachia seguine,-59.970655,-2.890382
Dieffenbachia seguine,-49.682613,-19.985562
Dieffenbachia seguine,-46.926217,-22.347295
Dieffenbachia seguine,-38.47717,-4.028431
Dieffenbachia seguine,-43.048364,-22.919388
Dieffenbachia seguine,-45.838784,-23.166855
Dieffenbachia seguine,-50.178287,-18.808525
Dieffenbachia seguine,-47.019781,-22.620922
Dieffenbachia seguine,-41.114935,-20.838182
Dieffenbachia seguine,-43.417776,-22.58486
Dieffenbachia seguine,-46.748599,-23.940799
Dieffenbachia seguine,-52.492628,-20.744422
Dieffenbachia seguine,-42.825275,-22.740591
Dieffenbachia seguine,-59.953603,-3.10797
Dieffenbachia seguine,-48.956298,-1.970524
Dieffenbachia seguine,-34.991738,-7.974764
Dieffenbachia seguine,-46.568375,-23.47734
Dieffenbachia seguine,-35.00421,-7.967126
Dieffenbachia seguine,-35.00421,-7.967126
Dieffenbachia seguine,-40.477865,-20.273007
Dieffenbachia seguine,-37.436311,-10.540299
Dieffenbachia seguine,-42.827325,-22.573339
Dieffenbachia seguine,-35.063359,-8.277671
Dieffenbachia seguine,-38.389553,-3.844973
Dieffenbachia seguine,-40.59604,-3.68247
Dieffenbachia seguine,-44.888142,-20.152466
Dieffenbachia seguine,-47.871197,-22.016545
Dieffenbachia seguine,-51.091667,-0.012222
Dieffenbachia seguine,-38.563711,-3.793241
Dieffenbachia seguine,-43.020833,-22.926667
Dieffenbachia seguine,-35.00421,-7.967126
Dieffenbachia seguine,-34.99178,-7.974745
Dieffenbachia seguine,-47.005178,-0.894061
Dieffenbachia seguine,-43.938333,-19.753611
Dieffenbachia seguine,-43.256617,-22.924272
Dieffenbachia seguine,-43.256617,-22.924272
Dieffenbachia seguine,-42.428433,-22.465396
Dieffenbachia seguine,-48.101665,-15.840183
Dieffenbachia seguine,-43.386147,-22.719292
Dieffenbachia seguine,-46.953377,-22.315231
Dieffenbachia seguine,-46.781206,-24.112125
Dieffenbachia seguine,-47.210054,-22.939471
Dieffenbachia seguine,-42.904289,-20.416343
Dieffenbachia seguine,-40.740356,-14.816409
Dieffenbachia seguine,-41.911402,-3.664557
Dieffenbachia seguine,-45.627212,-23.76136
Dieffenbachia seguine,-43.04431,-22.872097
Dieffenbachia seguine,-39.390568,-14.677916
Dieffenbachia seguine,-34.810814,-7.299824
Dieffenbachia seguine,-43.418793,-22.757006
Dieffenbachia seguine,-48.40639,-1.383412
Dieffenbachia seguine,-45.350998,-23.588993
Dieffenbachia seguine,-46.595556,-23.568889
Dieffenbachia seguine,-47.125658,-0.950114
Dieffenbachia seguine,-43.404274,-22.768056
Dieffenbachia seguine,-47.071858,-22.630953
Dieffenbachia seguine,-41.847872,-11.307369
Dieffenbachia seguine,-41.992913,-18.833628
Dieffenbachia seguine,-50.045219,-8.097648
Dieffenbachia seguine,-35.165012,-7.923776
Dieffenbachia seguine,-43.478435,-22.878391
Dieffenbachia seguine,-46.349457,-23.965439
Dieffenbachia seguine,-38.456648,-12.818457
Dieffenbachia seguine,-39.102171,-12.661666
Dieffenbachia seguine,-48.231608,-18.948635
Dieffenbachia seguine,-39.629589,-14.803307
Dieffenbachia seguine,-43.192717,-22.57315
Dieffenbachia seguine,-44.026009,-22.928077
Dieffenbachia seguine,-42.462222,-9.550278
Dieffenbachia seguine,-56.120426,-15.590756
Dieffenbachia seguine,-39.823163,-16.625782
Dieffenbachia seguine,-59.935548,-2.814782
Dieffenbachia seguine,-43.209486,-22.933053
Dieffenbachia seguine,-48.438333,-14.235833
Dieffenbachia seguine,-42.310986,-22.462495
Dieffenbachia seguine,-42.310986,-22.462495
Dieffenbachia seguine,-46.530685,-18.57529
Dieffenbachia seguine,-35.311046,-5.748527
Dieffenbachia seguine,-38.525548,-3.788981
Dieffenbachia seguine,-43.245766,-22.984002
Dieffenbachia seguine,-42.000556,-22.601389
Dieffenbachia seguine,-39.901321,-14.43401
Dieffenbachia seguine,-40.881978,-3.97325
Dieffenbachia seguine,-46.836089,-23.212701
Dieffenbachia seguine,-48.455681,-1.403789
Dieffenbachia seguine,-48.685833,-1.517778
Dieffenbachia seguine,-35.950275,-8.269286
Dieffenbachia seguine,-43.43669,-22.701735
Dieffenbachia seguine,-47.888456,-19.773125
Dieffenbachia seguine,-38.153043,-7.705714
Dieffenbachia seguine,-34.873779,-7.970076
Dieffenbachia seguine,-42.526369,-17.684923
Dieffenbachia seguine,-44.925274,-21.969979
Dieffenbachia seguine,-43.397728,-22.832745
Dieffenbachia seguine,-47.10682,-23.433658
