Species,decimalLongitude,decimalLatitude
Digitaria insularis,-41.298423,-21.738541
Digitaria insularis,-41.294117,-21.815817
Digitaria insularis,-36.991372,-8.310762
Digitaria insularis,-52.447529,-24.374448
Digitaria insularis,-52.447539,-24.374441
Digitaria insularis,-57.772778,-21.551389
Digitaria insularis,-42.662722,-20.704557
Digitaria insularis,-40.418333,-20.549167
Digitaria insularis,-38.97,-12.183333
Digitaria insularis,-40.418333,-20.549167
Digitaria insularis,-40.095278,-19.3375
Digitaria insularis,-40.095278,-19.3375
Digitaria insularis,-49.025464,-11.143672
Digitaria insularis,-48.607994,-10.67435
Digitaria insularis,-48.65408,-23.760693
Digitaria insularis,-38.88,-11.699722
Digitaria insularis,-40.067065,-19.201192
Digitaria insularis,-41.126667,-21.9875
Digitaria insularis,-41.298929,-21.737735
Digitaria insularis,-48.640509,-26.881967
Digitaria insularis,-50.355556,-16.969444
Digitaria insularis,-50.355555,-16.969444
Digitaria insularis,-53.967973,-30.358458
Digitaria insularis,-40.556388,-9.350277
Digitaria insularis,-54.299444,-24.054167
Digitaria insularis,-35.458333,-6.735
Digitaria insularis,-54.58,-20.457778
Digitaria insularis,-54.575,-20.457222
Digitaria insularis,-54.609167,-20.4975
Digitaria insularis,-47.339444,-20.879444
Digitaria insularis,-48.24,-22.14
Digitaria insularis,-47.34,-20.88
Digitaria insularis,-48.24,-22.14
Digitaria insularis,-47.34,-20.88
Digitaria insularis,-48.24,-22.14
Digitaria insularis,-47.339444,-20.879444
Digitaria insularis,-48.24,-22.14
Digitaria insularis,-47.34,-20.88
Digitaria insularis,-48.24,-22.14
Digitaria insularis,-50.58,-22.68
Digitaria insularis,-50.579521,-22.67953
Digitaria insularis,-42.612222,-19.915556
Digitaria insularis,-51.792778,-27.538611
Digitaria insularis,-46.59768,-21.787097
Digitaria insularis,-48.360556,-10.183333
Digitaria insularis,-36.402578,-9.833333
Digitaria insularis,-40.424222,-9.357166
Digitaria insularis,-50.94,-17.82
Digitaria insularis,-50.94,-17.82
Digitaria insularis,-47.339444,-15.119444
Digitaria insularis,-52.02,-16.02
