scientific_name,decimalLongitude,decimalLatitude
Digitonthophagus gazella,-39.530628,-12.99672
Digitonthophagus gazella,-38.570328,-10.698356
Digitonthophagus gazella,-38.570316,-10.697225
Digitonthophagus gazella,-40.689083,-18.85953
Digitonthophagus gazella,-38.570209,-10.69799
Digitonthophagus gazella,-43.616353,-19.349396
Digitonthophagus gazella,-40.629517,-15.242533
Digitonthophagus gazella,-41.289353,-21.76202
Digitonthophagus gazella,-47.816782,-23.105618
Digitonthophagus gazella,-39.220228,-11.823595
Digitonthophagus gazella,-35.173017,-7.935113
Digitonthophagus gazella,-35.165012,-7.923776
Digitonthophagus gazella,-41.439529,-20.766253
Digitonthophagus gazella,-42.026649,-22.886901
Digitonthophagus gazella,-37.299343,-8.449588
