Species,decimalLongitude,decimalLatitude
Dracaena fragrans,-53.750116,-24.735264
Dracaena fragrans,-46.190933,-23.527607
Dracaena fragrans,-49.283533,-25.3974
Dracaena fragrans,-49.044883,-5.211913
Dracaena fragrans,-49.123098,-5.367108
Dracaena fragrans,-49.08815,-5.176
Dracaena fragrans,-43.28127,-22.952363
Dracaena fragrans,-43.435334,-22.585967
Dracaena fragrans,-43.435334,-22.585967
Dracaena fragrans,-43.160507,-22.436162
Dracaena fragrans,-43.163098,-22.438387
Dracaena fragrans,-46.746478,-23.585845
Dracaena fragrans,-49.266575,-25.438053
Dracaena fragrans,-46.628551,-23.574686
Dracaena fragrans,-46.728327,-23.562968
Dracaena fragrans,-46.628551,-23.574686
Dracaena fragrans,-46.728297,-23.56381
Dracaena fragrans,-46.66317,-23.586206
Dracaena fragrans,-47.879797,-22.001097
Dracaena fragrans,-51.8525,-23.868333
Dracaena fragrans,-51.852639,-23.8685
Dracaena fragrans,-47.050878,-22.909317
Dracaena fragrans,-49.267825,-26.871442
Dracaena fragrans,-46.34898,-23.965853
Dracaena fragrans,-46.721737,-23.56445
Dracaena fragrans,-46.641048,-23.057273
Dracaena fragrans,-46.347266,-23.48014
Dracaena fragrans,-46.571972,-21.783136
Dracaena fragrans,-46.567941,-23.677339
Dracaena fragrans,-38.941944,-12.248889
Dracaena fragrans,-43.162121,-22.435422
Dracaena fragrans,-49.340498,-25.432374
Dracaena fragrans,-46.513701,-23.743972
Dracaena fragrans,-43.70702,-22.734438
Dracaena fragrans,-46.563463,-23.540236
Dracaena fragrans,-49.282426,-26.803216
Dracaena fragrans,-51.14489,-30.017642
Dracaena fragrans,-49.129717,-26.995901
Dracaena fragrans,-51.125438,-30.031609
Dracaena fragrans,-49.2833,-25.397548
Dracaena fragrans,-50.069747,-6.069439
Dracaena fragrans,-46.655614,-23.803651
Dracaena fragrans,-42.341944,-22.880278
Dracaena fragrans,-38.433333,-12.783333
Dracaena fragrans,-46.374634,-23.564493
Dracaena fragrans,-52.363056,-24.052222
Dracaena fragrans,-52.363111,-24.052333
Dracaena fragrans,-43.958752,-19.866558
Dracaena fragrans,-49.251287,-25.377795
Dracaena fragrans,-49.302115,-25.416219
Dracaena fragrans,-46.618388,-23.648303
Dracaena fragrans,-60.043111,-3.10058
Dracaena fragrans,-43.063493,-22.545829
Dracaena fragrans,-46.636301,-23.451282
Dracaena fragrans,-51.125311,-30.031604
Dracaena fragrans,-39.578333,-16.349722
Dracaena fragrans,-48.268023,-18.841084
Dracaena fragrans,-43.049512,-22.549368
Dracaena fragrans,-47.977357,-15.848177
Dracaena fragrans,-46.52659,-23.675677
Dracaena fragrans,-42.993874,-22.821213
Dracaena fragrans,-59.962021,-3.081297
Dracaena fragrans,-49.302498,-25.415632
Dracaena fragrans,-51.194668,-23.316633
Dracaena fragrans,-46.694558,-23.137899
Dracaena fragrans,-54.570833,-25.502778
Dracaena fragrans,-54.570833,-25.502778
Dracaena fragrans,-48.74153,-25.55069
Dracaena fragrans,-50.440047,-21.218471
Dracaena fragrans,-48.833333,-23.016667
Dracaena fragrans,-35.715,-6.970833
Dracaena fragrans,-46.136745,-23.863511
Dracaena fragrans,-60.009471,-3.082659
Dracaena fragrans,-67.874557,-9.953073
Dracaena fragrans,-49.302502,-25.415833
Dracaena fragrans,-45.0475,-23.1
Dracaena fragrans,-45.0475,-23.1
Dracaena fragrans,-47.036719,-22.88729
Dracaena fragrans,-37.351667,-10.771111
Dracaena fragrans,-54.436667,-25.684167
Dracaena fragrans,-54.436722,-25.684167
Dracaena fragrans,-46.717222,-23.566667
Dracaena fragrans,-46.717222,-23.566667
Dracaena fragrans,-46.717222,-23.566667
Dracaena fragrans,-46.717222,-23.566667
Dracaena fragrans,-67.869077,-9.954887
Dracaena fragrans,-60.046451,-3.14057
Dracaena fragrans,-47.072778,-15.707222
Dracaena fragrans,-48.066488,-15.835087
Dracaena fragrans,-52.386111,-24.061111
Dracaena fragrans,-52.385972,-24.061194
Dracaena fragrans,-47.855,-21.169444
Dracaena fragrans,-51.916667,-23.416667
Dracaena fragrans,-51.916667,-23.416667
Dracaena fragrans,-46.171389,-19.696111
Dracaena fragrans,-46.171388,-19.696111
Dracaena fragrans,-47.8,-21.166667
Dracaena fragrans,-43.451111,-22.923056
Dracaena fragrans,-46.6572973,-23.5627779
Dracaena fragrans,-43.96,-22.58
Dracaena fragrans,-37.2106,-10.4616
Dracaena fragrans,-38.966667,-12.966667
Dracaena fragrans,-38.966667,-12.25
Dracaena fragrans,-43.649722,-22.991667
