scientific_name,decimalLongitude,decimalLatitude
Dracaena trifasciata,-47.884818,-22.016852
Dracaena trifasciata,-34.873312,-7.136734
Dracaena trifasciata,-44.187692,-23.121284
Dracaena trifasciata,-48.633222,-27.988683
Dracaena trifasciata,-42.805673,-5.062378
Dracaena trifasciata,-42.79747,-5.076472
Dracaena trifasciata,-49.260891,-25.490088
Dracaena trifasciata,-46.544112,-23.468247
Dracaena trifasciata,-49.570301,-25.474958
Dracaena trifasciata,-49.243652,-25.38843
Dracaena trifasciata,-49.200346,-25.472293
Dracaena trifasciata,-49.311142,-25.478847
Dracaena trifasciata,-49.19698,-25.472368
Dracaena trifasciata,-49.206189,-25.458975
Dracaena trifasciata,-49.206186,-25.458933
Dracaena trifasciata,-49.340743,-25.499088
Dracaena trifasciata,-48.430022,-22.844742
Dracaena trifasciata,-49.256818,-25.376622
Dracaena trifasciata,-60.693371,2.832708
Dracaena trifasciata,-49.251622,-25.375989
Dracaena trifasciata,-40.702778,-13.402222
Dracaena trifasciata,-72.662483,-7.621975
Dracaena trifasciata,-72.659396,-7.640274
Dracaena trifasciata,-49.277686,-25.53788
Dracaena trifasciata,-48.628288,-26.939163
Dracaena trifasciata,-47.230794,-22.992506
Dracaena trifasciata,-51.43908,-22.113744
Dracaena trifasciata,-43.061511,-22.552987
Dracaena trifasciata,-52.666449,-18.393056
Dracaena trifasciata,-43.41531,-22.592419
Dracaena trifasciata,-53.70998,-29.186005
Dracaena trifasciata,-40.193631,-20.1325
Dracaena trifasciata,-53.759739,-25.88461
Dracaena trifasciata,-39.716608,-18.431484
Dracaena trifasciata,-48.957967,-15.85288
Dracaena trifasciata,-48.939625,-15.843853
Dracaena trifasciata,-49.251572,-25.376195
Dracaena trifasciata,-41.053333,-6.887222
Dracaena trifasciata,-41.053333,-6.887222
Dracaena trifasciata,-49.289116,-25.451582
Dracaena trifasciata,-49.254233,-25.386672
Dracaena trifasciata,-49.393861,-25.594517
Dracaena trifasciata,-52.419,-24.030444
Dracaena trifasciata,-38.966667,-12.266667
Dracaena trifasciata,-48.642031,-26.889738
Dracaena trifasciata,-41.430556,-20.729444
Dracaena trifasciata,-41.430556,-20.729444
Dracaena trifasciata,-46.35041,-23.964638
Dracaena trifasciata,-34.99176,-7.974674
Dracaena trifasciata,-53.895369,-17.227239
Dracaena trifasciata,-46.91689,-23.157102
Dracaena trifasciata,-54.418902,-25.785196
Dracaena trifasciata,-49.254475,-16.669501
Dracaena trifasciata,-47.812407,-14.176771
Dracaena trifasciata,-49.310185,-25.502228
Dracaena trifasciata,-43.438268,-22.586237
Dracaena trifasciata,-56.060639,-15.630833
Dracaena trifasciata,-54.470506,-25.620514
Dracaena trifasciata,-47.538767,-23.578721
Dracaena trifasciata,-49.259919,-25.409831
Dracaena trifasciata,-51.929988,-23.426816
Dracaena trifasciata,-51.929622,-23.427863
Dracaena trifasciata,-55.791125,-16.263611
Dracaena trifasciata,-44.560292,-3.254917
Dracaena trifasciata,-37.178017,-10.443103
Dracaena trifasciata,-34.881111,-8.054167
Dracaena trifasciata,-40.065532,-19.152255
Dracaena trifasciata,-47.919444,-15.739167
Dracaena trifasciata,-47.919333,-15.739306
Dracaena trifasciata,-47.919444,-15.739166
Dracaena trifasciata,-47.918056,-15.739167
Dracaena trifasciata,-43.024722,-22.659722
Dracaena trifasciata,-47.918055,-15.739166
Dracaena trifasciata,-47.878333,-15.947778
Dracaena trifasciata,-47.877778,-15.947222
Dracaena trifasciata,-48.874444,-1.721667
Dracaena trifasciata,-43.293611,-20.230278
Dracaena trifasciata,-43.293611,-20.230278
Dracaena trifasciata,-39.572222,-16.333611
Dracaena trifasciata,-43.5,-20.33
Dracaena trifasciata,-57.229667,-15.644444
Dracaena trifasciata,-46.728056,-23.5625
Dracaena trifasciata,-37.210556,-10.461667
Dracaena trifasciata,-37.351667,-10.771111
Dracaena trifasciata,-37.351944,-10.771389
Dracaena trifasciata,-54.470139,-25.620806
Dracaena trifasciata,-55.583333,-15.5
Dracaena trifasciata,-43.302778000000004,-20.230833
Dracaena trifasciata,-57.5525,-16.554194
Dracaena trifasciata,-40.804167,-14.890278
Dracaena trifasciata,-40.804167,-14.890278
Dracaena trifasciata,-47.85,-21.166667
Dracaena trifasciata,-49.222778,-25.332389
Dracaena trifasciata,-34.866667,-8
Dracaena trifasciata,-34.866667,-8.016667
Dracaena trifasciata,-36.726111,-5.408333
Dracaena trifasciata,-36.726111,-5.408333
Dracaena trifasciata,-57.683333,-16.066667
Dracaena trifasciata,-39.207778,-13.905278
Dracaena trifasciata,-49.059722,-26.936389
Dracaena trifasciata,-49.059722,-26.936389
Dracaena trifasciata,-52.316667,-24.1
Dracaena trifasciata,-52.316667,-24.1
Dracaena trifasciata,-47.533333,-22.383333
Dracaena trifasciata,-43.915972,-19.891611
Dracaena trifasciata,-47.916667,-15.766667
Dracaena trifasciata,-47.916666,-15.766666
Dracaena trifasciata,-54.676944,-20.423889
Dracaena trifasciata,-54.676944,-20.423889
Dracaena trifasciata,-34.863056,-7.115
Dracaena trifasciata,-65.13,-2.8
Dracaena trifasciata,-47.9297,-15.7797
Dracaena trifasciata,-34.881111,-8.054167
Dracaena trifasciata,-49.37,-28.678056
Dracaena trifasciata,-49.37,-28.678056
Dracaena trifasciata,-38.983333,-12.5
Dracaena trifasciata,-39.083333,-12.533333
Dracaena trifasciata,-47.929722,-15.779722
Dracaena trifasciata,-47.929722,-15.779722
Dracaena trifasciata,-47.965556,-15.878889
Dracaena trifasciata,-47.9655,-15.878889
Dracaena trifasciata,-37.2106,-10.4616
Dracaena trifasciata,-48.509167,-0.666667
Dracaena trifasciata,-65.13,-2.8
