scientific_name,decimalLongitude,decimalLatitude
Duopalatinus emarginatus,-44.460924,-14.313095
Duopalatinus emarginatus,-38.182222,-9.425
Duopalatinus emarginatus,-40.376814,-19.551211
Duopalatinus emarginatus,-44.591667,-18.358611
Duopalatinus emarginatus,-44.572222,-17.9125
Duopalatinus emarginatus,-43.988333,-18.684444
Duopalatinus emarginatus,-43.966667,-14.916667
Duopalatinus emarginatus,-43.966667,-14.916667
Duopalatinus emarginatus,-44.283333,-19.95
Duopalatinus emarginatus,-40.516667,-9.416667
Duopalatinus emarginatus,-40.558621,-9.458745
Duopalatinus emarginatus,-43.140473,-11.095546
Duopalatinus emarginatus,-36.588155,-10.290511
Duopalatinus emarginatus,-44.81667,-17.21667
Duopalatinus emarginatus,-36.588155,-10.290511
Duopalatinus emarginatus,-44.95496,-17.33615
Duopalatinus emarginatus,-44.83,-17.23
Duopalatinus emarginatus,-61.50833,-3.10833
Duopalatinus emarginatus,-46.033333,-18.983333
Duopalatinus emarginatus,-45.866667,-18.683333
Duopalatinus emarginatus,-45.733333,-18.4
Duopalatinus emarginatus,-45.283333,-18.5
Duopalatinus emarginatus,-45.283333,-18.5
Duopalatinus emarginatus,-38.184,-9.423278
