Species,decimalLongitude,decimalLatitude
Duranta erecta,-43.248147,-22.924921
Duranta erecta,-46.62865,-23.575658
Duranta erecta,-46.733959,-23.456575
Duranta erecta,-49.283056,-26.804722
Duranta erecta,-47.934881,-15.806856
Duranta erecta,-46.741531,-24.161132
Duranta erecta,-51.218135,-30.037454
Duranta erecta,-46.568796,-23.585877
Duranta erecta,-43.380025,-21.770834
Duranta erecta,-49.275116,-16.672168
Duranta erecta,-46.344765,-23.256985
Duranta erecta,-43.988887,-20.081973
Duranta erecta,-46.690175,-23.549575
Duranta erecta,-46.785412,-24.168761
Duranta erecta,-43.732397,-22.901289
Duranta erecta,-37.387039,-10.751475
Duranta erecta,-42.873305,-20.757408
Duranta erecta,-46.491851,-23.556534
Duranta erecta,-46.491851,-23.556534
Duranta erecta,-46.731145,-23.56626
Duranta erecta,-46.646043,-23.493701
Duranta erecta,-46.717802,-23.56979
Duranta erecta,-46.634955,-23.458361
Duranta erecta,-43.971583,-19.93253
Duranta erecta,-43.96392,-19.936813
Duranta erecta,-46.763287,-23.57522
Duranta erecta,-49.209344,-25.460131
Duranta erecta,-46.432425,-23.541087
Duranta erecta,-49.353539,-25.443601
Duranta erecta,-46.567878,-23.586303
Duranta erecta,-46.567779,-23.586225
Duranta erecta,-46.625862,-23.621083
Duranta erecta,-49.240395,-25.442228
Duranta erecta,-46.412136,-23.538952
Duranta erecta,-46.250412,-23.472564
Duranta erecta,-47.879833,-22.000955
Duranta erecta,-44.276324,-2.602078
Duranta erecta,-54.61239,-20.500011
Duranta erecta,-38.066477,-7.825949
Duranta erecta,-38.953071,-12.272691
Duranta erecta,-35.083707,-7.919037
Duranta erecta,-51.169442,-30.059174
Duranta erecta,-47.888652,-19.975938
Duranta erecta,-45.884326,-23.171261
Duranta erecta,-39.852934,-18.726801
Duranta erecta,-47.109701,-22.949784
Duranta erecta,-47.899833,-22.011192
Duranta erecta,-40.07076,-13.87149
Duranta erecta,-47.643483,-22.70828
Duranta erecta,-51.143791,-23.344029
Duranta erecta,-51.171843,-23.297484
Duranta erecta,-52.31833,-23.866585
Duranta erecta,-39.111064,-16.593683
Duranta erecta,-47.928733,-15.829628
Duranta erecta,-45.452869,-22.426919
Duranta erecta,-49.122425,-25.517339
Duranta erecta,-51.187184,-30.179958
Duranta erecta,-46.519443,-23.495176
Duranta erecta,-38.015448,-5.135573
Duranta erecta,-46.486262,-23.589757
Duranta erecta,-56.06578,-15.590845
Duranta erecta,-49.222328,-16.696058
Duranta erecta,-46.78563,-24.169037
Duranta erecta,-46.785355,-24.168895
Duranta erecta,-43.670955,-22.950062
