Species,decimalLongitude,decimalLatitude
Elaeis guineensis,-35.223515,-5.930694
Elaeis guineensis,-35.17448,-8.951963
Elaeis guineensis,-58.433585,-3.127245
Elaeis guineensis,-60.62602,-3.26343
Elaeis guineensis,-43.435334,-22.585967
Elaeis guineensis,-43.213193,-22.960829
Elaeis guineensis,-35.116234,-7.398641
Elaeis guineensis,-39.169545,-16.38815
Elaeis guineensis,-50.900651,2.545757
Elaeis guineensis,-39.008044,-14.368355
Elaeis guineensis,-35.114577,-6.670537
Elaeis guineensis,-35.181926,-6.718951
Elaeis guineensis,-38.412331,-12.948441
Elaeis guineensis,-42.341944,-22.880278
Elaeis guineensis,-43.553258,-22.889747
Elaeis guineensis,-34.873564,-7.114153
Elaeis guineensis,-34.898834,-6.870497
Elaeis guineensis,-41.493333,-12.369167
Elaeis guineensis,-35.223515,-5.930694
Elaeis guineensis,-73.054452,-7.336562
Elaeis guineensis,-38.392308,-12.131352
Elaeis guineensis,-38.148064,-12.704813
Elaeis guineensis,-35.764899,-9.607046
Elaeis guineensis,-39.61939,-17.224115
Elaeis guineensis,-34.988472,-7.977035
Elaeis guineensis,-34.849783,-7.854727
Elaeis guineensis,-60.044158,-3.100642
Elaeis guineensis,-35.209941,-8.885725
Elaeis guineensis,-34.837982,-7.871483
Elaeis guineensis,-39.05349,-16.249304
Elaeis guineensis,-34.915025,-8.094411
Elaeis guineensis,-34.876219,-7.912541
Elaeis guineensis,-60.004167,-3.056111
Elaeis guineensis,-60.004377,-3.054678
Elaeis guineensis,-34.838051,-7.873284
Elaeis guineensis,-34.862371,-7.918659
Elaeis guineensis,-34.859499,-7.917972
Elaeis guineensis,-34.838019,-7.873314
Elaeis guineensis,-42.769658,-22.450553
Elaeis guineensis,-34.856259,-7.907861
Elaeis guineensis,-34.86696,-7.919226
Elaeis guineensis,-43.446308,-22.904213
Elaeis guineensis,-39.036111,-16.372778
Elaeis guineensis,-43.287117,-22.719392
Elaeis guineensis,-37.102778,-10.926944
Elaeis guineensis,-37.157222,-10.820556
Elaeis guineensis,-36.485278,-10.466111
Elaeis guineensis,-39.42,-13.319444
Elaeis guineensis,-56.304588,-20.266062
Elaeis guineensis,-35.104517,-8.107436
Elaeis guineensis,-35.10527,-8.305723
Elaeis guineensis,-35.296667,-5.462778
Elaeis guineensis,-35.296667,-5.462778
Elaeis guineensis,-36.497222,-10.184111
Elaeis guineensis,-35.005,-8.220556
Elaeis guineensis,-36.367497,-10.070528
Elaeis guineensis,-35.004889,-8.2205
Elaeis guineensis,-34.970719,-7.753719
Elaeis guineensis,-36.231383,-10.116194
Elaeis guineensis,-47.855,-21.169444
Elaeis guineensis,-34.978611,-6.493611
Elaeis guineensis,-34.978611,-6.493611
Elaeis guineensis,-42.834158,-22.52048
Elaeis guineensis,-37.511389,-11.519444
Elaeis guineensis,-37.511389,-11.519444
Elaeis guineensis,-43.336944,-22.871111
Elaeis guineensis,-39.28,-14.808333
Elaeis guineensis,-36.231383,-10.116194
Elaeis guineensis,-34.866667,-7.433333
Elaeis guineensis,-36.369722,-10.255278
Elaeis guineensis,-67.809722,-9.974722
Elaeis guineensis,-67.809722,-9.974722
Elaeis guineensis,-67.8113845,-9.9782224
Elaeis guineensis,-46.6577974,-23.586877
Elaeis guineensis,-46.6577974,-23.586877
Elaeis guineensis,-39.166667,-14.8
Elaeis guineensis,-39.166667,-14.8
Elaeis guineensis,-39.738611,-18.524444
Elaeis guineensis,-40.645833,-19.762778
Elaeis guineensis,-38.95,-12.616667
Elaeis guineensis,-47.0608,-22.9056
Elaeis guineensis,-59.5939,-4.3878
Elaeis guineensis,-47.0608,-22.9056
Elaeis guineensis,-43.22277,-22.96417
Elaeis guineensis,-43.22277,-22.96417
Elaeis guineensis,-43,-7
Elaeis guineensis,-37.351669,-10.771317
Elaeis guineensis,-40,-5
Elaeis guineensis,-40,-5
Elaeis guineensis,-41.70073,-12.57974
Elaeis guineensis,-43.22504,-22.96737
