scientific_name,decimalLongitude,decimalLatitude
Eleutherodactylus johnstonei,-46.68194,-23.63389
Eleutherodactylus johnstonei,-46.682778,-23.633056
Eleutherodactylus johnstonei,-46.682778,-23.633056
Eleutherodactylus johnstonei,-46.682778,-23.633056
Eleutherodactylus johnstonei,-46.680833,-23.634444
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6817257,-23.637125
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
Eleutherodactylus johnstonei,-46.6861217,-23.63478
