scientific_name,decimalLongitude,decimalLatitude
Epipremnum aureum,-47.906364,-15.818924
Epipremnum aureum,-44.532238,-14.177183
Epipremnum aureum,-46.990917,-23.041745
Epipremnum aureum,-43.431021,-22.594063
Epipremnum aureum,-40.599972,-19.9366
Epipremnum aureum,-43.911406,-19.854639
Epipremnum aureum,-46.55301,-23.441803
Epipremnum aureum,-38.434538,-12.930611
Epipremnum aureum,-42.739012,-22.421492
Epipremnum aureum,-34.849157,-7.139112
Epipremnum aureum,-46.156244,-23.50066
Epipremnum aureum,-41.687498,-21.435149
Epipremnum aureum,-72.683289,-7.60273
Epipremnum aureum,-38.974167,-12.278333
Epipremnum aureum,-49.077998,-26.905281
Epipremnum aureum,-43.160525,-22.436848
Epipremnum aureum,-49.077799,-26.905235
Epipremnum aureum,-49.278914,-26.829889
Epipremnum aureum,-48.922833,-27.094922
Epipremnum aureum,-49.278921,-26.794102
Epipremnum aureum,-49.07917,-26.906178
Epipremnum aureum,-49.077789,-26.90538
Epipremnum aureum,-43.436036,-22.585445
Epipremnum aureum,-46.690481,-23.581364
Epipremnum aureum,-56.735125,-16.620772
Epipremnum aureum,-43.205432,-22.940088
Epipremnum aureum,-48.749093,-17.775525
Epipremnum aureum,-56.172603,-20.892083
Epipremnum aureum,-48.205013,-7.210551
Epipremnum aureum,-44.21751,-20.125398
Epipremnum aureum,-47.088211,-22.889321
Epipremnum aureum,-38.928611,-12.232778
Epipremnum aureum,-38.988333,-12.228333
Epipremnum aureum,-43.324532,-22.830003
Epipremnum aureum,-48.892825,-27.098994
Epipremnum aureum,-43.161967,-22.43572
Epipremnum aureum,-44.187583,-19.962827
Epipremnum aureum,-34.981475,-8.430989
Epipremnum aureum,-49.284113,-26.826533
Epipremnum aureum,-43.707895,-22.73487
Epipremnum aureum,-45.566986,-23.025986
Epipremnum aureum,-47.564405,-23.480226
Epipremnum aureum,-48.908245,-15.934199
Epipremnum aureum,-46.551172,-23.541329
Epipremnum aureum,-38.976111,-12.268056
Epipremnum aureum,-38.929722,-12.236389
Epipremnum aureum,-45.341858,-23.826575
Epipremnum aureum,-40.335653,-20.320099
Epipremnum aureum,-40.335653,-20.320099
Epipremnum aureum,-56.954353,-16.800219
Epipremnum aureum,-54.570017,-25.561214
Epipremnum aureum,-49.279275,-26.795397
Epipremnum aureum,-49.27936,-26.795467
Epipremnum aureum,-48.516233,-27.734469
Epipremnum aureum,-47.828201,-24.509966
Epipremnum aureum,-43.417069,-22.590644
Epipremnum aureum,-37.10016,-10.924591
Epipremnum aureum,-46.656029,-23.603894
Epipremnum aureum,-49.07977,-26.905312
Epipremnum aureum,-49.079886,-26.906178
Epipremnum aureum,-48.989639,-27.086977
Epipremnum aureum,-47.650122,-22.775043
Epipremnum aureum,-34.990434,-7.976865
Epipremnum aureum,-43.934773,-19.911642
Epipremnum aureum,-46.569809,-23.67968
Epipremnum aureum,-43.942035,-19.929976
Epipremnum aureum,-45.901146,-23.755896
Epipremnum aureum,-38.014472,-12.581033
Epipremnum aureum,-43.368246,-22.995295
Epipremnum aureum,-47.762932,-21.197561
Epipremnum aureum,-36.490874,-8.892916
Epipremnum aureum,-38.014544,-12.581038
Epipremnum aureum,-34.944669,-8.013517
Epipremnum aureum,-44.243753,-2.526213
Epipremnum aureum,-39.434867,-12.544275
Epipremnum aureum,-35.071092,-7.980977
