scientific_name,decimalLongitude,decimalLatitude
Equus caballus,-49.594731,-25.475268
Equus caballus,-43.209819,-22.095234
Equus caballus,-50.898447,-17.754465
Equus caballus,-47.44078,-24.280976
Equus caballus,-46.6613,-23.74643
Equus caballus,-43.431748,-22.592638
Equus caballus,-44.047302,-19.983104
Equus caballus,-40.5572,-19.952055
Equus caballus,-40.556553,-19.951507
Equus caballus,-46.703965,-23.677711
Equus caballus,-46.952397,-24.257603
Equus caballus,-46.955116,-22.386631
Equus caballus,-42.038372,-18.688606
Equus caballus,-53.427673,-32.261389
Equus caballus,-36.351406,-8.232741
Equus caballus,-51.091047,-31.289273
Equus caballus,-42.021533,-22.88752
Equus caballus,-39.848825,-18.72787
Equus caballus,-57.048892,-19.375495
Equus caballus,-45.439715,-21.555088
Equus caballus,-43.444011,-22.904761
Equus caballus,-39.758972,-18.738176
Equus caballus,-47.884325,-21.97446
Equus caballus,-47.884314,-21.974477
Equus caballus,-67.870952,-9.953519
Equus caballus,-44.607095,-14.249601
Equus caballus,-42.838569,-21.011566
Equus caballus,-45.333765,-21.480917
Equus caballus,-43.421123,-22.628998
Equus caballus,-56.845421,-16.817643
Equus caballus,-46.357171,-19.104566
Equus caballus,-45.279089,-20.878099
Equus caballus,-46.300503,-18.971995
Equus caballus,-56.711559,-16.512083
Equus caballus,-43.447114,-22.904574
Equus caballus,-43.446158,-22.90743
Equus caballus,-56.703536,-16.514089
Equus caballus,-36.614438,-9.424961
Equus caballus,-46.922743,-21.38367
Equus caballus,-54.108514,-17.160606
Equus caballus,-54.047417,-17.060857
Equus caballus,-55.161613,-17.212914
Equus caballus,-49.483153,-19.030111
Equus caballus,-47.132892,-23.305144
Equus caballus,-47.938815,-22.851427
Equus caballus,-43.438268,-22.586237
Equus caballus,-46.502286,-21.919509
Equus caballus,-46.529755,-24.031755
Equus caballus,-53.834518,-29.084091
Equus caballus,-45.387324,-22.84942
Equus caballus,-46.419517,-21.655711
Equus caballus,-56.774465,-17.36403
Equus caballus,-45.846674,-23.529581
Equus caballus,-54.355206,-11.524631
Equus caballus,-56.696126,-16.513013
Equus caballus,-35.239097,-5.865628
Equus caballus,-35.239109,-5.865641
Equus caballus,-49.227421,-25.543217
Equus caballus,-51.091047,-31.289273
Equus caballus,-56.628114,-16.264503
Equus caballus,-57.427104,-17.647035
Equus caballus,-43.710339,-22.609993
Equus caballus,-43.249698,-22.74385
Equus caballus,-55.965729,-20.095917
Equus caballus,-41.817038,-19.731355
Equus caballus,-45.521618,-2.034329
Equus caballus,-52.666449,-18.393056
Equus caballus,-37.833332,-5.666667
Equus caballus,-53.349998,-33.216667
Equus caballus,-42.700001,-9.016667
Equus caballus,-42.700001,-9.016667
Equus caballus,-42.700001,-9.016667
