Species,decimalLongitude,decimalLatitude
Eragrostis plana,-49.279652,-25.298501
Eragrostis plana,-49.28,-25.298333
Eragrostis plana,-49.28,-25.298333
Eragrostis plana,-55.612222,-29.759167
Eragrostis plana,-49.28,-25.298333
Eragrostis plana,-52.090555,-29.324722
Eragrostis plana,-54.566667,-20.466667
Eragrostis plana,-49.28,-25.298333
Eragrostis plana,-49.28,-25.298333
Eragrostis plana,-49.28,-25.298333
Eragrostis plana,-49.28,-25.298333
Eragrostis plana,-49.28,-25.298333
Eragrostis plana,-49.28,-25.298333
Eragrostis plana,-52.099167,-29.318333
Eragrostis plana,-52.246111,-31.764167
Eragrostis plana,-52.246111,-31.764167
Eragrostis plana,-50.306111,-27.7925
Eragrostis plana,-50.306111,-27.7925
Eragrostis plana,-50.306111,-27.7925
Eragrostis plana,-50.306111,-27.7925
Eragrostis plana,-52.098889,-29.303056
Eragrostis plana,-50.306111,-27.7925
Eragrostis plana,-51.342777,-27.919445
Eragrostis plana,-54.016944,-31.335833
Eragrostis plana,-54.016944,-31.335833
Eragrostis plana,-43.431944,-20.276389000000002
Eragrostis plana,-53.716333,-29.724611
Eragrostis plana,-49.037778,-26.776667
Eragrostis plana,-49.037778,-26.776667
Eragrostis plana,-52.490278000000004,-30.326944
Eragrostis plana,-49.86,-23.4
Eragrostis plana,-49.86,-23.399722
Eragrostis plana,-51.12,-28.44
Eragrostis plana,-53.46,-29.88
Eragrostis plana,-53.46,-30.24
Eragrostis plana,-53.82,-30.06
Eragrostis plana,-51.12,-28.44
Eragrostis plana,-49.362222,-26.8625
Eragrostis plana,-49.362222,-26.8625
Eragrostis plana,-52.74,-30.24
Eragrostis plana,-50.223889,-29.889167
Eragrostis plana,-39.874913,-8.94465
Eragrostis plana,-39.874913,-8.94465
Eragrostis plana,-50.223922,-29.889206
Eragrostis plana,-51.84,-30.6
Eragrostis plana,-54,-31.32
Eragrostis plana,-48.531944,-27.611111
Eragrostis plana,-48.532778,-27.612222
Eragrostis plana,-48.531944,-27.611111
Eragrostis plana,-48.532778,-27.612222
Eragrostis plana,-55.718333,-30.780556
Eragrostis plana,-55.718333,-30.780556
Eragrostis plana,-48.638333,-26.854722
Eragrostis plana,-48.638333,-26.854722
Eragrostis plana,-55.406667,-29.7975
Eragrostis plana,-49.413056,-26.285833
Eragrostis plana,-49.413056,-26.285833
Eragrostis plana,-52.985278,-30.042778
Eragrostis plana,-49.360556,-26.949167
Eragrostis plana,-49.360556,-26.949167
Eragrostis plana,-48.530556,-27.618056
Eragrostis plana,-48.530556,-27.618056
Eragrostis plana,-48.83,-28.053889
Eragrostis plana,-54.202508,-29.620397
Eragrostis plana,-52.389444,-26.874444
Eragrostis plana,-52.389444,-26.874444
Eragrostis plana,-51.359722,-30.522778
Eragrostis plana,-49.121111,-25.381917
Eragrostis plana,-52.244333,-31.682028
Eragrostis plana,-48.527222,-27.627778
Eragrostis plana,-48.527222,-27.627778
Eragrostis plana,-48.965556,-27.695833
Eragrostis plana,-48.965556,-27.695833
Eragrostis plana,-51.932778,-29.337222
Eragrostis plana,-49.335722,-25.626583
Eragrostis plana,-49.665944,-24.186333
Eragrostis plana,-49.332194,-25.629
Eragrostis plana,-51.015556,-30.276667
Eragrostis plana,-49.120667,-25.379361
Eragrostis plana,-51.015556,-30.276667
Eragrostis plana,-49.343333,-25.735
Eragrostis plana,-49.206528,-25.4415
Eragrostis plana,-49.177611,-25.524
Eragrostis plana,-51.0175,-30.069444
Eragrostis plana,-55.205833,-23.667222
Eragrostis plana,-47.977778,-15.806111
Eragrostis plana,-44.658611,-21.295833
Eragrostis plana,-47.883333,-15.783333
Eragrostis plana,-50.1225681,-27.4870057
Eragrostis plana,-47.883333,-15.783333
Eragrostis plana,-49.37,-28.678056
Eragrostis plana,-49.37,-28.678056
Eragrostis plana,-45.237222,-21.234444
Eragrostis plana,-46.566389,-21.787222
Eragrostis plana,-48.083333,-15.8
Eragrostis plana,-48.54,-20.71
