Species,decimalLongitude,decimalLatitude
Eucalyptus robusta,-48.685843,-28.129151
Eucalyptus robusta,-43.279931,-22.9561
Eucalyptus robusta,-43.292134,-22.955074
Eucalyptus robusta,-43.285555,-22.955
Eucalyptus robusta,-49.304663,-26.9517
Eucalyptus robusta,-43.290176,-22.956022
Eucalyptus robusta,-37.98,-11.699722
Eucalyptus robusta,-52.0075,-29.599722
Eucalyptus robusta,-47.952778,-15.735278
Eucalyptus robusta,-47.952777,-15.735277
Eucalyptus robusta,-52.250633,-32.038377
Eucalyptus robusta,-51.95,-23.416667
Eucalyptus robusta,-51.95,-23.416667
Eucalyptus robusta,-46.717222,-23.566667
Eucalyptus robusta,-48.6158,-23.1017
Eucalyptus robusta,-51.511944,-30.546667
Eucalyptus robusta,-48.919444,-28.429444
Eucalyptus robusta,-51.511944,-30.546389
Eucalyptus robusta,-51.3958,-30.6733
Eucalyptus robusta,-48.919444,-28.429167
Eucalyptus robusta,-51.511944,-30.546389
Eucalyptus robusta,-52.401111,-24.238611
Eucalyptus robusta,-52.401083,-24.238556
Eucalyptus robusta,-52.240278000000004,-24.141944
Eucalyptus robusta,-46.716667,-23.55
Eucalyptus robusta,-46.716667,-23.55
Eucalyptus robusta,-46.716667,-23.55
Eucalyptus robusta,-46.716667,-23.55
Eucalyptus robusta,-46.716667,-23.55
Eucalyptus robusta,-46.716667,-23.55
Eucalyptus robusta,-46.716667,-23.55
Eucalyptus robusta,-46.716667,-23.55
Eucalyptus robusta,-46.716667,-23.55
Eucalyptus robusta,-46.716667,-23.55
Eucalyptus robusta,-43.6886,-22.763
Eucalyptus robusta,-40.6,-19.936111
Eucalyptus robusta,-46.6577974,-23.586877
Eucalyptus robusta,-43.2075,-22.903056
Eucalyptus robusta,-43.2076685,-22.9069598
Eucalyptus robusta,-40.6,-19.936111
Eucalyptus robusta,-46.6290992,-23.574779
Eucalyptus robusta,-51.124635,-30.053181
Eucalyptus robusta,-51.214437,-30.034991
Eucalyptus robusta,-51.214437,-30.034991
Eucalyptus robusta,-51.214437,-30.034991
Eucalyptus robusta,-51.214437,-30.034991
Eucalyptus robusta,-43.299444,-22.949167
Eucalyptus robusta,-46.63,-23.540278
Eucalyptus robusta,-46.6304064,-23.5441636
Eucalyptus robusta,-46.64,-23.55
Eucalyptus robusta,-46.63,-23.54
Eucalyptus robusta,-43.2075,-22.903056
Eucalyptus robusta,-43.2076685,-22.9069598
Eucalyptus robusta,-47.5614,-22.4114
