Species,decimalLongitude,decimalLatitude
Eucalyptus saligna,-51.810556,-31.125556
Eucalyptus saligna,-53.707778,-25.765833
Eucalyptus saligna,-46.530944,-23.409222
Eucalyptus saligna,-46.530833,-23.409167
Eucalyptus saligna,-53.183333,-24.516667
Eucalyptus saligna,-53.183333,-24.516667
Eucalyptus saligna,-49.197593,-25.642268
Eucalyptus saligna,-49.118556,-25.385361
Eucalyptus saligna,-47.2958,-22.7775
Eucalyptus saligna,-48.6158,-23.1017
Eucalyptus saligna,-48.6158,-23.1017
Eucalyptus saligna,-37.103056,-10.256944
Eucalyptus saligna,-37.110994,-10.265469
Eucalyptus saligna,-46.716667,-23.55
Eucalyptus saligna,-46.716667,-23.55
Eucalyptus saligna,-46.716667,-23.55
Eucalyptus saligna,-46.716667,-23.55
Eucalyptus saligna,-49.005833,-28.481667
Eucalyptus saligna,-47.0608,-22.9056
Eucalyptus saligna,-47.0608,-22.9056
Eucalyptus saligna,-49.005833,-28.481667
Eucalyptus saligna,-48.013611,-15.909167
Eucalyptus saligna,-48.013611,-15.909166
Eucalyptus saligna,-47.5614,-22.4114
