Species,decimalLongitude,decimalLatitude
Eucalyptus tereticornis,-38.34,-10.799722
Eucalyptus tereticornis,-51.033889,-27.851944
Eucalyptus tereticornis,-51.033889,-27.851944
Eucalyptus tereticornis,-50.040555,-28.348333
Eucalyptus tereticornis,-50.040833,-28.348889
Eucalyptus tereticornis,-48.6158,-23.1017
Eucalyptus tereticornis,-43.452222,-3.247222
Eucalyptus tereticornis,-43.452444,-3.247306
Eucalyptus tereticornis,-46.716667,-23.55
Eucalyptus tereticornis,-46.716667,-23.55
Eucalyptus tereticornis,-38.966667,-12.25
Eucalyptus tereticornis,-46.7725,-23.663056
Eucalyptus tereticornis,-46.7725,-23.663056
Eucalyptus tereticornis,-46.7742004,-23.6629779
Eucalyptus tereticornis,-48.0205,-22.731417
Eucalyptus tereticornis,-48.05,-23.59
Eucalyptus tereticornis,-48.05,-23.59
Eucalyptus tereticornis,-51.328056,-30.101167
Eucalyptus tereticornis,-47.93,-15.78
Eucalyptus tereticornis,-47.881111,-15.913889
Eucalyptus tereticornis,-51.214437,-30.034991
Eucalyptus tereticornis,-50.9924469,-29.9483299
Eucalyptus tereticornis,-50.991667,-29.944444
Eucalyptus tereticornis,-51.214437,-30.034991
Eucalyptus tereticornis,-34.8685,-7.93848
Eucalyptus tereticornis,-46.63,-23.540278
Eucalyptus tereticornis,-46.63,-23.540278
Eucalyptus tereticornis,-46.6304064,-23.5441636
Eucalyptus tereticornis,-46.6304064,-23.5441636
Eucalyptus tereticornis,-46.64,-23.55
Eucalyptus tereticornis,-47.5614,-22.4114
