Species,decimalLongitude,decimalLatitude
Eucalyptus viminalis,-53.425,-24.190833
Eucalyptus viminalis,-51.163333,-29.130278
Eucalyptus viminalis,-49.2336,-25.4507
Eucalyptus viminalis,-40.956667,-3.805
Eucalyptus viminalis,-49.2338,-25.4515
Eucalyptus viminalis,-52.29,-25.371667
Eucalyptus viminalis,-52.290028,-25.372139
Eucalyptus viminalis,-52.29,-25.371944
Eucalyptus viminalis,-51.6597,-25.6956
Eucalyptus viminalis,-51.6597,-25.6956
Eucalyptus viminalis,-51.6597,-25.6956
Eucalyptus viminalis,-52.29,-25.371944
Eucalyptus viminalis,-52.561667,-28.231944
Eucalyptus viminalis,-52.561667,-28.231944
Eucalyptus viminalis,-52.561667,-28.231944
Eucalyptus viminalis,-53.086944,-24.618889
Eucalyptus viminalis,-53.087028,-24.61875
Eucalyptus viminalis,-49.207806,-25.427667
Eucalyptus viminalis,-50.174444,-29.480833
Eucalyptus viminalis,-49.2523,-25.4139
Eucalyptus viminalis,-49.2523,-25.4139
Eucalyptus viminalis,-47.5614,-22.4114
