scientific_name,decimalLongitude,decimalLatitude
Eulophia maculata,-40.723068,-20.838214
Eulophia maculata,-44.041335,-19.965717
Eulophia maculata,-49.01613,-22.343859
Eulophia maculata,-40.170011,-19.945547
Eulophia maculata,-42.044722,-22.422222
Eulophia maculata,-43.446557,-22.966638
Eulophia maculata,-49.138907,-16.530397
Eulophia maculata,-47.885651,-22.388822
Eulophia maculata,-47.888534,-22.389977
Eulophia maculata,-47.543853,-22.395962
Eulophia maculata,-49.11404,-16.53387
Eulophia maculata,-46.609801,-23.586784
Eulophia maculata,-38.423312,-3.879532
Eulophia maculata,-44.367736,-20.12675
Eulophia maculata,-48.618686,-16.667531
Eulophia maculata,-35.201369,-5.842975
Eulophia maculata,-48.617433,-16.666038
Eulophia maculata,-46.736144,-23.52053
Eulophia maculata,-40.599462,-19.935648
Eulophia maculata,-43.522634,-19.545185
Eulophia maculata,-49.114945,-16.533992
Eulophia maculata,-39.88357,-19.042008
Eulophia maculata,-43.951807,-19.788934
Eulophia maculata,-43.992534,-19.920065
Eulophia maculata,-43.992288,-19.920043
Eulophia maculata,-35.223515,-5.930694
Eulophia maculata,-52.318127,-23.865602
Eulophia maculata,-52.317978,-23.865239
Eulophia maculata,-52.317613,-23.865617
Eulophia maculata,-43.96173,-19.863853
Eulophia maculata,-47.86898,-15.947038
Eulophia maculata,-46.286389,-22.960643
Eulophia maculata,-43.983333,-18.516667
Eulophia maculata,-43.983333,-18.516667
Eulophia maculata,-48.806046,-27.73655
Eulophia maculata,-48.990372,-27.091772
Eulophia maculata,-44.362936,-15.485045
Eulophia maculata,-51.766111,-20.101111
Eulophia maculata,-47.960556,-15.511389
Eulophia maculata,-51.766111,-20.101111
Eulophia maculata,-38.470474,-3.83105
Eulophia maculata,-47.773117,-16.112339
Eulophia maculata,-43.545345,-22.887395
Eulophia maculata,-52.327978,-24.1018
Eulophia maculata,-40.977778,-16.3925
Eulophia maculata,-47.665278,-15.596111
Eulophia maculata,-40.059183,-19.135808
Eulophia maculata,-54.305872,-24.032636
Eulophia maculata,-40.161161,-14.365808
Eulophia maculata,-40.449783,-10.901847
Eulophia maculata,-46.786194,-1.056694
Eulophia maculata,-39.958056,-19.656111
Eulophia maculata,-38.634106,-3.985645
Eulophia maculata,-38.634106,-3.985645
Eulophia maculata,-40.147214,-19.05618
Eulophia maculata,-44.330127,-23.155609
Eulophia maculata,-51.933167,-23.802938
Eulophia maculata,-51.852222,-23.868889
Eulophia maculata,-51.852306,-23.869111
Eulophia maculata,-41.836111,-22.392222
Eulophia maculata,-36.352903,-7.417292
Eulophia maculata,-36.665361,-7.663642
Eulophia maculata,-38.804722,-12.250833
Eulophia maculata,-42.49663,-19.516045
Eulophia maculata,-54.536741,-19.442466
Eulophia maculata,-41.062964,-16.415965
Eulophia maculata,-36.327239,-7.128356
Eulophia maculata,-35.380358,-6.10647
Eulophia maculata,-48.640404,-27.971271
Eulophia maculata,-35.223515,-5.930694
Eulophia maculata,-48.990378,-27.09394
Eulophia maculata,-37.052036,-10.882512
Eulophia maculata,-48.659796,-28.078659
Eulophia maculata,-39.631389,-13.273056
Eulophia maculata,-47.114022,-22.729656
Eulophia maculata,-47.112569,-22.733129
Eulophia maculata,-38.812619,-3.57684
Eulophia maculata,-37.908819,-6.08784
Eulophia maculata,-45.711841,-22.296611
Eulophia maculata,-48.93973,-15.843858000000001
Eulophia maculata,-41.862218,-22.454277
Eulophia maculata,-49.421895,-23.214251
Eulophia maculata,-48.847307,-19.974073
Eulophia maculata,-48.921308,-20.033316
Eulophia maculata,-45.172118,-23.513417
Eulophia maculata,-38.633333,-3.983333
Eulophia maculata,-39.811856,-18.754014
Eulophia maculata,-47.809775,-15.744645
Eulophia maculata,-40.141944,-18.370833
Eulophia maculata,-36.48464,-8.883493
Eulophia maculata,-43.44748,-22.902155
Eulophia maculata,-47.546272,-22.395933
Eulophia maculata,-35.747324,-6.972538
Eulophia maculata,-57.216228,-15.652747
Eulophia maculata,-40.481111,-20.280556
Eulophia maculata,-53.425,-24.190833
Eulophia maculata,-40.481111,-20.280556
Eulophia maculata,-42.529016,-22.915288
Eulophia maculata,-49.360474,-28.684858
Eulophia maculata,-47.848724,-21.174153
Eulophia maculata,-47.858817,-21.163889
Eulophia maculata,-54.454613,-25.65991
Eulophia maculata,-43.268693,-22.925305
Eulophia maculata,-35.08457,-6.805221
Eulophia maculata,-38.570913,-3.743424
Eulophia maculata,-43.650576,-22.991349
Eulophia maculata,-54.536008,-19.442795
Eulophia maculata,-40.259486,-20.254234
Eulophia maculata,-39.828611,-19.127222
Eulophia maculata,-49.109015,-28.625615
Eulophia maculata,-40.332755,-20.369419
Eulophia maculata,-41.767005,-22.340662
Eulophia maculata,-38.409836,-12.947655
Eulophia maculata,-53.846047,-25.15498
Eulophia maculata,-48.596769,-27.069727
Eulophia maculata,-41.491944,-12.338056
Eulophia maculata,-34.93265,-7.92383
Eulophia maculata,-38.470796,-3.831286
Eulophia maculata,-48.982814,-27.089507
Eulophia maculata,-43.996283,-18.510012
Eulophia maculata,-43.997272,-18.513722
Eulophia maculata,-47.730033,-22.686816
Eulophia maculata,-43.053619,-22.546899
Eulophia maculata,-47.884378,-15.745306
Eulophia maculata,-46.578041,-22.533209
Eulophia maculata,-48.745184,-26.881699
Eulophia maculata,-43.904444,-19.950833
Eulophia maculata,-43.840937,-19.827457
Eulophia maculata,-45.546008,-22.254003
Eulophia maculata,-49.360242,-16.606801
Eulophia maculata,-43.44635,-22.904378
Eulophia maculata,-43.62817,-22.988095
Eulophia maculata,-43.632625,-22.980142
Eulophia maculata,-43.506197,-22.061986
Eulophia maculata,-46.418817,-20.253786
Eulophia maculata,-41.4325,-20.731667
Eulophia maculata,-47.868889,-15.946944
Eulophia maculata,-43.282562,-22.69027
Eulophia maculata,-39.626211,-15.851291
Eulophia maculata,-46.611867,-22.486105
Eulophia maculata,-47.765879,-15.80821
Eulophia maculata,-47.580833,-23.498889
Eulophia maculata,-56.093889,-15.586389
Eulophia maculata,-38.471118,-3.831221
Eulophia maculata,-38.471118,-3.831221
Eulophia maculata,-35.065833,-7.982778
Eulophia maculata,-48.508427,-21.427983
Eulophia maculata,-48.134167,-24.716944
Eulophia maculata,-44.095294,-5.702995
Eulophia maculata,-47.860858,-15.76615
Eulophia maculata,-40.213889,-19.417778
Eulophia maculata,-40.215833,-19.418333
Eulophia maculata,-51.370278,-23.328056
Eulophia maculata,-40.215833,-19.418333
Eulophia maculata,-43.470587,-23.022938
Eulophia maculata,-62.484265,-10.420474
Eulophia maculata,-43.44596,-22.898849
Eulophia maculata,-43.44596,-22.898849
Eulophia maculata,-41.379444,-19.273333
Eulophia maculata,-46.846467,-23.657367
Eulophia maculata,-41.595555,-21.455833
Eulophia maculata,-41.615556,-21.361667
Eulophia maculata,-41.379444,-19.273333
Eulophia maculata,-47.479841,-23.580396
Eulophia maculata,-48.132636,-22.291608
Eulophia maculata,-40.371476,-20.509689
Eulophia maculata,-42.523437,-22.917528
Eulophia maculata,-41.933078,-21.015797
Eulophia maculata,-43.66201,-22.729602
Eulophia maculata,-43.36642,-22.995586
Eulophia maculata,-41.082778,-21.426389
Eulophia maculata,-41.094167,-21.372778
Eulophia maculata,-48.663627,-28.093913
Eulophia maculata,-43.420301,-21.65882
Eulophia maculata,-47.406137,-23.491981
Eulophia maculata,-40.202083,-20.186386
Eulophia maculata,-40.202083,-20.186386
Eulophia maculata,-35.330472,-8.067358
Eulophia maculata,-50.24201,-6.057731
Eulophia maculata,-50.24201,-6.057731
Eulophia maculata,-48.421844,-27.412722
Eulophia maculata,-46.58427,-23.063964
Eulophia maculata,-43.90563,-19.950915
Eulophia maculata,-47.834581,-15.876263
Eulophia maculata,-47.885242,-15.741962
Eulophia maculata,-48.491863,-21.375638
Eulophia maculata,-43.4491,-22.901953
Eulophia maculata,-42.770396,-22.452717
Eulophia maculata,-47.343237,-22.569684
Eulophia maculata,-43.50308,-22.871653
Eulophia maculata,-41.770556,-4.288056
Eulophia maculata,-41.770556,-4.288056
Eulophia maculata,-42.47978,-22.935238
Eulophia maculata,-46.998321,-22.425128
Eulophia maculata,-43.548139,-22.888418
Eulophia maculata,-48.395099,-18.976454
Eulophia maculata,-45.696874,-22.257308
Eulophia maculata,-38.471118,-3.831221
Eulophia maculata,-48.572222,-26.366389
Eulophia maculata,-43.217808,-22.936549
Eulophia maculata,-49.047244,-16.152571
Eulophia maculata,-48.572222,-26.366389
Eulophia maculata,-44.223508,-21.097039
Eulophia maculata,-41.817222,-20.337778
Eulophia maculata,-47.625753,-22.438744
Eulophia maculata,-47.559861,-22.447833
Eulophia maculata,-45.123926,-22.198214
Eulophia maculata,-41.817222,-20.337778
Eulophia maculata,-40.109722,-2.909167
Eulophia maculata,-47.241189,-23.049421
Eulophia maculata,-46.716103,-23.565278
Eulophia maculata,-39.448409,-13.430506
Eulophia maculata,-39.066672,-16.47578
Eulophia maculata,-47.613889,-23.513611
Eulophia maculata,-38.471118,-3.831221
Eulophia maculata,-47.647483,-22.464075
Eulophia maculata,-42.675544,-18.750541
Eulophia maculata,-43.032286,-21.546406
Eulophia maculata,-43.032172,-21.546355
Eulophia maculata,-46.56995,-21.808693
Eulophia maculata,-54.438,-25.5883
Eulophia maculata,-47.726281,-15.318167
Eulophia maculata,-35.492259,-6.851147
Eulophia maculata,-57.960833,-17.08975
Eulophia maculata,-49.365954,-28.939383
Eulophia maculata,-48.40639,-1.383412
Eulophia maculata,-43.345556,-22.952778
Eulophia maculata,-45.976944,-21.938611
Eulophia maculata,-34.948632,-7.142337
Eulophia maculata,-41.386547,-12.567563
Eulophia maculata,-40.283078,-20.066068
Eulophia maculata,-47.652911,-22.465267
Eulophia maculata,-42.379894,-21.13074
Eulophia maculata,-42.379939,-21.130713
Eulophia maculata,-48.306725,-23.546045
Eulophia maculata,-49.272693,-8.268307
Eulophia maculata,-43.312456,-4.84664
Eulophia maculata,-41.989482,-20.257348
Eulophia maculata,-41.989435,-20.257299
Eulophia maculata,-47.803795,-21.249912
Eulophia maculata,-46.532372,-22.966906
Eulophia maculata,-46.532424,-22.966739
Eulophia maculata,-46.845245,-23.42162
Eulophia maculata,-46.845245,-23.42162
Eulophia maculata,-46.845245,-23.42162
Eulophia maculata,-56.1006,-9.879718
