Species,decimalLongitude,decimalLatitude
Euphorbia tirucalli,-42.012374,-22.859747
Euphorbia tirucalli,-46.730378,-23.566035
Euphorbia tirucalli,-46.723685,-21.955732
Euphorbia tirucalli,-47.806221,-15.80372
Euphorbia tirucalli,-58.434317,-3.123294
Euphorbia tirucalli,-46.652249,-23.702148
Euphorbia tirucalli,-50.851134,-29.68989
Euphorbia tirucalli,-49.241885,-25.457627
Euphorbia tirucalli,-46.641048,-23.057273
Euphorbia tirucalli,-38.928611,-12.232778
Euphorbia tirucalli,-47.226096,-23.080842
Euphorbia tirucalli,-39.859863,-18.676394
Euphorbia tirucalli,-49.306189,-25.421724
Euphorbia tirucalli,-36.026834,-7.113611
Euphorbia tirucalli,-41.799163,-11.330322
Euphorbia tirucalli,-36.334422000000004,-7.109014
Euphorbia tirucalli,-48.077902,-15.883025
Euphorbia tirucalli,-35.498342,-8.174127
Euphorbia tirucalli,-36.444074,-8.522382
Euphorbia tirucalli,-38.433333,-12.783333
Euphorbia tirucalli,-39.318614,-11.608611
Euphorbia tirucalli,-38.786667,-10.963056
Euphorbia tirucalli,-38.966667,-12.266667
Euphorbia tirucalli,-48.448083,-22.869333
Euphorbia tirucalli,-60.669595,2.815442
Euphorbia tirucalli,-46.55166,-23.664842
Euphorbia tirucalli,-41.341976,-21.458513
Euphorbia tirucalli,-42.19925,-22.85239
Euphorbia tirucalli,-41.0425,-6.886111
Euphorbia tirucalli,-39.751155,-18.945103
Euphorbia tirucalli,-37.694387,-4.533578
Euphorbia tirucalli,-39.054417,-16.249107
Euphorbia tirucalli,-37.068741,-8.291726
Euphorbia tirucalli,-49.248889,-25.414722
Euphorbia tirucalli,-49.248889,-25.414722
Euphorbia tirucalli,-44.560292,-3.254917
Euphorbia tirucalli,-40.425115,-2.816117
Euphorbia tirucalli,-39.231425,-17.352199
Euphorbia tirucalli,-36.824369,-7.210182
Euphorbia tirucalli,-47.077171,-22.87025
Euphorbia tirucalli,-46.729775,-23.563456
Euphorbia tirucalli,-43.416111,-20.377778
Euphorbia tirucalli,-47.036453,-22.881432
Euphorbia tirucalli,-43.072778,-8.171667
Euphorbia tirucalli,-43.072778,-8.171667
Euphorbia tirucalli,-46.976389,-7.28
Euphorbia tirucalli,-39.049444,-14.788889
Euphorbia tirucalli,-36.7396,-9.6701
Euphorbia tirucalli,-35.845278,-5.543056
Euphorbia tirucalli,-35.845278,-5.543056
Euphorbia tirucalli,-44.282889,-2.539083
Euphorbia tirucalli,-39.045556,-15.299167
Euphorbia tirucalli,-52.386944,-24.061111
Euphorbia tirucalli,-52.386917,-24.06125
Euphorbia tirucalli,-42.057778,-16.864722
Euphorbia tirucalli,-38.938117,-11.194183
Euphorbia tirucalli,-41.648889,-21.753056
Euphorbia tirucalli,-47.812656,-14.175594
Euphorbia tirucalli,-48.33,-1.066944
Euphorbia tirucalli,-55.498611,-11.851944
Euphorbia tirucalli,-35.819722,-6.300556
Euphorbia tirucalli,-35.819722,-6.300556
Euphorbia tirucalli,-48.882222,-1.722778
Euphorbia tirucalli,-40.868963,-9.638768
Euphorbia tirucalli,-42.405555,-20.4
Euphorbia tirucalli,-42.405555,-20.4
Euphorbia tirucalli,-37.173333,-8.631111
Euphorbia tirucalli,-37.173247,-8.631
Euphorbia tirucalli,-41.638611,-22.273611
Euphorbia tirucalli,-37.403611,-8.109444
Euphorbia tirucalli,-37.403583,-8.109333
Euphorbia tirucalli,-37.013611,-7.657222
Euphorbia tirucalli,-37.013611,-7.657222
Euphorbia tirucalli,-42.761111,-5.072222
Euphorbia tirucalli,-42.120757,-10.882017
Euphorbia tirucalli,-37.985833,-7.865
Euphorbia tirucalli,-37.985722,-7.864888
Euphorbia tirucalli,-37.2475,-9.37
Euphorbia tirucalli,-37.420647,-9.627656
Euphorbia tirucalli,-37.2475,-9.37
Euphorbia tirucalli,-37.420647,-9.627656
Euphorbia tirucalli,-37.234444,-8.583333
Euphorbia tirucalli,-38.615278000000004,-12.931667
Euphorbia tirucalli,-38.61528,-12.93167
Euphorbia tirucalli,-38.61528,-12.93167
Euphorbia tirucalli,-40.25,-14.351111
Euphorbia tirucalli,-38.656111,-9.336111
Euphorbia tirucalli,-35.922222,-8.238333
Euphorbia tirucalli,-35.563333,-9.309722
Euphorbia tirucalli,-35.942692,-9.527144
Euphorbia tirucalli,-43.336944,-22.871111
Euphorbia tirucalli,-35.497778,-5.492778
Euphorbia tirucalli,-35.497778,-5.492778
Euphorbia tirucalli,-46.444083,-20.340861
Euphorbia tirucalli,-46.531778,-20.321167
Euphorbia tirucalli,-50.611111,-24.314167
Euphorbia tirucalli,-50.611111,-24.314167
Euphorbia tirucalli,-40.483333,-11.3
Euphorbia tirucalli,-35.976111,-8.283333
Euphorbia tirucalli,-35.825,-5.815278
Euphorbia tirucalli,-38.615278000000004,-12.931667
Euphorbia tirucalli,-35.8246839,-5.8187749
Euphorbia tirucalli,-40.166667,-14
Euphorbia tirucalli,-40.16666,-14
Euphorbia tirucalli,-36.641667,-6.808333
Euphorbia tirucalli,-36.641667,-6.808333
Euphorbia tirucalli,-36.641667,-6.808333
Euphorbia tirucalli,-36.641667,-6.808333
Euphorbia tirucalli,-52.8731,-10.8339
Euphorbia tirucalli,-42,-11
Euphorbia tirucalli,-41.85,-11.3
Euphorbia tirucalli,-35.216667,-5.8
Euphorbia tirucalli,-40.0832551,-13.8614863
Euphorbia tirucalli,-40.083333,-13.857778
Euphorbia tirucalli,-52.8731,-10.8339
Euphorbia tirucalli,-37.344167,-5.1875
Euphorbia tirucalli,-40.283333,-9.283333
Euphorbia tirucalli,-39.1,-12.666667
Euphorbia tirucalli,-34.863056,-7.115
Euphorbia tirucalli,-37.053883,-10.957875
Euphorbia tirucalli,-36.879167,-8.575
Euphorbia tirucalli,-48.5075,-0.6675
