scientific_name,decimalLongitude,decimalLatitude
Euterpe oleracea,-47.471158,-5.529222
Euterpe oleracea,-49.088311,-5.176138
Euterpe oleracea,-49.123098,-5.367108
Euterpe oleracea,-49.088558,-5.176186
Euterpe oleracea,-49.093517,-5.353053
Euterpe oleracea,-48.440651,-1.337995
Euterpe oleracea,-63.150433,-4.097623
Euterpe oleracea,-58.424983,-3.114795
Euterpe oleracea,-58.434756,-3.127269
Euterpe oleracea,-43.54618,-22.888212
Euterpe oleracea,-34.952869,-8.052182
Euterpe oleracea,-40.351094,-20.272366
Euterpe oleracea,-63.972847,-8.731062
Euterpe oleracea,-34.947828,-8.012485
Euterpe oleracea,-34.868328,-7.841617
Euterpe oleracea,-51.368481,-0.211303
Euterpe oleracea,-51.226596,0.9269
Euterpe oleracea,-50.923815,1.398428
Euterpe oleracea,-50.954684,2.495355
Euterpe oleracea,-50.950295,2.488991
Euterpe oleracea,-50.955843,2.519605
Euterpe oleracea,-51.412556,0.714107
Euterpe oleracea,-51.125301,0.356798
Euterpe oleracea,-51.120038,-0.017523
Euterpe oleracea,-51.118511,-0.017552
Euterpe oleracea,-51.11724,-0.01568
Euterpe oleracea,-51.11456,-0.01373
Euterpe oleracea,-51.113247,-0.01378
Euterpe oleracea,-51.112503,-0.015791
Euterpe oleracea,-51.112595,-0.014767
Euterpe oleracea,-51.116277,-0.015177
Euterpe oleracea,-51.195264,-0.049076
Euterpe oleracea,-51.056096,0.040521
Euterpe oleracea,-49.909027,-6.067517
Euterpe oleracea,-54.931991,-2.518014
Euterpe oleracea,-50.105975,-5.497514
Euterpe oleracea,-50.015336,-5.452421
Euterpe oleracea,-50.015581,-5.452578
Euterpe oleracea,-50.015581,-5.452578
Euterpe oleracea,-50.015581,-5.452578
Euterpe oleracea,-50.015581,-5.452578
Euterpe oleracea,-50.015581,-5.452578
Euterpe oleracea,-52.003381,0.901711
Euterpe oleracea,-44.548556,-2.920194
Euterpe oleracea,-50.614154,-1.53111
Euterpe oleracea,-50.91832,-1.135119
Euterpe oleracea,-50.074412,-6.063208
Euterpe oleracea,-45.990027,-3.669191
Euterpe oleracea,-48.775242,-5.478249
Euterpe oleracea,-48.938006,-5.41773
Euterpe oleracea,-48.277061,-1.201399
Euterpe oleracea,-67.866139,-9.957861
Euterpe oleracea,-52.615278000000004,-5.952778
Euterpe oleracea,-52.615278000000004,-5.952778
Euterpe oleracea,-60.016231,-2.038544
Euterpe oleracea,-35.00421,-7.967126
Euterpe oleracea,-50.131278,-5.957575
Euterpe oleracea,-43.689444,-22.968611
Euterpe oleracea,-45.793537,-1.305945
Euterpe oleracea,-54.40248,-2.058178
Euterpe oleracea,-54.945877,-2.502563
Euterpe oleracea,-50.434167,2.027222
