Species,decimalLongitude,decimalLatitude
Felis catus,-45.922547,-22.86645
Felis catus,-35.690983,-9.613719
Felis catus,-54.607821,-20.455071
Felis catus,-47.881523,-22.004496
Felis catus,-39.856667,-18.721346
Felis catus,-47.81635,-21.17614
Felis catus,-47.819349,-21.176367
Felis catus,-46.551262,-23.665274
Felis catus,-40.071316,-19.324453
Felis catus,-37.365454,-5.173753
Felis catus,-51.447582,-22.116197
Felis catus,-39.848627,-18.725866
Felis catus,-55.952297,-15.622345
Felis catus,-55.952309,-15.622346
Felis catus,-47.80802,-15.795362
Felis catus,-39.852223,-18.72703
Felis catus,-38.429986,-12.946166
Felis catus,-46.915309,-22.755238
Felis catus,-35.73971,-9.61441
Felis catus,-49.326012,-28.540025
Felis catus,-39.865007,-18.678517
Felis catus,-39.853729,-18.727209
Felis catus,-46.785906,-24.168828
Felis catus,-47.932663,-15.795037
Felis catus,-47.878553,-22.002983
Felis catus,-46.732147,-23.525797
Felis catus,-46.785412,-24.168761
Felis catus,-43.207493,-22.115323
Felis catus,-42.690725,-8.996243
Felis catus,-42.640231,-9.079209
Felis catus,-42.691457,-9.030427
Felis catus,-35.689896,-9.613019
Felis catus,-40.327386,-20.109185
Felis catus,-43.207493,-22.115292
Felis catus,-41.98866,-20.352807
Felis catus,-49.995305,-24.811998
Felis catus,-40.666165,-19.928263
Felis catus,-48.939411,-16.280793
Felis catus,-39.852947,-18.727494
Felis catus,-50.003685,-24.82454
Felis catus,-38.958659,-8.789178
Felis catus,-38.958658,-8.789181
Felis catus,-47.297871,-5.445366
Felis catus,-44.025628,-19.982372
Felis catus,-41.126461,-20.33181
Felis catus,-35.809761,-9.578641
Felis catus,-46.803351,-23.662652
Felis catus,-48.018421,-15.854801
Felis catus,-49.044613,-5.209671
Felis catus,-49.051503,-5.210507
Felis catus,-35.779678,-9.557085
Felis catus,-47.808955,-15.797724
Felis catus,-46.576157,-23.481259
Felis catus,-43.938669,-19.919012
Felis catus,-44.032439,-19.914805
Felis catus,-44.018678,-19.909655
Felis catus,-46.470344,-23.56063
Felis catus,-43.93265,-19.923012
Felis catus,-49.964897,-23.148188
Felis catus,-43.919758,-19.962664
Felis catus,-45.23558,-22.855908
Felis catus,-48.459411,-27.552997
Felis catus,-51.444163,-22.105695
Felis catus,-51.444355,-22.10515
Felis catus,-54.579628,-25.548641
Felis catus,-38.576362,-8.598056
Felis catus,-46.952444,-24.253185
Felis catus,-46.952349,-24.252936
Felis catus,-54.723789,-2.419706
Felis catus,-35.022575,-8.120105
Felis catus,-40.332278,-20.373205
Felis catus,-46.639557,-23.555575
Felis catus,-46.495008,-23.554724
Felis catus,-46.628551,-23.574686
Felis catus,-46.751597,-23.439762
Felis catus,-46.760078,-23.575587
Felis catus,-46.687142,-23.506695
Felis catus,-46.594419,-23.460614
Felis catus,-46.692706,-23.771911
Felis catus,-46.484266,-23.527478
Felis catus,-46.676459,-23.467879
Felis catus,-46.676459,-23.467879
Felis catus,-46.687436,-23.778691
Felis catus,-46.621369,-23.597544
Felis catus,-46.747721,-23.633224
Felis catus,-46.747775,-23.633326
Felis catus,-46.636241,-23.643395
Felis catus,-46.636241,-23.643395
Felis catus,-46.785412,-24.168761
Felis catus,-46.692945,-23.618117
Felis catus,-57.01905,-19.5769
Felis catus,-46.720867,-23.558545
Felis catus,-38.898043,-6.690428
Felis catus,-47.516569,-14.142276
Felis catus,-35.690163,-9.612892
Felis catus,-46.646069,-23.591765
Felis catus,-47.809998,-15.797342
Felis catus,-55.307007,-29.681033
Felis catus,-41.686956,-20.781919
Felis catus,-41.684898,-20.780173
Felis catus,-46.630097,-23.574118
Felis catus,-39.303458,-7.309362
Felis catus,-46.397528,-23.93433
Felis catus,-52.207195,-28.447383
Felis catus,-42.010361,-22.879195
Felis catus,-43.91373,-19.484255
Felis catus,-40.684983,-19.905544
Felis catus,-39.84998,-18.725004
Felis catus,-47.881536,-21.982296
Felis catus,-35.792604,-9.637306
Felis catus,-67.864922000000007,-9.955455
Felis catus,-47.883055,-21.988647
Felis catus,-47.882458,-21.986669
Felis catus,-59.991038,-2.99329
Felis catus,-67.86506,-9.955736
Felis catus,-67.863385,-9.952953
Felis catus,-67.867578,-9.957697
Felis catus,-67.869156,-9.95668
Felis catus,-39.854512,-18.725327
Felis catus,-45.258842,-21.691122
Felis catus,-45.223892,-21.698088
Felis catus,-45.259709,-21.692027
Felis catus,-67.867338,-9.958047
Felis catus,-39.855021,-18.725684
Felis catus,-39.854952,-18.726285
Felis catus,-50.922366,-17.755201
Felis catus,-38.989822,-6.757067
Felis catus,-67.865374,-9.958382
Felis catus,-46.931816,-22.342036
Felis catus,-67.869387,-9.956613
Felis catus,-47.882349,-21.981391
Felis catus,-67.869592,-9.955978
Felis catus,-39.852899,-18.7273
Felis catus,-39.849971,-18.72502
Felis catus,-39.747394,-18.950055
Felis catus,-46.550672,-23.664554
Felis catus,-67.867805,-9.955742
Felis catus,-67.867285999999993,-9.958104
Felis catus,-48.510522,-27.595945
Felis catus,-35.28999,-6.419988
Felis catus,-42.785337,-5.048125
Felis catus,-49.362844,-28.784518
Felis catus,-67.864903,-9.956557
Felis catus,-51.74293,-20.814655
Felis catus,-52.666449,-18.393056
Felis catus,-52.666449,-18.393056
Felis catus,-39.850004,-18.725046
Felis catus,-38.88807,-6.678424
Felis catus,-44.846901,-2.698445
Felis catus,-52.908453,-18.122433
Felis catus,-67.866997,-9.9578
Felis catus,-43.926944,-19.953149
Felis catus,-67.867912,-9.955695
Felis catus,-46.943726,-19.070609
Felis catus,-41.906359,-18.83915
Felis catus,-67.870952,-9.953519
Felis catus,-67.867395,-9.957858
Felis catus,-52.666449,-18.393056
Felis catus,-35.320549,-7.517135
Felis catus,-46.551119,-23.665519
Felis catus,-39.854599,-18.725302
Felis catus,-51.706017,-20.791209
Felis catus,-47.902678,-15.731093
Felis catus,-34.902827,-8.047016
Felis catus,-34.902827,-8.047016
Felis catus,-34.902827,-8.047016
Felis catus,-34.902827,-8.047016
Felis catus,-51.387626,-28.994849
Felis catus,-40.753391,-18.851592
Felis catus,-46.717013,-23.568671
Felis catus,-46.694867,-23.619843
Felis catus,-36.199387,-8.8721
Felis catus,-35.770832,-9.552143
Felis catus,-52.666449,-18.393056
Felis catus,-41.142653,-20.325227
Felis catus,-39.864673,-18.679636
Felis catus,-47.393555,-23.49992
Felis catus,-39.855029,-18.7258
Felis catus,-43.031114,-22.573863
Felis catus,-47.397108,-23.501245
Felis catus,-53.635089,-29.281949
Felis catus,-39.853421,-18.727781
Felis catus,-53.635089,-29.281949
Felis catus,-60.035232,-3.086116
Felis catus,-35.709381,-9.637089
Felis catus,-63.88086,-8.7612660000000009
Felis catus,-46.723886,-23.83354
Felis catus,-40.784351,-18.991102
Felis catus,-45.690934,-22.506645
Felis catus,-47.811085,-21.169372
Felis catus,-41.027416,-21.737021
Felis catus,-43.039344,-22.575071
Felis catus,-47.293497,-23.200145
Felis catus,-35.775657,-9.538536
Felis catus,-35.759115,-9.545949
Felis catus,-47.548794,-22.401199
Felis catus,-35.750321,-9.672702
Felis catus,-46.448561,-23.516159
Felis catus,-36.578715,-10.297191
Felis catus,-40.265453,-20.259219
Felis catus,-35.797542,-9.531676
Felis catus,-43.417776,-22.58486
Felis catus,-46.785556,-24.169167
Felis catus,-46.737931,-23.616866
Felis catus,-37.34055,-5.182939
Felis catus,-38.573792,-3.746462
Felis catus,-35.730851,-9.661434
Felis catus,-52.250633,-32.038377
Felis catus,-46.639557,-23.555771
Felis catus,-38.439971,-12.935517
Felis catus,-44.21235,-2.530391
Felis catus,-35.775595,-9.554862
Felis catus,-47.875584,-15.777087
Felis catus,-44.245253,-19.46467
Felis catus,-46.648742,-23.605247
Felis catus,-52.345373,-31.772692
Felis catus,-46.624454,-23.6415
Felis catus,-46.741805,-23.68189
Felis catus,-46.779997,-23.694571
Felis catus,-46.73845,-23.436022
Felis catus,-46.738406,-23.436072
Felis catus,-46.744492,-23.43805
Felis catus,-46.779997,-23.694571
Felis catus,-46.779997,-23.694571
Felis catus,-46.307748,-18.989035
Felis catus,-46.631102,-23.636854
Felis catus,-46.626597,-23.62984
Felis catus,-46.758542,-23.442811
Felis catus,-52.414141,-31.801444
Felis catus,-46.30318,-19.002454
Felis catus,-46.3142,-19.001056
Felis catus,-45.28106,-20.908863
Felis catus,-47.808808,-15.79848
Felis catus,-47.808908,-15.798559
Felis catus,-47.808763,-15.797163
Felis catus,-47.810711,-15.797678
Felis catus,-47.809344,-15.796627
Felis catus,-47.810075,-15.796761
