scientific_name,decimalLongitude,decimalLatitude
Ficus microcarpa,-37.313511,-5.857638
Ficus microcarpa,-48.885039,-27.068532
Ficus microcarpa,-48.926265,-27.098221
Ficus microcarpa,-43.239561,-22.916921
Ficus microcarpa,-46.679874,-23.589203
Ficus microcarpa,-40.486111,-19.778611
Ficus microcarpa,-51.158942,-23.793503
Ficus microcarpa,-48.86244,-26.380846
Ficus microcarpa,-51.8725,-20.3975
Ficus microcarpa,-48.919167,-26.948056
Ficus microcarpa,-51.8725,-20.3975
Ficus microcarpa,-48.919167,-26.948055
Ficus microcarpa,-51.8725,-20.3975
Ficus microcarpa,-51.8725,-20.3975
Ficus microcarpa,-51.8725,-20.3975
Ficus microcarpa,-43.221103,-22.905395
Ficus microcarpa,-46.57894,-23.716663
Ficus microcarpa,-43.026667,-22.659167
Ficus microcarpa,-43.429556,-22.708278
Ficus microcarpa,-40.504444,-5.76
Ficus microcarpa,-40.504506,-5.759989
Ficus microcarpa,-40.504444,-5.76
Ficus microcarpa,-37.214358,-9.545069
Ficus microcarpa,-47.810278,-21.1775
Ficus microcarpa,-68.3933,-10.7639
Ficus microcarpa,-68.496129,-10.656032
Ficus microcarpa,-68.393333,-10.763889
Ficus microcarpa,-68.393333,-10.763889
Ficus microcarpa,-47.855,-21.169444
Ficus microcarpa,-38.190556,-11.586789
Ficus microcarpa,-42.875,-20.77
Ficus microcarpa,-42.8597,-20.7581
Ficus microcarpa,-42.708333,-20.77
Ficus microcarpa,-42.859722,-20.758056
Ficus microcarpa,-42.86,-20.758333
Ficus microcarpa,-42.875,-20.77
Ficus microcarpa,-42.875,-20.77
Ficus microcarpa,-42.859722,-20.758056
Ficus microcarpa,-47.8625,-21.164167
Ficus microcarpa,-47.862694,-21.164333
Ficus microcarpa,-42.759722,-9.751944
Ficus microcarpa,-42.76,-9.918611
Ficus microcarpa,-42.759722,-9.918611
Ficus microcarpa,-41.126389,-14.223056
Ficus microcarpa,-41.1264,-14.2231
Ficus microcarpa,-41.1,-14.223056
Ficus microcarpa,-41.126389,-14.223056
Ficus microcarpa,-41.12639,-14.22306
Ficus microcarpa,-47.0608,-22.9056
Ficus microcarpa,-43.366667,-19.883333
Ficus microcarpa,-43.35,-19.883333
Ficus microcarpa,-46.716667,-23.55
Ficus microcarpa,-40.421389,-17.1325
Ficus microcarpa,-41.5445,-9.2984000000000009
Ficus microcarpa,-41.5445,-9.2984000000000009
Ficus microcarpa,-36.298883,-10.215556
Ficus microcarpa,-47.8,-21.166667
Ficus microcarpa,-37.1542,-8.625
Ficus microcarpa,-37.154167,-8.625
Ficus microcarpa,-37.154167,-8.625
Ficus microcarpa,-39.729722,-19.099722
Ficus microcarpa,-38.228056,-6.759444
Ficus microcarpa,-57.6800045,-16.0744908
Ficus microcarpa,-57.678889,-16.070833
Ficus microcarpa,-46.716667,-23.55
Ficus microcarpa,-44,-18
Ficus microcarpa,-41.333333,-9.833333
Ficus microcarpa,-48.29,-1.28
Ficus microcarpa,-50,-27
Ficus microcarpa,-43.2075,-22.903056
Ficus microcarpa,-43.2076685,-22.9069598
Ficus microcarpa,-43.2075,-22.903056
Ficus microcarpa,-42.4833,-12.0833
Ficus microcarpa,-42.483333,-12.05
Ficus microcarpa,-43.049447,-12.674722
Ficus microcarpa,-42.483333,-12.083333
Ficus microcarpa,-42.483333,-12.083333
Ficus microcarpa,-42.483333,-12.083333
Ficus microcarpa,-46.618333,-23.646111
Ficus microcarpa,-46.618358,-23.646109
Ficus microcarpa,-46.63,-23.540278
Ficus microcarpa,-37.083056,-10.503333
Ficus microcarpa,-37.141667,-10.842778
Ficus microcarpa,-47.0608,-22.9056
Ficus microcarpa,-46.8925,-21.838889000000002
Ficus microcarpa,-46.564722,-21.838889000000002
Ficus microcarpa,-42.5,-22
Ficus microcarpa,-43.433333,-13.25
Ficus microcarpa,-43.433333,-13.25
Ficus microcarpa,-54,-30
Ficus microcarpa,-54,-30
Ficus microcarpa,-59.151389,-0.441389
Ficus microcarpa,-46.616667,-23.633333
Ficus microcarpa,-51.214437,-30.034991
Ficus microcarpa,-65.019167,-0.414167
Ficus microcarpa,-65.0192,-0.4142
Ficus microcarpa,-43.2075,-22.9028
Ficus microcarpa,-43.2075,-22.9028
Ficus microcarpa,-46.63,-23.540278
Ficus microcarpa,-46.63,-23.540278
Ficus microcarpa,-46.6304064,-23.5441636
Ficus microcarpa,-47.0608,-22.9056
Ficus microcarpa,-47.0608,-22.9056
Ficus microcarpa,-53,-4
Ficus microcarpa,-63,-5
Ficus microcarpa,-43.008333,-22.530833
Ficus microcarpa,-42.5,-22
Ficus microcarpa,-43.008333,-22.530833
Ficus microcarpa,-68.496111,-10.656111
Ficus microcarpa,-53,-4
Ficus microcarpa,-53.08982,-10.773109
Ficus microcarpa,-47.0608,-22.9056
Ficus microcarpa,-60,-3
