scientific_name,decimalLongitude,decimalLatitude
Grevillea banksii,-53.714755,-29.720888
Grevillea banksii,-40.589188,-19.941758
Grevillea banksii,-40.599505,-19.937013
Grevillea banksii,-46.628551,-23.574686
Grevillea banksii,-40.599911,-19.932035
Grevillea banksii,-40.611232,-18.862525
Grevillea banksii,-46.593987,-23.607166
Grevillea banksii,-46.626704,-23.639235
Grevillea banksii,-46.626743,-23.63918
Grevillea banksii,-49.236197,-25.460363
Grevillea banksii,-40.545953,-19.889142
Grevillea banksii,-51.107454,-30.008638
Grevillea banksii,-46.62671,-23.639244
Grevillea banksii,-46.751476,-23.475284
Grevillea banksii,-40.55278,-19.907677
Grevillea banksii,-47.99326,-24.056573
Grevillea banksii,-39.104128,-14.489343
Grevillea banksii,-40.207596,-14.365143
Grevillea banksii,-39.136794,-16.359055
Grevillea banksii,-45.854453,-22.659317
Grevillea banksii,-46.751819,-23.477869
Grevillea banksii,-34.856138,-7.296239
Grevillea banksii,-46.639557,-23.554832
Grevillea banksii,-46.626758,-23.639213
Grevillea banksii,-47.996509,-24.060501
Grevillea banksii,-44.561832,-22.495474
Grevillea banksii,-35.185062,-6.086419
Grevillea banksii,-35.184997,-6.086775
Grevillea banksii,-44.608397,-22.438922
Grevillea banksii,-49.260549,-25.445879
Grevillea banksii,-49.267676,-25.423413
Grevillea banksii,-47.342017,-23.405112
Grevillea banksii,-48.296695,-1.198754
Grevillea banksii,-46.768429,-23.571701
Grevillea banksii,-43.985322,-19.867733
Grevillea banksii,-48.844642,-25.121708
Grevillea banksii,-47.055986,-23.168542
Grevillea banksii,-40.599791,-19.935575
Grevillea banksii,-55.21701,-19.748426
Grevillea banksii,-47.526393,-24.007002
Grevillea banksii,-48.493961,-22.892427
Grevillea banksii,-46.636389,-23.458889
Grevillea banksii,-39.164391,-16.385476
Grevillea banksii,-47.994808,-24.059476
Grevillea banksii,-53.056667,-25.739167
Grevillea banksii,-53.013889,-26.707222
Grevillea banksii,-53.056667,-25.739167
Grevillea banksii,-53.013889,-26.707222
Grevillea banksii,-47.8,-21.166667
Grevillea banksii,-46.648518,-23.596684
Grevillea banksii,-45.165,-23.319
Grevillea banksii,-48.322222,-21.254722
Grevillea banksii,-47.855,-21.169444
Grevillea banksii,-49.118556,-25.385361
Grevillea banksii,-39.177222,-17.030833
Grevillea banksii,-39.25,-16.13
Grevillea banksii,-48.570061,-23.153394
Grevillea banksii,-52.418056,-31.800278
Grevillea banksii,-40.6,-19.936111
Grevillea banksii,-47.877778,-15.947222
Grevillea banksii,-49.431667,-28.595833
Grevillea banksii,-49.486111,-28.935278
Grevillea banksii,-49.486111,-28.935278
Grevillea banksii,-40.6,-19.936111
Grevillea banksii,-46.5741976,-23.528379
Grevillea banksii,-46.6304064,-23.5441636
Grevillea banksii,-40.6075,-19.931389
Grevillea banksii,-40.6,-19.936111
Grevillea banksii,-51.015556,-30.276667
Grevillea banksii,-46.6290992,-23.574779
Grevillea banksii,-42.881667,-20.754167
Grevillea banksii,-47.8775,-15.948889
Grevillea banksii,-47.87,-15.75
Grevillea banksii,-47.87,-15.75
Grevillea banksii,-53.717222,-29.717222
Grevillea banksii,-53.833333,-24.833333
Grevillea banksii,-45.7069,-23.1008
Grevillea banksii,-46.63,-23.54
Grevillea banksii,-49,-22
Grevillea banksii,-46.63,-23.54
Grevillea banksii,-46.63,-23.54
Grevillea banksii,-46.6361,-23.5475
Grevillea banksii,-47.866667,-15.75
Grevillea banksii,-47.0608,-22.9056
