scientific_name,decimalLongitude,decimalLatitude
Grevillea robusta,-53.917976,-23.655267
Grevillea robusta,-48.071617,-15.878729
Grevillea robusta,-41.466667,-13.683333
Grevillea robusta,-41.466667,-13.683333
Grevillea robusta,-57.076037,-29.757463
Grevillea robusta,-52.808139,-22.624389
Grevillea robusta,-57.079038,-29.758304
Grevillea robusta,-51.963088,-23.426863
Grevillea robusta,-47.000346,-20.525285
Grevillea robusta,-53.804312,-29.689722
Grevillea robusta,-54.576134,-25.490175
Grevillea robusta,-50.944269,-22.997169
Grevillea robusta,-50.944269,-22.997169
Grevillea robusta,-50.944269,-22.997169
Grevillea robusta,-41.766667,-13.15
Grevillea robusta,-41.766667,-13.15
Grevillea robusta,-53.06,-25.421389
Grevillea robusta,-40.860556,-15.66
Grevillea robusta,-53.06,-25.421389
Grevillea robusta,-41.766667,-13.15
Grevillea robusta,-51.174222,-29.644861
Grevillea robusta,-52.140944,-24.134639
Grevillea robusta,-41.391944,-12.568889
Grevillea robusta,-41.391944,-12.568889
Grevillea robusta,-41.391944,-12.568889
Grevillea robusta,-47.8,-21.166667
Grevillea robusta,-47.855,-21.169444
Grevillea robusta,-52.323111,-24.106
Grevillea robusta,-44.962222,-17.351111
Grevillea robusta,-46.7572021,-23.5900777
Grevillea robusta,-49.37,-28.678056
Grevillea robusta,-49.37,-28.678056
Grevillea robusta,-49.079167,-26.905556
Grevillea robusta,-49.079167,-26.905556
Grevillea robusta,-46.6577974,-23.586877
Grevillea robusta,-51.118389,-30.046583
Grevillea robusta,-47.8,-21.166667
Grevillea robusta,-49.1566,-25.3225
Grevillea robusta,-51.237222,-30.019139
Grevillea robusta,-57.088056,-29.755
Grevillea robusta,-49.2492,-25.4114
Grevillea robusta,-51.118389,-30.046583
Grevillea robusta,-40.587778,-19.950556
Grevillea robusta,-47.0608,-22.9056
Grevillea robusta,-47.0608,-22.9056
Grevillea robusta,-53.717222,-29.717222
Grevillea robusta,-49.0606,-22.3147
Grevillea robusta,-51.118389,-30.046583
Grevillea robusta,-51.214437,-30.034991
Grevillea robusta,-51.214437,-30.034991
Grevillea robusta,-47.533333,-22.383333
Grevillea robusta,-46.6361,-23.5475
Grevillea robusta,-46.63,-23.54
Grevillea robusta,-42,-11
