scientific_name,decimalLongitude,decimalLatitude
Gymnocorymbus ternetzi,-55.978278,-18.123778
Gymnocorymbus ternetzi,-57.053028,-19.433667
Gymnocorymbus ternetzi,-57.053028,-19.433667
Gymnocorymbus ternetzi,-57.053028,-19.433667
Gymnocorymbus ternetzi,-57.053028,-19.433667
Gymnocorymbus ternetzi,-57.053028,-19.433667
Gymnocorymbus ternetzi,-57.053028,-19.433667
Gymnocorymbus ternetzi,-55.826182,-20.460187
Gymnocorymbus ternetzi,-57.30167,-19.258056
Gymnocorymbus ternetzi,-56.081389,-19.790833
Gymnocorymbus ternetzi,-47.8380146,-22.6713923
Gymnocorymbus ternetzi,-56.4125,-20.476667
Gymnocorymbus ternetzi,-57.018333,-19.576667
Gymnocorymbus ternetzi,-55.628611,-19.507778
Gymnocorymbus ternetzi,-57.82222,-21.84556
Gymnocorymbus ternetzi,-57.019722,-19.577778
Gymnocorymbus ternetzi,-57.040556,-19.525833
Gymnocorymbus ternetzi,-57.018056,-19.576667
Gymnocorymbus ternetzi,-57.018056,-19.576667
Gymnocorymbus ternetzi,-57.014167,-19.575278
Gymnocorymbus ternetzi,-57.040447,-19.533075
Gymnocorymbus ternetzi,-57.039253,-19.552681
Gymnocorymbus ternetzi,-57.036008,-19.605872
Gymnocorymbus ternetzi,-57.040447,-19.533075
Gymnocorymbus ternetzi,-57.039253,-19.552681
Gymnocorymbus ternetzi,-57.036008,-19.605872
Gymnocorymbus ternetzi,-57.014167,-19.575278
Gymnocorymbus ternetzi,-57.019722,-19.577778
Gymnocorymbus ternetzi,-57.019169,-19.576891
Gymnocorymbus ternetzi,-57.290278,-22.141389
Gymnocorymbus ternetzi,-57.040556,-19.525833
Gymnocorymbus ternetzi,-57.021028,-19.571583
Gymnocorymbus ternetzi,-57.035833,-19.605833
Gymnocorymbus ternetzi,-57.040556,-19.525833
Gymnocorymbus ternetzi,-57.021028,-19.571583
Gymnocorymbus ternetzi,-57.035833,-19.605833
Gymnocorymbus ternetzi,-48.563333,-11.008611
Gymnocorymbus ternetzi,-57.037139,-19.579611
Gymnocorymbus ternetzi,-57.033889,-19.634722
Gymnocorymbus ternetzi,-57.042333,-19.501778
Gymnocorymbus ternetzi,-57.040875,-19.525678
Gymnocorymbus ternetzi,-57.040694,-19.526222
Gymnocorymbus ternetzi,-57.033472,-19.634667
Gymnocorymbus ternetzi,-57.03725,-19.579583
Gymnocorymbus ternetzi,-57.030083,-19.643694
Gymnocorymbus ternetzi,-57.037139,-19.579611
Gymnocorymbus ternetzi,-57.033889,-19.634722
Gymnocorymbus ternetzi,-57.042333,-19.501778
Gymnocorymbus ternetzi,-57.040875,-19.525678
Gymnocorymbus ternetzi,-57.040694,-19.526222
Gymnocorymbus ternetzi,-57.033472,-19.634667
Gymnocorymbus ternetzi,-57.03725,-19.579583
Gymnocorymbus ternetzi,-57.030083,-19.643694
Gymnocorymbus ternetzi,-48.3663463,-22.7574122
Gymnocorymbus ternetzi,-48.180833,-22.6325
Gymnocorymbus ternetzi,-57.045278,-19.456667
Gymnocorymbus ternetzi,-57.045278,-19.456667
Gymnocorymbus ternetzi,-55.805278,-16.155833
