scientific_name,decimalLongitude,decimalLatitude
Gymnorhamphichthys hypostomus,-53.737222,-17.993611
Gymnorhamphichthys hypostomus,-54.185278,-19.345556
Gymnorhamphichthys hypostomus,-53.896167,-19.048944
Gymnorhamphichthys hypostomus,-54.151806,-19
Gymnorhamphichthys hypostomus,-54.558556,-18.824917
Gymnorhamphichthys hypostomus,-53.647694,-18.672972
Gymnorhamphichthys hypostomus,-53.752444,-18.132333
Gymnorhamphichthys hypostomus,-53.433361,-18.43825
Gymnorhamphichthys hypostomus,-53.975194,-18.248361
Gymnorhamphichthys hypostomus,-54.561972,-18.183028
Gymnorhamphichthys hypostomus,-64.0859,-0.1127
Gymnorhamphichthys hypostomus,-65.284789,-1.998806
Gymnorhamphichthys hypostomus,-65.204933,-2.222042
Gymnorhamphichthys hypostomus,-65.223889,-11.610556
Gymnorhamphichthys hypostomus,-61.587222,-1.426389
Gymnorhamphichthys hypostomus,-60.899722,-2.639722
Gymnorhamphichthys hypostomus,-62.958333,-0.925833
Gymnorhamphichthys hypostomus,-57.755,-16.106389
Gymnorhamphichthys hypostomus,-56.6625,-1.43
Gymnorhamphichthys hypostomus,-56.660556,-1.429167
Gymnorhamphichthys hypostomus,-56.652778,-1.428611
Gymnorhamphichthys hypostomus,-56.658889,-1.428333
Gymnorhamphichthys hypostomus,-55.952778,-16.333889
Gymnorhamphichthys hypostomus,-51.3065214,-14.2161792
Gymnorhamphichthys hypostomus,-54.1575335,-12.8255843
Gymnorhamphichthys hypostomus,-53.093579,-13.5181028
Gymnorhamphichthys hypostomus,-50.9915016,-14.4067402
Gymnorhamphichthys hypostomus,-51.3065214,-14.2161792
Gymnorhamphichthys hypostomus,-51.2501287,-14.1909008
Gymnorhamphichthys hypostomus,-53.4227645,-13.0383693
Gymnorhamphichthys hypostomus,-54.025556,-22.546389
Gymnorhamphichthys hypostomus,-53.197778,-22.653889
Gymnorhamphichthys hypostomus,-55.549167,-15.022222
Gymnorhamphichthys hypostomus,-56.2525,-14.701389
Gymnorhamphichthys hypostomus,-56.451111,-14.918889
Gymnorhamphichthys hypostomus,-55.276111,-14.810278
Gymnorhamphichthys hypostomus,-55.549167,-15.022222
Gymnorhamphichthys hypostomus,-56.45,-14.916667
Gymnorhamphichthys hypostomus,-55.643611,-20.07
Gymnorhamphichthys hypostomus,-53.463889,-18.251667
Gymnorhamphichthys hypostomus,-60.155833,-3.076389
Gymnorhamphichthys hypostomus,-60.147583,-3.128611
Gymnorhamphichthys hypostomus,-60.385,-3.03306
Gymnorhamphichthys hypostomus,-58.891667,-3.515
Gymnorhamphichthys hypostomus,-58.599722,-3.333056
Gymnorhamphichthys hypostomus,-58.964167,-3.583889
Gymnorhamphichthys hypostomus,-58.953889,-3.5825
