scientific_name,decimalLongitude,decimalLatitude
Gymnotus inaequilabiatus,-56.780554,-29.43151
Gymnotus inaequilabiatus,-54.549444,-25.446944
Gymnotus inaequilabiatus,-54.479286,-25.621784
Gymnotus inaequilabiatus,-53.257248,-22.765556
Gymnotus inaequilabiatus,-57.018333,-19.577222
Gymnotus inaequilabiatus,-57.018333,-19.577222
Gymnotus inaequilabiatus,-57.018333,-19.577222
Gymnotus inaequilabiatus,-57.018333,-19.577222
Gymnotus inaequilabiatus,-57.018333,-19.577222
Gymnotus inaequilabiatus,-57.018333,-19.577222
Gymnotus inaequilabiatus,-54.375794,-25.433478
Gymnotus inaequilabiatus,-53.948233,-25.125892
Gymnotus inaequilabiatus,-53.873611,-24.987778
Gymnotus inaequilabiatus,-52.736389,-23.731389
Gymnotus inaequilabiatus,-50.15146,-21.789259
Gymnotus inaequilabiatus,-53.096128,-22.559525
Gymnotus inaequilabiatus,-54.255278,-24.076111
Gymnotus inaequilabiatus,-53.267222,-23.693889
Gymnotus inaequilabiatus,-53.484167,-23.083889
Gymnotus inaequilabiatus,-54.579444,-25.434444
Gymnotus inaequilabiatus,-57.018056,-19.576667
Gymnotus inaequilabiatus,-52.517203,-21.702294
Gymnotus inaequilabiatus,-54.579444,-25.434444
Gymnotus inaequilabiatus,-52.367778,-23.885833
Gymnotus inaequilabiatus,-54.086067,-24.923556
Gymnotus inaequilabiatus,-54.220425,-24.975472
Gymnotus inaequilabiatus,-54.147839,-25.247617
Gymnotus inaequilabiatus,-53.915025,-25.079808
Gymnotus inaequilabiatus,-54.256542,-25.14425
Gymnotus inaequilabiatus,-54.220425,-24.975472
Gymnotus inaequilabiatus,-54.147839,-25.247617
Gymnotus inaequilabiatus,-52.481667,-21.689089
Gymnotus inaequilabiatus,-54.603333,-25.449722
Gymnotus inaequilabiatus,-54.34282,-25.51889
Gymnotus inaequilabiatus,-50.244722,-23.934722
Gymnotus inaequilabiatus,-53.683444,-16.723333
Gymnotus inaequilabiatus,-54.666222,-16.606528
Gymnotus inaequilabiatus,-51.057733,-23.026606
Gymnotus inaequilabiatus,-52.845556,-26.890833
Gymnotus inaequilabiatus,-51.631611,-22.660278
Gymnotus inaequilabiatus,-53.2573,-22.7655
Gymnotus inaequilabiatus,-53.5891,-25.60839
Gymnotus inaequilabiatus,-54.584161,-25.505781
Gymnotus inaequilabiatus,-51.969444,-23.361111
Gymnotus inaequilabiatus,-49.898333,-24.229722
Gymnotus inaequilabiatus,-49.898333,-24.229722
Gymnotus inaequilabiatus,-53.46673,-24.205172
Gymnotus inaequilabiatus,-53.61305,-25.602333
Gymnotus inaequilabiatus,-53.61305,-25.602333
Gymnotus inaequilabiatus,-53.298056,-22.751389
Gymnotus inaequilabiatus,-53.61305,-25.602333
Gymnotus inaequilabiatus,-53.61305,-25.602333
Gymnotus inaequilabiatus,-52.45,-23.330278
Gymnotus inaequilabiatus,-54.282189,-25.249531
Gymnotus inaequilabiatus,-54.27005,-25.296069
Gymnotus inaequilabiatus,-54.584161,-25.505781
Gymnotus inaequilabiatus,-56.3559,-21.204444
Gymnotus inaequilabiatus,-51.373056,-24.214722
Gymnotus inaequilabiatus,-52.764444,-23.933889
Gymnotus inaequilabiatus,-52.764444,-23.933889
Gymnotus inaequilabiatus,-53.49905,-25.588067
Gymnotus inaequilabiatus,-53.49905,-25.588067
Gymnotus inaequilabiatus,-54.743056,-24.240556
Gymnotus inaequilabiatus,-54.221031,-24.281111
Gymnotus inaequilabiatus,-54.240619,-24.432039
Gymnotus inaequilabiatus,-54.232669,-24.105511
Gymnotus inaequilabiatus,-54.18525,-24.417919
Gymnotus inaequilabiatus,-54.114719,-24.565711
Gymnotus inaequilabiatus,-53.900833,-24.184167
Gymnotus inaequilabiatus,-57.037139,-19.579611
Gymnotus inaequilabiatus,-57.03725,-19.579583
Gymnotus inaequilabiatus,-57.030083,-19.643694
Gymnotus inaequilabiatus,-57.037139,-19.579611
Gymnotus inaequilabiatus,-57.03725,-19.579583
Gymnotus inaequilabiatus,-57.030083,-19.643694
Gymnotus inaequilabiatus,-53.821944,-24.278333
Gymnotus inaequilabiatus,-54.119419,-24.6825
Gymnotus inaequilabiatus,-54.1985,-23.2609
Gymnotus inaequilabiatus,-53.266667,-22.75
Gymnotus inaequilabiatus,-53.853056,-24.460278
Gymnotus inaequilabiatus,-51.458333,-22.982778
Gymnotus inaequilabiatus,-51.458333,-22.982778
Gymnotus inaequilabiatus,-53.886111,-24.300556
Gymnotus inaequilabiatus,-53.900833,-24.184167
Gymnotus inaequilabiatus,-53.826389,-24.37
Gymnotus inaequilabiatus,-54.391444,-25.620333
Gymnotus inaequilabiatus,-54.391444,-25.620333
Gymnotus inaequilabiatus,-54.454167,-25.652911
Gymnotus inaequilabiatus,-54.454167,-25.652911
Gymnotus inaequilabiatus,-53.900833,-24.184167
Gymnotus inaequilabiatus,-55.497589,-20.453939
Gymnotus inaequilabiatus,-53.537222,-22.794444
Gymnotus inaequilabiatus,-50.347778,-23.377778
Gymnotus inaequilabiatus,-50.347778,-23.377778
Gymnotus inaequilabiatus,-50.347778,-23.377778
Gymnotus inaequilabiatus,-50.347778,-23.377778
Gymnotus inaequilabiatus,-49.793611,-23.109722
Gymnotus inaequilabiatus,-49.748889,-23.096389
Gymnotus inaequilabiatus,-54.0175,-23.935
Gymnotus inaequilabiatus,-49.975556,-23.227778
Gymnotus inaequilabiatus,-53.821944,-24.278333
Gymnotus inaequilabiatus,-53.853056,-24.293611
Gymnotus inaequilabiatus,-48.659167,-25.319167
Gymnotus inaequilabiatus,-50.997111,-23.094222
Gymnotus inaequilabiatus,-50.997111,-23.094222
Gymnotus inaequilabiatus,-50.573056,-23.155278
Gymnotus inaequilabiatus,-50.573056,-23.155278
Gymnotus inaequilabiatus,-52.030833,-23.303611
Gymnotus inaequilabiatus,-52.638889,-22.021389
Gymnotus inaequilabiatus,-51.760833,-23.307222
Gymnotus inaequilabiatus,-51.968611,-23.313889
Gymnotus inaequilabiatus,-52.018611,-23.3575
Gymnotus inaequilabiatus,-54.591667,-25.555833
Gymnotus inaequilabiatus,-57.425278,-19.502778
Gymnotus inaequilabiatus,-56.979167,-19.609444
Gymnotus inaequilabiatus,-52.526944,-23.250278
Gymnotus inaequilabiatus,-52.501944,-23.379722
Gymnotus inaequilabiatus,-52.832222,-23.880833
Gymnotus inaequilabiatus,-53.733056,-23.785556
Gymnotus inaequilabiatus,-53.568889,-20.672778
Gymnotus inaequilabiatus,-53.568889,-20.672778
Gymnotus inaequilabiatus,-52.884444,-22.601944
Gymnotus inaequilabiatus,-52.794444,-23.081667
Gymnotus inaequilabiatus,-53.906389,-23.656667
Gymnotus inaequilabiatus,-53.943333,-23.650278
Gymnotus inaequilabiatus,-52.301487,-23.561857
Gymnotus inaequilabiatus,-51.969167,-23.374444
Gymnotus inaequilabiatus,-52.030833,-23.303611
Gymnotus inaequilabiatus,-50.347778,-23.377778
Gymnotus inaequilabiatus,-50.347778,-23.377778
Gymnotus inaequilabiatus,-56.172722,-16.476583
Gymnotus inaequilabiatus,-51.883333,-23.308333
Gymnotus inaequilabiatus,-53.357222,-19.878611
Gymnotus inaequilabiatus,-50.287778,-24.845833
Gymnotus inaequilabiatus,-46.02,-23.37
Gymnotus inaequilabiatus,-54.604167,-25.445278
Gymnotus inaequilabiatus,-52.884444,-22.601944
Gymnotus inaequilabiatus,-53.05,-22.63
Gymnotus inaequilabiatus,-53.05,-22.63
Gymnotus inaequilabiatus,-53.05,-22.63
Gymnotus inaequilabiatus,-54.57,-25.443056
