Species,decimalLongitude,decimalLatitude
Gymnotus paraguensis,-50.771205,-22.409618
Gymnotus paraguensis,-50.714316,-22.47226
Gymnotus paraguensis,-52.542925,-21.712786
Gymnotus paraguensis,-52.194833,-21.850278
Gymnotus paraguensis,-54.579444,-25.434444
Gymnotus paraguensis,-53.069167,-23.765278
Gymnotus paraguensis,-49.606139,-22.020833
Gymnotus paraguensis,-50.005056,-22.030139
Gymnotus paraguensis,-53.409444,-24.929722
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-56.44,-16.99
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-58.15,-16.47
Gymnotus paraguensis,-50.9645,-23.225389
Gymnotus paraguensis,-50.9645,-23.225389
Gymnotus paraguensis,-50.9645,-23.225389
Gymnotus paraguensis,-50.9645,-23.225389
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-55.99,-16.28
Gymnotus paraguensis,-57.55,-18.59
Gymnotus paraguensis,-57.46,-17.92
Gymnotus paraguensis,-57.46,-17.92
Gymnotus paraguensis,-57.55,-18.59
Gymnotus paraguensis,-57.55,-18.59
Gymnotus paraguensis,-57.55,-18.59
Gymnotus paraguensis,-57.55,-18.59
Gymnotus paraguensis,-57.55,-18.59
Gymnotus paraguensis,-57.55,-18.59
Gymnotus paraguensis,-57.46,-17.92
Gymnotus paraguensis,-57.55,-18.59
Gymnotus paraguensis,-49.840278,-23.07
Gymnotus paraguensis,-49.793611,-23.109722
Gymnotus paraguensis,-55.774808,-14.875267
Gymnotus paraguensis,-53.9019,-23.5752
Gymnotus paraguensis,-54.591667,-25.555833
Gymnotus paraguensis,-57.395,-19.518333
Gymnotus paraguensis,-47.814444,-21.615
Gymnotus paraguensis,-47.806111,-21.623889
Gymnotus paraguensis,-56.223611,-16.562833
Gymnotus paraguensis,-55.788917,-16.252194
Gymnotus paraguensis,-54.55,-25.433333
Gymnotus paraguensis,-53.7725,-24.715556
Gymnotus paraguensis,-46.323496,-22.316449
Gymnotus paraguensis,-54.604444,-18.364167
Gymnotus paraguensis,-47.806111,-21.623889
Gymnotus paraguensis,-47.806111,-21.623889
Gymnotus paraguensis,-53.651943,-27.196388
Gymnotus paraguensis,-52.872222,-22.600278
Gymnotus paraguensis,-55.033333,-28.133333
Gymnotus paraguensis,-55.9,-16.33
Gymnotus paraguensis,-57.231944,-19.26
Gymnotus paraguensis,-55.9,-16.33
Gymnotus paraguensis,-57.231944,-19.26
Gymnotus paraguensis,-57.000278,-19.667222
Gymnotus paraguensis,-53.267593,-22.772468
Gymnotus paraguensis,-54.254651,-24.092621
Gymnotus paraguensis,-55.619167,-14.831667
Gymnotus paraguensis,-56.4144,-19.6106
Gymnotus paraguensis,-52.333332,-27.299999
