scientific_name,decimalLongitude,decimalLatitude
Harmonia axyridis,-46.647333,-23.583597
Harmonia axyridis,-51.518196,-28.203636
Harmonia axyridis,-48.876977,-27.064907
Harmonia axyridis,-49.902667,-26.331546
Harmonia axyridis,-52.019808,-26.436635
Harmonia axyridis,-48.546371,-25.812765
Harmonia axyridis,-49.485502,-26.716506
Harmonia axyridis,-49.265198,-25.426898
Harmonia axyridis,-48.876881,-27.065766
Harmonia axyridis,-46.63658,-23.601891
Harmonia axyridis,-45.542425,-23.092082
Harmonia axyridis,-45.542425,-23.092082
Harmonia axyridis,-44.041335,-19.965717
Harmonia axyridis,-46.672862,-23.523991
Harmonia axyridis,-49.036291,-24.629685
Harmonia axyridis,-46.744428,-23.438878
Harmonia axyridis,-47.129583,-22.962195
Harmonia axyridis,-46.597484,-23.482471
Harmonia axyridis,-46.731156,-23.462501
Harmonia axyridis,-46.163532,-22.272304
Harmonia axyridis,-43.373875,-21.772853
Harmonia axyridis,-48.650073,-26.816027
Harmonia axyridis,-43.22859,-22.967933
Harmonia axyridis,-53.804312,-29.68956
Harmonia axyridis,-46.605185,-23.584375
Harmonia axyridis,-46.163532,-22.272304
Harmonia axyridis,-53.777321,-29.702676
Harmonia axyridis,-47.884785,-21.992005
Harmonia axyridis,-46.635555,-23.056918
Harmonia axyridis,-46.585803,-23.508255
Harmonia axyridis,-47.873497,-15.761512
Harmonia axyridis,-46.64698,-23.583977
Harmonia axyridis,-46.64698,-23.583977
Harmonia axyridis,-47.869643,-15.763647
Harmonia axyridis,-46.618231,-23.658645
Harmonia axyridis,-42.042302,-20.962874
Harmonia axyridis,-49.265198,-25.426898
Harmonia axyridis,-45.68812,-22.799977
Harmonia axyridis,-48.614393,-26.028006
Harmonia axyridis,-43.35036,-21.77076
Harmonia axyridis,-49.719497,-24.263381
Harmonia axyridis,-53.023042,-25.456119
Harmonia axyridis,-49.062529,-28.32685
Harmonia axyridis,-46.618096,-23.658622
Harmonia axyridis,-43.282382,-22.788726
Harmonia axyridis,-50.341682,-27.820681
Harmonia axyridis,-49.309307,-25.431093
Harmonia axyridis,-52.407486,-25.406478
Harmonia axyridis,-46.85128,-23.013405
Harmonia axyridis,-54.510051,-25.570216
Harmonia axyridis,-54.511813,-25.569221
Harmonia axyridis,-45.843903,-22.896303
Harmonia axyridis,-46.63,-23.34
Harmonia axyridis,-46.620527,-23.335261
Harmonia axyridis,-48.978153,-25.386987
Harmonia axyridis,-47.8782,-22.005431
Harmonia axyridis,-46.647121,-23.584105
Harmonia axyridis,-40.909439,-19.275268
Harmonia axyridis,-46.470615,-18.62203
Harmonia axyridis,-52.830007,-28.456915
Harmonia axyridis,-43.488792,-20.09749
Harmonia axyridis,-46.624225,-23.644778
Harmonia axyridis,-46.543303,-23.143067
Harmonia axyridis,-48.516222,-27.614618
Harmonia axyridis,-52.409442,-28.248695
Harmonia axyridis,-46.641048,-23.057273
Harmonia axyridis,-50.385102,-21.258069
Harmonia axyridis,-47.02184,-23.684582
Harmonia axyridis,-49.423642,-28.552461
Harmonia axyridis,-46.641048,-23.057273
Harmonia axyridis,-52.69238,-26.198954
Harmonia axyridis,-46.641048,-23.057273
Harmonia axyridis,-46.641048,-23.057273
Harmonia axyridis,-46.641048,-23.057273
Harmonia axyridis,-46.641048,-23.057273
Harmonia axyridis,-46.543356,-23.142603
Harmonia axyridis,-43.96693,-19.860528
Harmonia axyridis,-52.671288,-26.227291
Harmonia axyridis,-51.185563,-27.578981
Harmonia axyridis,-50.809069,-29.403837
Harmonia axyridis,-50.805588,-29.364641
Harmonia axyridis,-52.671505,-26.228044
Harmonia axyridis,-42.880028,-20.75614
