scientific_name,decimalLongitude,decimalLatitude
Hedychium coccineum,-48.874039,-25.576431
Hedychium coccineum,-52.601971,-27.18996
Hedychium coccineum,-43.176158,-22.507739
Hedychium coccineum,-43.446411,-22.965851
Hedychium coccineum,-43.607179,-19.971252
Hedychium coccineum,-53.714966,-29.721502
Hedychium coccineum,-44.607013,-22.449792
Hedychium coccineum,-43.2304,-22.466333
Hedychium coccineum,-49.229321,-25.416799
Hedychium coccineum,-46.381355,-23.778726
Hedychium coccineum,-46.727495,-23.579542
Hedychium coccineum,-46.52833,-23.674998
Hedychium coccineum,-46.528322,-23.674995
Hedychium coccineum,-42.497062,-22.310076
Hedychium coccineum,-43.160452,-22.434635
Hedychium coccineum,-46.566116,-23.584553
Hedychium coccineum,-49.282857,-26.823246
Hedychium coccineum,-46.469967,-23.576671
Hedychium coccineum,-44.600647,-22.443967
Hedychium coccineum,-48.422833,-25.178022
Hedychium coccineum,-49.283109,-26.825162
Hedychium coccineum,-46.625378,-23.638945
Hedychium coccineum,-43.494245,-22.9742
Hedychium coccineum,-48.473949,-27.585817
Hedychium coccineum,-49.296195,-25.402215
Hedychium coccineum,-44.550522,-22.394188
Hedychium coccineum,-46.624589,-23.444152
Hedychium coccineum,-49.283275,-25.398089
Hedychium coccineum,-49.306911,-26.338787
Hedychium coccineum,-49.23353,-25.446976
Hedychium coccineum,-48.952216,-27.192456
Hedychium coccineum,-49.233547,-25.447008
Hedychium coccineum,-46.722221,-23.6334
Hedychium coccineum,-45.042897,-22.546453
Hedychium coccineum,-40.772252,-20.491888
Hedychium coccineum,-43.93566,-19.958072
Hedychium coccineum,-46.61535,-23.648162
Hedychium coccineum,-49.519182,-28.489198
Hedychium coccineum,-43.011786,-22.261981
Hedychium coccineum,-43.371111,-21.775556
Hedychium coccineum,-49.23394,-25.447387
Hedychium coccineum,-47.391168,-24.188568
Hedychium coccineum,-46.730537,-23.582841
Hedychium coccineum,-46.754657,-23.57291
Hedychium coccineum,-43.177914,-22.510264
Hedychium coccineum,-49.269334,-24.911225
Hedychium coccineum,-49.28911,-24.815903
Hedychium coccineum,-43.226667,-22.968056
Hedychium coccineum,-43.30928,-22.48353
Hedychium coccineum,-54.477222,-25.615278
Hedychium coccineum,-54.477444,-25.615417
Hedychium coccineum,-40.599483,-19.934723
Hedychium coccineum,-48.645825,-26.925793
Hedychium coccineum,-42.497062,-22.310076
Hedychium coccineum,-52.381944,-28.233056
Hedychium coccineum,-52.648461,-31.591436
Hedychium coccineum,-46.547921,-21.78103
Hedychium coccineum,-49.378333,-26.903056
Hedychium coccineum,-49.378333,-26.903056
Hedychium coccineum,-48.644371,-26.923907
Hedychium coccineum,-45.16518,-23.483204
Hedychium coccineum,-49.308611,-26.319444
Hedychium coccineum,-49.308611,-26.319444
Hedychium coccineum,-49.273611,-26.361111
Hedychium coccineum,-46.214167,-23.352778
Hedychium coccineum,-46.2143,-23.3528
Hedychium coccineum,-49.402778,-26.781667
Hedychium coccineum,-49.402778,-26.781667
Hedychium coccineum,-49.48,-28.466111
Hedychium coccineum,-49.378611,-26.250556
Hedychium coccineum,-49.378611,-26.250556
Hedychium coccineum,-52.3275,-24.103056
Hedychium coccineum,-52.3275,-24.103056
Hedychium coccineum,-46.7406012,-23.9872779
Hedychium coccineum,-47.988333,-15.948889
Hedychium coccineum,-44.583333,-22.633333
Hedychium coccineum,-44.583333,-22.633333
Hedychium coccineum,-45.8869,-23.1794
