Species,decimalLongitude,decimalLatitude
Hedychium coronarium,-45.916796,-23.758934
Hedychium coronarium,-53.69254,-29.611763
Hedychium coronarium,-48.943497,-27.040894
Hedychium coronarium,-46.732,-23.463
Hedychium coronarium,-45.064472,-23.396167
Hedychium coronarium,-46.2262,-23.889917
Hedychium coronarium,-48.663527,-26.865694
Hedychium coronarium,-48.1312,-21.771874
Hedychium coronarium,-54.44533,-25.684088
Hedychium coronarium,-49.304144,-25.402443
Hedychium coronarium,-47.90689,-22.030995
Hedychium coronarium,-53.427263,-29.573712
Hedychium coronarium,-46.627311,-23.639315
Hedychium coronarium,-50.354042,-0.168883
Hedychium coronarium,-46.681122,-23.446403
Hedychium coronarium,-42.965528,-22.452129
Hedychium coronarium,-42.965535,-22.452164
Hedychium coronarium,-43.446411,-22.965851
Hedychium coronarium,-49.507656,-28.48655
Hedychium coronarium,-49.001738,-25.352333
Hedychium coronarium,-53.692619,-29.611626
Hedychium coronarium,-48.886136,-25.352095
Hedychium coronarium,-48.885864,-25.347813
Hedychium coronarium,-48.885864,-25.347813
Hedychium coronarium,-48.885864,-25.347813
Hedychium coronarium,-48.881729,-25.35607
Hedychium coronarium,-48.874143,-25.366959
Hedychium coronarium,-50.4257,-29.589547
Hedychium coronarium,-48.964071,-26.29288
Hedychium coronarium,-53.22988,-27.560055
Hedychium coronarium,-46.54,-23.4
Hedychium coronarium,-47.881578,-21.985451
Hedychium coronarium,-51.516114,-29.642564
Hedychium coronarium,-49.282545,-26.802845
Hedychium coronarium,-46.696413,-23.809903
Hedychium coronarium,-47.934791,-24.998275
Hedychium coronarium,-52.406137,-26.390497
Hedychium coronarium,-43.281158,-22.957284
Hedychium coronarium,-42.609692,-22.417683
Hedychium coronarium,-52.170139,-24.527583
Hedychium coronarium,-43.412858,-21.832701
Hedychium coronarium,-47.770808,-16.111403
Hedychium coronarium,-50.706647,-16.73924
Hedychium coronarium,-54.443787,-25.683408
Hedychium coronarium,-52.414448,-31.414845
Hedychium coronarium,-49.640473,-25.477491
Hedychium coronarium,-43.26457,-22.521819
Hedychium coronarium,-47.876881,-21.987599
Hedychium coronarium,-49.315332,-24.564202
Hedychium coronarium,-49.490193,-28.638842
Hedychium coronarium,-48.747374,-21.463665
Hedychium coronarium,-46.363643,-23.856754
Hedychium coronarium,-53.644548,-25.785488
Hedychium coronarium,-44.965067,-23.375413000000002
Hedychium coronarium,-45.169095,-23.538872
Hedychium coronarium,-49.353854,-26.742399
Hedychium coronarium,-54.434194,-25.692389
Hedychium coronarium,-54.442686,-25.683636
Hedychium coronarium,-54.734169,-22.29996
Hedychium coronarium,-43.52988,-22.823092
Hedychium coronarium,-43.529895,-22.823162
Hedychium coronarium,-46.245983,-19.195725
Hedychium coronarium,-52.317753,-23.866356
Hedychium coronarium,-49.277767,-25.383183
Hedychium coronarium,-54.445317,-25.684197
Hedychium coronarium,-43.289863,-22.957655
Hedychium coronarium,-42.550986,-22.379925
Hedychium coronarium,-42.965546,-22.452634
Hedychium coronarium,-43.066035,-22.543165
Hedychium coronarium,-49.361992,-24.120583
Hedychium coronarium,-54.445553,-25.684177
Hedychium coronarium,-54.445359,-25.683727
Hedychium coronarium,-53.700504,-29.708357
Hedychium coronarium,-42.571412,-22.263078
Hedychium coronarium,-46.607972,-20.169254
Hedychium coronarium,-53.460992,-24.939354
Hedychium coronarium,-43.012529,-22.262481
Hedychium coronarium,-46.727787,-23.812307
Hedychium coronarium,-47.92321,-22.34204
Hedychium coronarium,-54.445388,-25.68407
Hedychium coronarium,-43.2338,-22.467425
Hedychium coronarium,-42.738583,-22.42062
Hedychium coronarium,-46.713991,-23.722309
Hedychium coronarium,-46.624454,-23.6415
Hedychium coronarium,-54.445305,-25.684203
Hedychium coronarium,-46.381355,-23.778726
Hedychium coronarium,-47.633124,-20.777676
Hedychium coronarium,-42.151646,-22.245867
Hedychium coronarium,-46.728912,-23.569037
Hedychium coronarium,-45.853559,-22.669688
Hedychium coronarium,-46.62053,-23.639197
Hedychium coronarium,-54.436666,-25.695259
Hedychium coronarium,-52.398333,-24.1625
Hedychium coronarium,-52.398361,-24.162694
Hedychium coronarium,-46.34103,-23.854659
Hedychium coronarium,-45.413566,-23.198333
Hedychium coronarium,-41.078871,-16.280256
Hedychium coronarium,-46.433381,-23.720374
Hedychium coronarium,-46.441108,-23.736142
Hedychium coronarium,-48.900863,-25.333853
Hedychium coronarium,-45.084915,-23.434524
Hedychium coronarium,-44.053895,-17.800714
Hedychium coronarium,-48.681555,-24.54558
Hedychium coronarium,-50.922347,-27.023594
Hedychium coronarium,-44.848562,-22.235705
Hedychium coronarium,-42.042947,-22.42763
Hedychium coronarium,-43.438268,-22.586237
Hedychium coronarium,-52.537388,-25.538497
Hedychium coronarium,-43.281015,-22.956176
Hedychium coronarium,-53.800114,-25.80478
Hedychium coronarium,-46.73077,-23.560942
Hedychium coronarium,-46.301792,-23.777861
Hedychium coronarium,-46.301406,-23.777539
Hedychium coronarium,-46.305014,-23.778284
Hedychium coronarium,-50.169722,-30.036667
Hedychium coronarium,-50.169722,-30.036667
Hedychium coronarium,-42.965557,-22.452147
Hedychium coronarium,-47.762977,-19.987907
Hedychium coronarium,-43.435334,-22.585967
Hedychium coronarium,-46.619279,-23.639257
Hedychium coronarium,-49.306433,-25.424386
Hedychium coronarium,-34.931625,-7.013758
Hedychium coronarium,-53.645322,-25.785507
Hedychium coronarium,-48.719749,-27.672344
Hedychium coronarium,-46.451111,-23.745499
Hedychium coronarium,-46.723972,-23.55887
Hedychium coronarium,-46.732558,-23.563547
Hedychium coronarium,-49.321462,-25.472639
Hedychium coronarium,-54.445362,-25.684133
Hedychium coronarium,-44.543437,-22.421552
Hedychium coronarium,-46.495301,-23.617556
Hedychium coronarium,-54.44532,-25.6842
Hedychium coronarium,-48.601752,-21.237838
Hedychium coronarium,-46.286389,-22.960643
Hedychium coronarium,-45.756819,-23.756869
Hedychium coronarium,-45.820603,-23.747786
Hedychium coronarium,-48.701667,-25.318611
Hedychium coronarium,-51.838889,-27.361944
Hedychium coronarium,-51.838889,-27.361944
Hedychium coronarium,-48.701667,-25.318611
Hedychium coronarium,-46.676045,-23.795453
Hedychium coronarium,-43.226944,-22.966667
Hedychium coronarium,-45.169866,-23.477506
Hedychium coronarium,-44.174336,-23.147092
Hedychium coronarium,-46.682377,-23.727676
Hedychium coronarium,-44.780533,-23.186689
Hedychium coronarium,-43.677627,-22.549749
Hedychium coronarium,-48.745525,-28.110061
Hedychium coronarium,-49.50132,-27.104036
Hedychium coronarium,-49.571562,-25.472537
Hedychium coronarium,-48.891313,-27.06216
Hedychium coronarium,-48.566081,-25.585278
Hedychium coronarium,-46.467004,-23.570388
Hedychium coronarium,-49.229503,-26.856228
Hedychium coronarium,-49.304459,-25.40147
Hedychium coronarium,-49.230496,-25.39151
Hedychium coronarium,-49.230523,-25.391324
Hedychium coronarium,-35.089048,-7.798518
Hedychium coronarium,-48.954493,-26.918762
Hedychium coronarium,-49.243652,-25.38843
Hedychium coronarium,-46.624261,-23.442162
Hedychium coronarium,-46.472018,-23.577544
Hedychium coronarium,-49.281946,-26.803612
Hedychium coronarium,-49.23051,-25.391495
Hedychium coronarium,-49.205123,-25.382621
Hedychium coronarium,-46.678634,-23.799305
Hedychium coronarium,-48.664137,-27.022689
Hedychium coronarium,-46.679132,-23.79944
Hedychium coronarium,-46.679132,-23.79944
Hedychium coronarium,-49.257915,-25.372887
Hedychium coronarium,-46.6772,-23.799678
Hedychium coronarium,-51.177919,-30.049849
Hedychium coronarium,-46.67163,-23.794452
Hedychium coronarium,-46.775776,-23.777624
Hedychium coronarium,-46.679132,-23.79944
Hedychium coronarium,-46.679132,-23.79944
Hedychium coronarium,-46.679132,-23.79944
Hedychium coronarium,-46.467178,-23.568897
Hedychium coronarium,-46.677933,-23.799445
Hedychium coronarium,-46.677095,-23.799863
Hedychium coronarium,-46.627311,-23.639315
Hedychium coronarium,-49.353031,-25.438877
Hedychium coronarium,-46.639557,-23.555575
Hedychium coronarium,-49.278921,-26.794102
Hedychium coronarium,-49.308361,-25.417479
Hedychium coronarium,-49.280409,-26.803513
Hedychium coronarium,-46.628551,-23.574686
Hedychium coronarium,-46.252251,-23.755392
Hedychium coronarium,-46.252251,-23.755392
Hedychium coronarium,-46.766267,-23.452417
Hedychium coronarium,-48.650275,-26.825242
Hedychium coronarium,-43.436036,-22.585445
Hedychium coronarium,-48.636462,-21.234469
Hedychium coronarium,-43.436036,-22.585445
Hedychium coronarium,-54.442824,-25.683703
Hedychium coronarium,-46.496791,-23.728114
Hedychium coronarium,-46.497566,-23.728301
Hedychium coronarium,-45.672598,-22.307635
Hedychium coronarium,-43.845533,-20.256047
Hedychium coronarium,-44.780312,-23.187033
Hedychium coronarium,-46.587001,-23.403409
Hedychium coronarium,-48.94692,-26.929969
Hedychium coronarium,-41.002883,-20.466366
Hedychium coronarium,-40.477865,-20.273007
Hedychium coronarium,-54.445328,-25.684733
Hedychium coronarium,-48.946818,-26.930684
Hedychium coronarium,-46.619404,-23.639253
Hedychium coronarium,-46.618791,-23.63931
Hedychium coronarium,-46.500468,-23.730653
Hedychium coronarium,-49.378319,-23.09956
Hedychium coronarium,-49.377984,-23.099879
Hedychium coronarium,-49.378192,-23.1
Hedychium coronarium,-49.386197,-23.100503
Hedychium coronarium,-49.388498,-23.099677
Hedychium coronarium,-49.388534,-23.099784
Hedychium coronarium,-49.388607,-23.099752
Hedychium coronarium,-49.39227,-23.098236
Hedychium coronarium,-49.378318,-23.099523
Hedychium coronarium,-49.386563,-23.100574
Hedychium coronarium,-49.382772,-23.10275
Hedychium coronarium,-45.904063,-23.761828
Hedychium coronarium,-40.38241,-19.865579
Hedychium coronarium,-46.301555,-23.781259
Hedychium coronarium,-49.243936,-25.439712
Hedychium coronarium,-46.627311,-23.639315
Hedychium coronarium,-52.52635,-31.76102
Hedychium coronarium,-48.039032,-25.216744
Hedychium coronarium,-46.62466,-23.653346
Hedychium coronarium,-44.921684,-19.916704
Hedychium coronarium,-48.420598,-24.270162
Hedychium coronarium,-44.209722,-20.020972
Hedychium coronarium,-43.392093,-21.79049
Hedychium coronarium,-48.954973,-26.931764
Hedychium coronarium,-46.724175,-23.57027
Hedychium coronarium,-50.478594,-29.576431
Hedychium coronarium,-46.882466,-23.585662
Hedychium coronarium,-46.882466,-23.585662
Hedychium coronarium,-46.929642,-24.170812
Hedychium coronarium,-46.542595,-23.984537
