scientific_name,decimalLongitude,decimalLatitude
Hedychium gardnerianum,-49.21102,-26.759791
Hedychium gardnerianum,-49.001953,-25.351563
Hedychium gardnerianum,-51.816158,-29.088269
Hedychium gardnerianum,-49.116667,-26.283333
Hedychium gardnerianum,-49.316244,-25.50458
Hedychium gardnerianum,-43.233395,-22.467092
Hedychium gardnerianum,-49.261862,-25.390573
Hedychium gardnerianum,-44.621358,-22.430922
Hedychium gardnerianum,-44.613435,-22.447374
Hedychium gardnerianum,-49.276162,-25.385089
Hedychium gardnerianum,-42.988074,-22.446465
Hedychium gardnerianum,-46.626226,-23.638823
Hedychium gardnerianum,-46.624711,-23.638336
Hedychium gardnerianum,-44.612495,-22.437934
Hedychium gardnerianum,-44.562409,-22.498685
Hedychium gardnerianum,-43.504486,-20.384114
Hedychium gardnerianum,-49.275467,-25.384312
Hedychium gardnerianum,-42.496314,-22.309239
Hedychium gardnerianum,-46.726848,-23.812065
Hedychium gardnerianum,-44.575462,-22.325778
Hedychium gardnerianum,-46.624454,-23.6415
Hedychium gardnerianum,-49.232015,-25.447833
Hedychium gardnerianum,-49.2311,-25.416133
Hedychium gardnerianum,-44.616655,-22.431277
Hedychium gardnerianum,-49.800681,-27.447913
Hedychium gardnerianum,-49.233058,-25.445324
Hedychium gardnerianum,-49.233895,-25.447049
Hedychium gardnerianum,-44.610267,-22.439175
Hedychium gardnerianum,-49.27618,-25.38462
Hedychium gardnerianum,-49.233547,-25.447008
Hedychium gardnerianum,-49.233803,-25.447072
Hedychium gardnerianum,-49.23332,-25.447105
Hedychium gardnerianum,-43.270123,-22.481028
Hedychium gardnerianum,-50.880295,-29.390263
Hedychium gardnerianum,-49.275792,-25.384175
Hedychium gardnerianum,-46.626478,-23.638922
Hedychium gardnerianum,-49.306176,-25.423775
Hedychium gardnerianum,-45.949813,-22.866342
Hedychium gardnerianum,-44.628469,-22.369822
Hedychium gardnerianum,-49.274666,-25.385239
Hedychium gardnerianum,-44.613433,-22.446556
Hedychium gardnerianum,-44.605084,-22.436549
Hedychium gardnerianum,-44.60825,-22.438478
Hedychium gardnerianum,-44.589543,-22.455916
Hedychium gardnerianum,-42.497062,-22.310068
Hedychium gardnerianum,-44.869878,-22.283015
Hedychium gardnerianum,-43.417069,-22.590644
Hedychium gardnerianum,-42.497062,-22.310068
Hedychium gardnerianum,-40.600606,-19.937484
Hedychium gardnerianum,-40.599738,-19.9354
Hedychium gardnerianum,-49.518067,-26.249903
Hedychium gardnerianum,-44.611338,-22.436108
Hedychium gardnerianum,-44.614956,-22.431925
Hedychium gardnerianum,-44.614956,-22.431925
Hedychium gardnerianum,-49.806808,-27.472905
Hedychium gardnerianum,-49.2404,-25.4481
Hedychium gardnerianum,-44.614956,-22.431925
Hedychium gardnerianum,-40.6,-19.936111
