Species,decimalLongitude,decimalLatitude
Hemidactylus mabouia,-42.82535,-21.022956
Hemidactylus mabouia,-44.526882,-22.442769
Hemidactylus mabouia,-43.272439,-22.922138
Hemidactylus mabouia,-34.851221,-7.932339
Hemidactylus mabouia,-35.68994,-9.61302
Hemidactylus mabouia,-45.459358,-23.415203
Hemidactylus mabouia,-48.546402,-25.812575
Hemidactylus mabouia,-45.462397,-23.398845
Hemidactylus mabouia,-46.70965,-23.568275
Hemidactylus mabouia,-49.89555,-29.555417
Hemidactylus mabouia,-43.223993,-22.967695
Hemidactylus mabouia,-56.377985,-16.514049
Hemidactylus mabouia,-50.649968,-25.481384
Hemidactylus mabouia,-35.259877,-9.093869
Hemidactylus mabouia,-43.997228,-20.000294
Hemidactylus mabouia,-35.223515,-5.930694
Hemidactylus mabouia,-49.03561,-24.629322
Hemidactylus mabouia,-46.163532,-22.272304
Hemidactylus mabouia,-46.751224,-23.700561
Hemidactylus mabouia,-51.832294,-21.879798
Hemidactylus mabouia,-44.714713,-23.22005
Hemidactylus mabouia,-48.628647,-28.051608
Hemidactylus mabouia,-46.660824,-23.502399
Hemidactylus mabouia,-47.703462,-22.914988
Hemidactylus mabouia,-42.412206,-18.187286
Hemidactylus mabouia,-67.817336,-9.934389
Hemidactylus mabouia,-41.870022,-20.44478
Hemidactylus mabouia,-34.969573,-6.822076
Hemidactylus mabouia,-45.107603,-22.726267
Hemidactylus mabouia,-46.282911,-22.306982
Hemidactylus mabouia,-49.113735,-25.468995
Hemidactylus mabouia,-49.320486,-23.974836
Hemidactylus mabouia,-44.525545,-22.442608
Hemidactylus mabouia,-35.727134,-8.533432
Hemidactylus mabouia,-35.770983,-9.552403
Hemidactylus mabouia,-47.987417,-15.846875
Hemidactylus mabouia,-35.223515,-5.930694
Hemidactylus mabouia,-46.662012,-22.555417
Hemidactylus mabouia,-43.222386,-22.964682
Hemidactylus mabouia,-46.32215,-22.306313
Hemidactylus mabouia,-47.878263,-22.005347
Hemidactylus mabouia,-49.999934,-26.9827
Hemidactylus mabouia,-45.428244,-22.438711
Hemidactylus mabouia,-48.628394,-28.078572
Hemidactylus mabouia,-49.2703,-25.4078
Hemidactylus mabouia,-48.628394,-28.078572
Hemidactylus mabouia,-47.655849,-22.870075
Hemidactylus mabouia,-40.336377,-20.364465
Hemidactylus mabouia,-70.293539,-4.289186
Hemidactylus mabouia,-48.512023,-27.745765
Hemidactylus mabouia,-43.926016,-19.929549
Hemidactylus mabouia,-48.909796,-27.101158
Hemidactylus mabouia,-48.91908,-25.439498
Hemidactylus mabouia,-54.49127,-25.481129
Hemidactylus mabouia,-47.891887,-15.797515
Hemidactylus mabouia,-48.508991,-27.776087
Hemidactylus mabouia,-39.320624,-5.493519
Hemidactylus mabouia,-41.973421,-22.826287
Hemidactylus mabouia,-43.464897,-20.370775
Hemidactylus mabouia,-46.851105,-23.01346
Hemidactylus mabouia,-48.956317,-28.443717
Hemidactylus mabouia,-42.880028,-20.75614
Hemidactylus mabouia,-49.063039,-28.326071
Hemidactylus mabouia,-49.342598,-16.781758
Hemidactylus mabouia,-50.649968,-25.481384
Hemidactylus mabouia,-46.629978,-23.584485
Hemidactylus mabouia,-37.331708,-5.203772
Hemidactylus mabouia,-67.823092,-9.972747
Hemidactylus mabouia,-54.521028,-25.552472
Hemidactylus mabouia,-34.888975,-8.025956
Hemidactylus mabouia,-35.223515,-5.930694
Hemidactylus mabouia,-35.7808,-9.557035
Hemidactylus mabouia,-40.533113,-20.612073
Hemidactylus mabouia,-43.177641,-22.387926
Hemidactylus mabouia,-41.299294,-21.738473
Hemidactylus mabouia,-47.934057,-24.998989
Hemidactylus mabouia,-50.203531,-29.541254
Hemidactylus mabouia,-67.868928,-9.955925
Hemidactylus mabouia,-67.869287,-9.955807
Hemidactylus mabouia,-47.55434,-22.401123
Hemidactylus mabouia,-47.088901,-22.895515
Hemidactylus mabouia,-51.44549,-22.120562
Hemidactylus mabouia,-54.329411,-15.532283
Hemidactylus mabouia,-42.296929,-21.658029
Hemidactylus mabouia,-49.052631,-25.427883
Hemidactylus mabouia,-50.063308,-6.059714
Hemidactylus mabouia,-49.57325,-28.58245
Hemidactylus mabouia,-47.878188,-22.005333
Hemidactylus mabouia,-40.600516,-19.937441
Hemidactylus mabouia,-40.305213,-20.276822
Hemidactylus mabouia,-52.852732,-26.354498
Hemidactylus mabouia,-52.852732,-26.354498
Hemidactylus mabouia,-38.387028,-12.947108
Hemidactylus mabouia,-48.687701,-26.669472
Hemidactylus mabouia,-48.956256,-28.443565
Hemidactylus mabouia,-46.63,-23.34
Hemidactylus mabouia,-49.2703,-25.4078
Hemidactylus mabouia,-47.658085,-22.93742
Hemidactylus mabouia,-46.63,-23.34
Hemidactylus mabouia,-49.342525,-16.781745
Hemidactylus mabouia,-49.151253,-18.399839
Hemidactylus mabouia,-44.716745,-23.21971
Hemidactylus mabouia,-54.109433,-25.281405
Hemidactylus mabouia,-50.93422,-17.804376
Hemidactylus mabouia,-51.198486,-30.07614
Hemidactylus mabouia,-44.6987,-23.170611
Hemidactylus mabouia,-48.586592,-27.14325
Hemidactylus mabouia,-47.585886,-22.44321
Hemidactylus mabouia,-52.666031,-27.092632
Hemidactylus mabouia,-46.714332,-23.534014
Hemidactylus mabouia,-49.423658,-28.552464
Hemidactylus mabouia,-50.70126,-16.734155
Hemidactylus mabouia,-47.297882,-5.445354
Hemidactylus mabouia,-52.420108,-28.269542
Hemidactylus mabouia,-46.599165,-23.029022
Hemidactylus mabouia,-49.208768,-25.339443
Hemidactylus mabouia,-47.027458,-22.885677
Hemidactylus mabouia,-43.945522,-19.946592
Hemidactylus mabouia,-43.220467,-22.455696
Hemidactylus mabouia,-56.941702,-20.412251
Hemidactylus mabouia,-49.297608,-25.435579
Hemidactylus mabouia,-47.088989,-22.895569
Hemidactylus mabouia,-48.241272,-18.928836
Hemidactylus mabouia,-45.413074,-23.854839
Hemidactylus mabouia,-47.562247,-24.004422
Hemidactylus mabouia,-48.641773,-26.855007
Hemidactylus mabouia,-48.644581,-26.854353
Hemidactylus mabouia,-43.964291,-19.868843
Hemidactylus mabouia,-43.955936,-19.86644
Hemidactylus mabouia,-45.455739,-22.431164
Hemidactylus mabouia,-47.504264,-23.445769
Hemidactylus mabouia,-48.630945,-27.976253
Hemidactylus mabouia,-44.775446,-19.403471
Hemidactylus mabouia,-45.435703,-20.463572
Hemidactylus mabouia,-38.297051,-7.956539
Hemidactylus mabouia,-46.644672,-23.586033
Hemidactylus mabouia,-46.644688,-23.586058
Hemidactylus mabouia,-36.459579,-8.883586
Hemidactylus mabouia,-36.459579,-8.883585
Hemidactylus mabouia,-56.630398,-13.540417
Hemidactylus mabouia,-35.715116,-6.968767
Hemidactylus mabouia,-47.062633,-22.909845
Hemidactylus mabouia,-47.952509,-22.570469
Hemidactylus mabouia,-44.535126,-14.177981
Hemidactylus mabouia,-44.534793,-14.177913
Hemidactylus mabouia,-50.1477,-29.995563
Hemidactylus mabouia,-40.59946,-19.935196
Hemidactylus mabouia,-47.343773,-22.362186
Hemidactylus mabouia,-67.397348,-8.753404
Hemidactylus mabouia,-49.150223,-28.03388
Hemidactylus mabouia,-51.305799,-14.299192
Hemidactylus mabouia,-38.413486,-12.947449
Hemidactylus mabouia,-67.869053,-9.95575
Hemidactylus mabouia,-43.208658,-22.465491
Hemidactylus mabouia,-49.342544,-16.781758
Hemidactylus mabouia,-47.901276,-22.004806
Hemidactylus mabouia,-44.004163,-19.82779
Hemidactylus mabouia,-45.063121,-23.435656
Hemidactylus mabouia,-39.853805,-18.726691
Hemidactylus mabouia,-38.997565,-14.279839
Hemidactylus mabouia,-38.997645,-14.279745
Hemidactylus mabouia,-56.94138,-20.411908
Hemidactylus mabouia,-47.876881,-21.987599
Hemidactylus mabouia,-47.849556,-20.604239
Hemidactylus mabouia,-42.880028,-20.756145
Hemidactylus mabouia,-44.534377,-14.178798
Hemidactylus mabouia,-49.404602,-28.697499
Hemidactylus mabouia,-47.226452,-23.26934
Hemidactylus mabouia,-47.45193,-21.957124
Hemidactylus mabouia,-49.2703,-25.4078
Hemidactylus mabouia,-44.688742,-23.166851
Hemidactylus mabouia,-43.524999,-22.667537
Hemidactylus mabouia,-60.122101,-3.002345
Hemidactylus mabouia,-46.659812,-23.661477
Hemidactylus mabouia,-38.501163,-3.754388
Hemidactylus mabouia,-47.561858,-22.412489
Hemidactylus mabouia,-42.877039,-20.755751
Hemidactylus mabouia,-42.771125,-22.451238
Hemidactylus mabouia,-47.547775,-22.405352
Hemidactylus mabouia,-42.775279,-22.450718
Hemidactylus mabouia,-47.541227,-22.281355
Hemidactylus mabouia,-42.771061,-22.451142
Hemidactylus mabouia,-43.979117,-19.834733
Hemidactylus mabouia,-49.232216,-25.447871
Hemidactylus mabouia,-47.645405,-22.706817
Hemidactylus mabouia,-56.621874,-16.378759
Hemidactylus mabouia,-42.296556,-21.658075
Hemidactylus mabouia,-47.989245,-15.823733
Hemidactylus mabouia,-35.223515,-5.930694
Hemidactylus mabouia,-47.975037,-15.87228
Hemidactylus mabouia,-46.57892,-23.54042
Hemidactylus mabouia,-39.596845,-13.027989
Hemidactylus mabouia,-42.029428,-20.905037
Hemidactylus mabouia,-35.482692,-9.366658
Hemidactylus mabouia,-67.869197,-9.95616
Hemidactylus mabouia,-46.665526,-23.174209
Hemidactylus mabouia,-46.665509,-23.174339
Hemidactylus mabouia,-42.771033,-22.451144
Hemidactylus mabouia,-51.150318,-30.00082
Hemidactylus mabouia,-48.681452,-24.551377
Hemidactylus mabouia,-47.535195,-22.456165
Hemidactylus mabouia,-43.245812,-22.876527
