Species,decimalLongitude,decimalLatitude
Hemiodus orthonops,-54.589444,-25.4075
Hemiodus orthonops,-53.251944,-22.761111
Hemiodus orthonops,-54.549444,-25.446944
Hemiodus orthonops,-53.508438,-21.586212
Hemiodus orthonops,-57.018333,-19.577222
Hemiodus orthonops,-57.018333,-19.577222
Hemiodus orthonops,-57.018333,-19.577222
Hemiodus orthonops,-57.018333,-19.577222
Hemiodus orthonops,-57.018333,-19.577222
Hemiodus orthonops,-57.018333,-19.577222
Hemiodus orthonops,-57.018333,-19.577222
Hemiodus orthonops,-57.018333,-19.577222
Hemiodus orthonops,-57.018333,-19.577222
Hemiodus orthonops,-52.909611,-22.460361
Hemiodus orthonops,-53.31385,-22.770458
Hemiodus orthonops,-53.096128,-22.559525
Hemiodus orthonops,-53.290556,-22.723056
Hemiodus orthonops,-51.853028,-21.255778
Hemiodus orthonops,-52.117306,-21.037422
Hemiodus orthonops,-52.481667,-21.689089
Hemiodus orthonops,-57.85389,-21.33806
Hemiodus orthonops,-57.85389,-21.33806
Hemiodus orthonops,-53.740278000000004,-17.995833
Hemiodus orthonops,-54.355833,-24.854167
Hemiodus orthonops,-56.388333,-20.263056
Hemiodus orthonops,-52.950556,-20.390833
Hemiodus orthonops,-54.743056,-24.240556
Hemiodus orthonops,-54.74,-17.519444
Hemiodus orthonops,-54.74,-17.519444
Hemiodus orthonops,-52.146106,-21.037217
Hemiodus orthonops,-52.120333,-21.020222
Hemiodus orthonops,-57.394722,-19.518056
Hemiodus orthonops,-53.290278,-22.723056
Hemiodus orthonops,-53.290278,-22.723056
Hemiodus orthonops,-54.461681,-25.643981
Hemiodus orthonops,-54.461681,-25.643981
Hemiodus orthonops,-57.906111,-21.08
Hemiodus orthonops,-53.266667,-22.75
Hemiodus orthonops,-53.539167,-22.799722
Hemiodus orthonops,-55.940556,-15.973889
Hemiodus orthonops,-55.704444,-11.653611
Hemiodus orthonops,-52.033333,-19.5
Hemiodus orthonops,-57.25,-19.166667
Hemiodus orthonops,-52.033333,-19.5
Hemiodus orthonops,-57.25,-19.166667
Hemiodus orthonops,-57.25,-19.166667
Hemiodus orthonops,-57.25,-19.166667
Hemiodus orthonops,-55.619167,-14.831667
Hemiodus orthonops,-56.183333,-21.216667
Hemiodus orthonops,-56.183333,-21.216667
Hemiodus orthonops,-54.25,-25
Hemiodus orthonops,-57.23333,-19.2
Hemiodus orthonops,-56.966667,-19.616667
Hemiodus orthonops,-54.633333,-25.416667
Hemiodus orthonops,-57.018889,-19.576667
Hemiodus orthonops,-57.25,-15.4
Hemiodus orthonops,-57.166668,-15.083333
Hemiodus orthonops,-57.011667,-19.576944
Hemiodus orthonops,-54.583333,-25.433333
Hemiodus orthonops,-57.012778,-19.576111
Hemiodus orthonops,-57.012778,-19.576111
Hemiodus orthonops,-54.583333,-25.433333
Hemiodus orthonops,-54.583333,-25.433333
Hemiodus orthonops,-54.583333,-25.433333
Hemiodus orthonops,-54.583333,-25.433333
Hemiodus orthonops,-55.8,-20.466667
Hemiodus orthonops,-54.583333,-25.433333
Hemiodus orthonops,-54.583333,-25.433333
Hemiodus orthonops,-54.583333,-25.433333
Hemiodus orthonops,-56.849998,-16.75
Hemiodus orthonops,-54.583333,-25.433333
Hemiodus orthonops,-54.583333,-25.433333
Hemiodus orthonops,-54.633333,-25.516667
Hemiodus orthonops,-56,-15.916667
Hemiodus orthonops,-56.216667,-15.35
Hemiodus orthonops,-55.95,-16.183333
Hemiodus orthonops,-56.966667,-19.683333
Hemiodus orthonops,-55.95,-16.183333
Hemiodus orthonops,-54.316667,-24.166667
Hemiodus orthonops,-57.416667,-19.416667
Hemiodus orthonops,-56.416667,-14.833333
Hemiodus orthonops,-56.05,-15.633333
Hemiodus orthonops,-56.083333,-15.866667
Hemiodus orthonops,-57.166667,-15.066667
Hemiodus orthonops,-54.75,-18.5
Hemiodus orthonops,-57.656667,-15.914722
Hemiodus orthonops,-58.466667,-15.883333
Hemiodus orthonops,-56.05,-12.883333
Hemiodus orthonops,-57.594222,-16.946028
