scientific_name,decimalLongitude,decimalLatitude
Heptapleurum arboricola,-49.024848,-25.385915
Heptapleurum arboricola,-49.025025,-25.3859
Heptapleurum arboricola,-47.891887,-15.797443
Heptapleurum arboricola,-35.10984,-7.407613
Heptapleurum arboricola,-44.204936,-23.114291
Heptapleurum arboricola,-46.26965,-22.847095
Heptapleurum arboricola,-45.012283,-23.407508
Heptapleurum arboricola,-43.654758,-22.646833
Heptapleurum arboricola,-52.615397,-31.512045
Heptapleurum arboricola,-46.726028,-23.55995
Heptapleurum arboricola,-46.635819,-23.564708
Heptapleurum arboricola,-38.9525,-12.268333
Heptapleurum arboricola,-46.886495,-23.193009
Heptapleurum arboricola,-45.376373,-23.819092
Heptapleurum arboricola,-49.269966,-25.437242
Heptapleurum arboricola,-49.280278,-25.377989
Heptapleurum arboricola,-49.014266,-25.384937999999998
Heptapleurum arboricola,-46.656503,-23.554416
Heptapleurum arboricola,-46.481059,-23.544826
Heptapleurum arboricola,-46.585282,-23.477755
Heptapleurum arboricola,-46.387331,-23.500704
Heptapleurum arboricola,-46.386538,-23.499973
Heptapleurum arboricola,-44.524543,-22.446208
Heptapleurum arboricola,-38.945556,-12.258889
Heptapleurum arboricola,-49.258727,-25.37615
Heptapleurum arboricola,-47.859444,-15.833172
Heptapleurum arboricola,-46.938367,-23.231686
Heptapleurum arboricola,-51.155208,-28.895314
Heptapleurum arboricola,-48.917069,-27.09895
Heptapleurum arboricola,-43.161745,-22.437132
Heptapleurum arboricola,-49.268364,-25.527254
Heptapleurum arboricola,-49.268328,-25.527251
Heptapleurum arboricola,-48.922074,-27.114647
Heptapleurum arboricola,-48.636428,-26.9757
Heptapleurum arboricola,-49.342631,-25.43595
Heptapleurum arboricola,-43.470559,-22.454951
Heptapleurum arboricola,-40.0415,-13.5225
Heptapleurum arboricola,-49.250347,-25.450405
Heptapleurum arboricola,-49.278568,-26.794508
Heptapleurum arboricola,-47.864714,-15.737629
Heptapleurum arboricola,-49.08104,-26.92519
Heptapleurum arboricola,-36.484442,-8.889656
Heptapleurum arboricola,-46.260833,-23.553174
Heptapleurum arboricola,-36.481997,-8.889035
Heptapleurum arboricola,-43.610639,-19.314176
Heptapleurum arboricola,-44.159111,-23.14061
Heptapleurum arboricola,-52.360278,-24.053333
Heptapleurum arboricola,-52.360472,-24.053444
Heptapleurum arboricola,-46.761153,-23.542191
Heptapleurum arboricola,-49.251403,-25.37717
Heptapleurum arboricola,-49.249333,-25.37745
Heptapleurum arboricola,-49.24855,-25.37902
Heptapleurum arboricola,-49.278921,-26.794102
Heptapleurum arboricola,-49.47221,-27.03949
Heptapleurum arboricola,-49.283604,-25.397542
Heptapleurum arboricola,-46.759538,-23.537659
Heptapleurum arboricola,-43.667015,-19.884909
Heptapleurum arboricola,-46.759592,-23.538866
Heptapleurum arboricola,-49.262608,-25.339238
Heptapleurum arboricola,-47.922088,-15.7949
Heptapleurum arboricola,-47.966724,-15.835864
Heptapleurum arboricola,-47.878082,-15.779302
Heptapleurum arboricola,-44.972410000000004,-22.207597
Heptapleurum arboricola,-49.359722,-20.785
Heptapleurum arboricola,-47.861839,-15.736968
Heptapleurum arboricola,-46.580969,-23.708377
Heptapleurum arboricola,-47.538767,-23.578721
Heptapleurum arboricola,-47.945357,-15.806375
Heptapleurum arboricola,-48.506202,-27.724026
Heptapleurum arboricola,-47.886265,-15.777187
Heptapleurum arboricola,-54.575,-25.463333
Heptapleurum arboricola,-54.575,-25.463333
Heptapleurum arboricola,-49.237842,-25.444722
Heptapleurum arboricola,-42.986944,-22.928333
Heptapleurum arboricola,-48.523486,-27.603125
Heptapleurum arboricola,-49.050019,-26.928248
Heptapleurum arboricola,-43.291073,-22.952942
Heptapleurum arboricola,-47.976344,-15.910564
Heptapleurum arboricola,-48.631639,-27.745639
Heptapleurum arboricola,-39.207778,-13.905278
Heptapleurum arboricola,-49.21025,-25.439083
Heptapleurum arboricola,-46.511111,-22.8375
Heptapleurum arboricola,-49.079167,-26.905556
Heptapleurum arboricola,-49.079167,-26.905556
Heptapleurum arboricola,-48.785824,-25.465117
Heptapleurum arboricola,-41.8,-13.583333
Heptapleurum arboricola,-41.383333,-12.55
Heptapleurum arboricola,-49.079167,-26.905556
Heptapleurum arboricola,-49.079167,-26.905556
Heptapleurum arboricola,-47.783889,-15.7975
Heptapleurum arboricola,-47.916667,-15.916667
Heptapleurum arboricola,-47.373611,-22.424722
Heptapleurum arboricola,-47.626667,-22.712778
Heptapleurum arboricola,-47.626556,-22.712778
Heptapleurum arboricola,-47.626556,-22.712806
Heptapleurum arboricola,-48.92,-27.08
