scientific_name,decimalLongitude,decimalLatitude
Hevea brasiliensis,-55.499429,-11.835538
Hevea brasiliensis,-47.019955,-22.905768
Hevea brasiliensis,-60.672969,-3.219396
Hevea brasiliensis,-47.019955,-22.905742
Hevea brasiliensis,-55.54438,-11.86241
Hevea brasiliensis,-39.057269,-14.568261
Hevea brasiliensis,-47.019944,-22.905693
Hevea brasiliensis,-47.019967,-22.905733
Hevea brasiliensis,-60.430691,-7.769325
Hevea brasiliensis,-60.504128,-3.092461
Hevea brasiliensis,-61.354569,-1.93848
Hevea brasiliensis,-47.255278,-4.819722
Hevea brasiliensis,-47.019944,-22.905764
Hevea brasiliensis,-72.694188,-7.594073
Hevea brasiliensis,-72.667375,-7.627001
Hevea brasiliensis,-72.678334,-7.628141
Hevea brasiliensis,-73.029126,-7.313558
Hevea brasiliensis,-67.870718,-9.961189
Hevea brasiliensis,-60.021731,-3.119027
Hevea brasiliensis,-47.019948,-22.905738
Hevea brasiliensis,-60.39,-6.84
Hevea brasiliensis,-54.614167,-20.496111
Hevea brasiliensis,-52.560556,-5.850278
Hevea brasiliensis,-52.560556,-5.850278
Hevea brasiliensis,-52.560556,-5.850278
Hevea brasiliensis,-54.14147,-17.200053
Hevea brasiliensis,-59.777878,-2.448197
Hevea brasiliensis,-54.954642,-2.504264
Hevea brasiliensis,-59.939663,-3.003225
Hevea brasiliensis,-48.426389,-14.253889
Hevea brasiliensis,-63.662222,-10.790278
Hevea brasiliensis,-54.9495,-2.503773
Hevea brasiliensis,-39.09055,-14.145522
Hevea brasiliensis,-43.915833,-19.891944
Hevea brasiliensis,-59.983611,-3.079444
Hevea brasiliensis,-59.983333,-3.079167
Hevea brasiliensis,-54.950556,-3.389167
Hevea brasiliensis,-54.950556,-3.389167
Hevea brasiliensis,-54.951111,-3.371111
Hevea brasiliensis,-54.951111,-3.371111
Hevea brasiliensis,-54.950556,-3.389167
Hevea brasiliensis,-67.870714,-9.960561
Hevea brasiliensis,-47.019938,-22.905698
Hevea brasiliensis,-59.983384,-3.079029
Hevea brasiliensis,-59.983081,-3.079058
Hevea brasiliensis,-55.035925,-2.81079
Hevea brasiliensis,-59.504167,-10.059167
Hevea brasiliensis,-59.515833,-10.056111
Hevea brasiliensis,-40.079099,-19.135573
Hevea brasiliensis,-47.01994,-22.905753
Hevea brasiliensis,-39.285278,-14.306944
Hevea brasiliensis,-49.281667,-8.274722
Hevea brasiliensis,-55.244167,-3.038333
Hevea brasiliensis,-51.595278,0.9275
Hevea brasiliensis,-46.957513,-23.035588
Hevea brasiliensis,-59.928611,-3.079167
Hevea brasiliensis,-59.987314,-3.095952
Hevea brasiliensis,-60.02149,-3.1352
Hevea brasiliensis,-55.501667,-11.836667
Hevea brasiliensis,-55.501667,-11.836667
Hevea brasiliensis,-55.641667,-11.581944
Hevea brasiliensis,-63.838889,-7.783056
Hevea brasiliensis,-48.441389,-1.388889
Hevea brasiliensis,-39.059444,-14.568611
Hevea brasiliensis,-55.641667,-11.581944
Hevea brasiliensis,-52.212222,-3.198611
Hevea brasiliensis,-39.151667,-13.876389
Hevea brasiliensis,-65.042778,-10.9175
Hevea brasiliensis,-67.667701,-9.752014
Hevea brasiliensis,-67.795956,-9.964434
Hevea brasiliensis,-68.995833,-9.270278
Hevea brasiliensis,-55.425,-11.514444
Hevea brasiliensis,-60.3698,-13.020456
Hevea brasiliensis,-55.504722,-11.353056
Hevea brasiliensis,-56.170278,-10.028889
Hevea brasiliensis,-56.170222,-10.028972
Hevea brasiliensis,-54.446667,-13.111944
Hevea brasiliensis,-57.023056,-9.236944
Hevea brasiliensis,-56.841389,-9.268333
Hevea brasiliensis,-61.330906,-11.490581
Hevea brasiliensis,-39.116667,-15.483333
Hevea brasiliensis,-39.116667,-15.483333
Hevea brasiliensis,-55.828611,-9.465833
Hevea brasiliensis,-56,-9
Hevea brasiliensis,-54.446667,-13.111944
Hevea brasiliensis,-55.523056,-10.992222
Hevea brasiliensis,-55.523056,-10.992222
Hevea brasiliensis,-55.523056,-10.992222
Hevea brasiliensis,-55.523056,-10.992222
Hevea brasiliensis,-55.523056,-10.992222
Hevea brasiliensis,-51.817778,-3.204444
Hevea brasiliensis,-55.757222,-10.985556
Hevea brasiliensis,-47.842778,-21.100278
Hevea brasiliensis,-55.757222,-10.985556
Hevea brasiliensis,-47.842861,-21.100222
Hevea brasiliensis,-47.842777,-21.100277
Hevea brasiliensis,-55.747778,-10.830556
Hevea brasiliensis,-51.764722,-3.239722
Hevea brasiliensis,-55.528611,-10.806667
Hevea brasiliensis,-52.060278,-3.256111
Hevea brasiliensis,-52.061111,-3.268333
Hevea brasiliensis,-55.736667,-11.012778
Hevea brasiliensis,-55.33,-11.043056
Hevea brasiliensis,-55.33,-11.043056
Hevea brasiliensis,-55.350833,-11.021389
Hevea brasiliensis,-55.351667,-11.015
Hevea brasiliensis,-55.736667,-11.01
Hevea brasiliensis,-54.594722,-10.417333
Hevea brasiliensis,-52.176111,-3.216944
Hevea brasiliensis,-52.036389,-3.321111
Hevea brasiliensis,-52.19,-3.210278
Hevea brasiliensis,-52.206111,-3.23
Hevea brasiliensis,-55.452833,-10.525444
Hevea brasiliensis,-59.95,-3.37
Hevea brasiliensis,-59.95,-3.37
Hevea brasiliensis,-55.420278,-11.000833
Hevea brasiliensis,-39.194972,-13.805194
Hevea brasiliensis,-39.11419,-13.48187
Hevea brasiliensis,-55.700861,-10.815806
Hevea brasiliensis,-55.999444,-9.896389
Hevea brasiliensis,-55.999556,-9.896389
Hevea brasiliensis,-51.781944,-3.210556
Hevea brasiliensis,-55.4825,-10.987222
