scientific_name,decimalLongitude,decimalLatitude
Hippobroma longiflora,-43.211152,-22.960884
Hippobroma longiflora,-44.173805,-23.147697
Hippobroma longiflora,-43.20999,-22.960087
Hippobroma longiflora,-43.240873,-22.966649
Hippobroma longiflora,-45.199836,-23.508306
Hippobroma longiflora,-45.158489,-23.530278
Hippobroma longiflora,-46.753684,-24.121702
Hippobroma longiflora,-43.677627,-22.549749
Hippobroma longiflora,-45.187533,-23.533082
Hippobroma longiflora,-34.966791,-8.078372
Hippobroma longiflora,-43.227577,-22.967376
Hippobroma longiflora,-45.173183,-23.493942
Hippobroma longiflora,-42.716164,-21.402861
Hippobroma longiflora,-34.946325,-8.01191
Hippobroma longiflora,-36.199765,-9.167869
Hippobroma longiflora,-48.831502,-26.315999
Hippobroma longiflora,-35.182827,-8.724114
Hippobroma longiflora,-39.824859,-19.579583
Hippobroma longiflora,-46.785036,-24.168447
Hippobroma longiflora,-43.177686,-22.692399
Hippobroma longiflora,-48.455833,-25.222353
Hippobroma longiflora,-34.92603,-8.057728
Hippobroma longiflora,-49.120215,-5.381612
Hippobroma longiflora,-46.730439,-23.566311
Hippobroma longiflora,-38.716667,-3.9
Hippobroma longiflora,-48.680076,-24.55209
Hippobroma longiflora,-38.49972,-3.755328
Hippobroma longiflora,-45.01227,-23.408017
Hippobroma longiflora,-45.011857,-23.407587
Hippobroma longiflora,-43.82522,-20.0226
Hippobroma longiflora,-48.679775,-24.548717
Hippobroma longiflora,-45.084915,-23.434524
Hippobroma longiflora,-43.224887,-22.969556999999998
Hippobroma longiflora,-43.547592,-23.043547
Hippobroma longiflora,-43.225346,-22.96818
Hippobroma longiflora,-46.400904,-23.932985
Hippobroma longiflora,-44.167637,-23.144161
Hippobroma longiflora,-43.435334,-22.585967
Hippobroma longiflora,-44.169963,-23.134875
Hippobroma longiflora,-43.212186,-22.959426
Hippobroma longiflora,-43.210391,-22.96011
Hippobroma longiflora,-44.887718,-23.364002
Hippobroma longiflora,-44.887494,-23.362867
Hippobroma longiflora,-48.897776,-27.128369
Hippobroma longiflora,-48.988069,-27.085833
Hippobroma longiflora,-48.686735,-27.078173
Hippobroma longiflora,-43.436036,-22.585445
Hippobroma longiflora,-43.436036,-22.585445
Hippobroma longiflora,-43.434962,-22.702488
Hippobroma longiflora,-56.075352,-9.8789650000000009
Hippobroma longiflora,-44.008461,-22.516261
Hippobroma longiflora,-44.765998,-23.197988
Hippobroma longiflora,-51.056096,0.040521
Hippobroma longiflora,-36.488466,-8.890773
Hippobroma longiflora,-38.500208,-3.75478
Hippobroma longiflora,-43.209916,-22.96032
Hippobroma longiflora,-43.209916,-22.96032
Hippobroma longiflora,-43.209852,-22.960479
Hippobroma longiflora,-72.668715,-7.629322
Hippobroma longiflora,-44.296744,-2.601806
Hippobroma longiflora,-41.297753,-21.765367
Hippobroma longiflora,-41.297781,-21.765368
Hippobroma longiflora,-47.014601,-24.370119
Hippobroma longiflora,-49.088628,-26.869142
Hippobroma longiflora,-46.380525,-23.98507
Hippobroma longiflora,-48.662455,-26.826692
Hippobroma longiflora,-48.662455,-26.826692
Hippobroma longiflora,-48.662455,-26.826692
Hippobroma longiflora,-43.211219,-22.960289
Hippobroma longiflora,-43.236808,-22.979873
Hippobroma longiflora,-38.721741,-3.896782
Hippobroma longiflora,-48.957603,-15.85107
Hippobroma longiflora,-44.188014,-23.178244
Hippobroma longiflora,-48.654347,-27.515417
Hippobroma longiflora,-47.863182,-23.973185
Hippobroma longiflora,-39.212778,-13.830833
Hippobroma longiflora,-45.717122,-23.761297
Hippobroma longiflora,-43.04485,-22.862523
Hippobroma longiflora,-50.13995,-15.931305
Hippobroma longiflora,-45.431378,-23.666834
Hippobroma longiflora,-40.49252,-20.669285
Hippobroma longiflora,-40.492169,-20.669113
Hippobroma longiflora,-44.725837,-23.183665
Hippobroma longiflora,-48.662455,-26.826692
Hippobroma longiflora,-41.119855,-20.78481
Hippobroma longiflora,-35.769797,-9.55313
Hippobroma longiflora,-43.417776,-22.58486
Hippobroma longiflora,-47.921067,-25.069553
Hippobroma longiflora,-48.801899,-25.916875
Hippobroma longiflora,-48.833075,-26.297176
Hippobroma longiflora,-44.174447,-23.146094
Hippobroma longiflora,-46.785355,-24.168895
Hippobroma longiflora,-44.886263,-23.363917
Hippobroma longiflora,-38.923263,-4.22661
Hippobroma longiflora,-38.923294,-4.227192
Hippobroma longiflora,-48.960278,-26.999444
Hippobroma longiflora,-48.960278,-26.999444
Hippobroma longiflora,-59.976561,-3.100556
Hippobroma longiflora,-56.066566,-9.876917
Hippobroma longiflora,-48.662455,-26.826692
Hippobroma longiflora,-41.198296,-21.888077
