scientific_name,decimalLongitude,decimalLatitude
Hisonotus notatus,-42.281722,-22.480139
Hisonotus notatus,-42.244778,-22.481083
Hisonotus notatus,-41.038389,-20.867111
Hisonotus notatus,-41.485278,-20.490278
Hisonotus notatus,-41.038389,-20.867111
Hisonotus notatus,-41.082139,-20.858694
Hisonotus notatus,-41.485278,-20.490278
Hisonotus notatus,-41.586944,-22.049444
Hisonotus notatus,-41.485278,-20.490278
Hisonotus notatus,-41.472778,-20.466944
Hisonotus notatus,-45.5075,-23.644167
Hisonotus notatus,-41.632222,-21.810833
Hisonotus notatus,-41.632222,-21.810833
Hisonotus notatus,-41.679722,-21.8625
Hisonotus notatus,-41.739444,-21.836111
Hisonotus notatus,-42.657333,-22.479583
Hisonotus notatus,-41.839722,-22.198889
Hisonotus notatus,-42.315833,-18.99
Hisonotus notatus,-41.412417,-21.440805
Hisonotus notatus,-41.708194,-21.360917
Hisonotus notatus,-42.12,-21.54
Hisonotus notatus,-42.11528,-21.5375
Hisonotus notatus,-40.7419422,-20.7793813
Hisonotus notatus,-42.656944,-22.8125
Hisonotus notatus,-42.552778000000004,-22.569167
Hisonotus notatus,-42.603333,-22.588611
Hisonotus notatus,-41.862222,-22.235278
Hisonotus notatus,-42.010278,-22.2875
Hisonotus notatus,-42.566667,-22.566667
Hisonotus notatus,-42.566667,-22.566667
Hisonotus notatus,-42.566667,-22.566667
Hisonotus notatus,-41.054444,-20.898889
Hisonotus notatus,-48.301667,-25.257778
Hisonotus notatus,-48.301667,-25.257778
Hisonotus notatus,-45.595,-22.87
Hisonotus notatus,-47.8162108,-24.7304781
Hisonotus notatus,-47.8093091,-24.5023775
Hisonotus notatus,-48.9979194,-24.6343746
Hisonotus notatus,-49.0832209,-24.6062753
Hisonotus notatus,-47.4776069,-24.2082776
Hisonotus notatus,-47.4776069,-24.2082776
Hisonotus notatus,-47.8504072,-24.1618765
Hisonotus notatus,-47.4885049,-24.1965775
Hisonotus notatus,-42.894444,-22.503056
Hisonotus notatus,-47.8579073,-24.1801775
Hisonotus notatus,-47.8907106,-24.1929754
Hisonotus notatus,-48.0529128,-24.2376761
Hisonotus notatus,-42.487222,-22.507222
Hisonotus notatus,-42.490278000000004,-22.525278
Hisonotus notatus,-42.4725,-22.575278
Hisonotus notatus,-42.675,-22.71
Hisonotus notatus,-42.816667,-22.516667
Hisonotus notatus,-49.36667,-26.33333
Hisonotus notatus,-43.104444,-22.613611
Hisonotus notatus,-42.897222,-22.519167
Hisonotus notatus,-42.659443,-22.485834
Hisonotus notatus,-41.85,-21.633333
Hisonotus notatus,-42.661944,-22.486667
Hisonotus notatus,-43.045833,-22.589722
Hisonotus notatus,-42.661944,-22.486667
Hisonotus notatus,-42.656389,-22.478611
Hisonotus notatus,-41.233889,-21.078611
Hisonotus notatus,-40.945145,-20.871148
Hisonotus notatus,-41.07414,-20.918688
Hisonotus notatus,-42.579722,-22.573611
Hisonotus notatus,-42.718333,-22.635
Hisonotus notatus,-49.85,-27.43333
Hisonotus notatus,-50.08333,-27.21667
Hisonotus notatus,-50.45,-26.16667
Hisonotus notatus,-49.06667,-26.48333
Hisonotus notatus,-50.95,-26.33333
Hisonotus notatus,-42.666667,-22.5
Hisonotus notatus,-43,-22.466667
Hisonotus notatus,-41.85,-21.633333
Hisonotus notatus,-41.85,-21.633333
Hisonotus notatus,-41.75,-21.25
Hisonotus notatus,-41.85,-21.633333
Hisonotus notatus,-41.85,-21.633333
Hisonotus notatus,-41.85,-21.633333
Hisonotus notatus,-42.6,-21.85
Hisonotus notatus,-42.6,-21.85
Hisonotus notatus,-41.85,-21.633333
Hisonotus notatus,-41.75,-21.25
Hisonotus notatus,-42,-21.75
Hisonotus notatus,-41.916667,-21.2
Hisonotus notatus,-42.783333,-22.55
Hisonotus notatus,-44.446667,-22.468889
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.766667,-22.866667
Hisonotus notatus,-43.7,-22.85
Hisonotus notatus,-44.996578,-12.138312
Hisonotus notatus,-41.412983,-20.46397
Hisonotus notatus,-43.2,-22.933333
Hisonotus notatus,-43.21,-22.94
Hisonotus notatus,-43.39,-21.79
Hisonotus notatus,-43.39,-21.79
Hisonotus notatus,-43.39,-21.79
Hisonotus notatus,-42.571306,-22.581722
Hisonotus notatus,-43.3,-22.55
Hisonotus notatus,-42.657222,-22.478889
Hisonotus notatus,-43.351701,-22.975889
Hisonotus notatus,-43.461814,-22.834834
