Species,decimalLongitude,decimalLatitude
Hoplias lacerdae,-43.940789,-16.707271
Hoplias lacerdae,-57.012108,-20.543247
Hoplias lacerdae,-47.824967,-24.4043
Hoplias lacerdae,-47.824917,-24.40375
Hoplias lacerdae,-54.306028,-28.407687
Hoplias lacerdae,-46.922222,-20.203611
Hoplias lacerdae,-46.918889,-20.205556
Hoplias lacerdae,-55.038337,-28.1395
Hoplias lacerdae,-54.896389,-27.700278
Hoplias lacerdae,-47.860167,-24.484731
Hoplias lacerdae,-51.398472,-27.629222
Hoplias lacerdae,-51.471944,-27.605889
Hoplias lacerdae,-51.471944,-27.605889
Hoplias lacerdae,-51.398472,-27.629222
Hoplias lacerdae,-51.471944,-27.605889
Hoplias lacerdae,-51.471944,-27.605889
Hoplias lacerdae,-51.901389,-27.503389
Hoplias lacerdae,-51.901389,-27.503389
Hoplias lacerdae,-61.121389,-1.998889
Hoplias lacerdae,-51.950278,-28.020972
Hoplias lacerdae,-51.950278,-28.020972
Hoplias lacerdae,-50.756278,-28.212944
Hoplias lacerdae,-50.756278,-28.212944
Hoplias lacerdae,-51.856722,-27.537889
Hoplias lacerdae,-51.785139,-27.526944
Hoplias lacerdae,-51.622583,-27.516972
Hoplias lacerdae,-51.856722,-27.537889
Hoplias lacerdae,-51.785139,-27.526944
Hoplias lacerdae,-51.622583,-27.516972
Hoplias lacerdae,-46.842778,-19.300556
Hoplias lacerdae,-47.638333,-19.173056
Hoplias lacerdae,-48.033333,-18.919444
Hoplias lacerdae,-47.730556,-19.129167
Hoplias lacerdae,-48.052778000000004,-18.908333
Hoplias lacerdae,-47.730556,-19.129167
Hoplias lacerdae,-48.033333,-18.919444
Hoplias lacerdae,-52.856389,-19.236944
Hoplias lacerdae,-51.658056,-24.255278
Hoplias lacerdae,-51.658056,-24.255278
Hoplias lacerdae,-51.658056,-24.255278
Hoplias lacerdae,-51.658056,-24.255278
Hoplias lacerdae,-52.4875,-19.524444
Hoplias lacerdae,-52.488333,-19.52
Hoplias lacerdae,-52.520556,-19.537778
Hoplias lacerdae,-52.519722,-19.493611
Hoplias lacerdae,-52.525278,-19.490278
Hoplias lacerdae,-47.638333,-19.173056
Hoplias lacerdae,-47.986111,-18.469444
Hoplias lacerdae,-46.842778,-19.300556
Hoplias lacerdae,-47.990833,-18.451111
Hoplias lacerdae,-49.7975,-18.934167
Hoplias lacerdae,-49.479722,-18.938611
Hoplias lacerdae,-52.488056,-19.5275
Hoplias lacerdae,-52.513611,-19.549167
Hoplias lacerdae,-52.488056,-19.5275
Hoplias lacerdae,-52.52,-19.531944
Hoplias lacerdae,-52.525278,-19.490278
Hoplias lacerdae,-50.502222,-18.994444
Hoplias lacerdae,-51.371944,-16.041111
Hoplias lacerdae,-52.336111,-27.065278
Hoplias lacerdae,-52.342778,-27.071389
Hoplias lacerdae,-59.761389,-13.242222
Hoplias lacerdae,-53.045277,-26.786112
Hoplias lacerdae,-43.3,-18.5
Hoplias lacerdae,-44.240833,-15.112223
Hoplias lacerdae,-51.964167,-12.910278
Hoplias lacerdae,-52.329444,-24.136111
Hoplias lacerdae,-53.116665,-28.25
Hoplias lacerdae,-46.771111,-17.304167
Hoplias lacerdae,-46.974445,-17.935278
Hoplias lacerdae,-46.959446,-17.255556
Hoplias lacerdae,-46.870834,-18.057222
Hoplias lacerdae,-47.693054,-18.104166
Hoplias lacerdae,-55.747776,-29.972778
Hoplias lacerdae,-55.023888,-29.135834
Hoplias lacerdae,-55.110001,-29.175833
Hoplias lacerdae,-41.461389,-16.934722
Hoplias lacerdae,-38.168056,-12.749722
