Species,decimalLongitude,decimalLatitude
Hoplosternum littorale,-44.804771,-19.726638
Hoplosternum littorale,-38.606595,-3.945478
Hoplosternum littorale,-38.496521,-7.113176
Hoplosternum littorale,-42.338487,-22.869007
Hoplosternum littorale,-46.414089,-23.478274
Hoplosternum littorale,-42.333158,-22.874011
Hoplosternum littorale,-41.297886,-21.738838
Hoplosternum littorale,-46.526202,-23.491174
Hoplosternum littorale,-53.700504,-29.708357
Hoplosternum littorale,-45.412517,-20.570028
Hoplosternum littorale,-52.313542,-31.849478
Hoplosternum littorale,-41.775264,-2.899786
Hoplosternum littorale,-58.438531,-3.135041
Hoplosternum littorale,-38.936116,-4.201339
Hoplosternum littorale,-56.218494,-18.104311
Hoplosternum littorale,-37.905487,-4.98345
Hoplosternum littorale,-42.064296,-16.848871
Hoplosternum littorale,-42.064296,-16.848871
Hoplosternum littorale,-40.325278,-20.399167
Hoplosternum littorale,-40.716944,-19.681667
Hoplosternum littorale,-40.716944,-19.681667
Hoplosternum littorale,-56.661204,-16.389285
Hoplosternum littorale,-40.208056,-20.060556
Hoplosternum littorale,-40.203889,-20.115556
Hoplosternum littorale,-56.628114,-16.264503
Hoplosternum littorale,-53.270556,-22.769444
Hoplosternum littorale,-56.612514,-16.382141
Hoplosternum littorale,-56.667983,-17.287894
Hoplosternum littorale,-57.059555,-20.536095
Hoplosternum littorale,-41.472778,-20.466944
Hoplosternum littorale,-40.767889,-19.699111
Hoplosternum littorale,-40.767889,-19.699111
Hoplosternum littorale,-40.327917,-20.398056
Hoplosternum littorale,-38.927914,-15.688067
Hoplosternum littorale,-55.902275,-18.028178
Hoplosternum littorale,-55.881083,-18.003667
Hoplosternum littorale,-56.040639,-18.061611
Hoplosternum littorale,-57.040333,-19.525944
Hoplosternum littorale,-57.040333,-19.525944
Hoplosternum littorale,-57.040333,-19.525944
Hoplosternum littorale,-46.514167,-17.799167
Hoplosternum littorale,-56.859374,-16.743813
Hoplosternum littorale,-57.177203,-21.454328
Hoplosternum littorale,-56.77411,-17.364234
Hoplosternum littorale,-56.729722,-16.554444
Hoplosternum littorale,-57.038056,-19.576389
Hoplosternum littorale,-55.991222,-18.08175
Hoplosternum littorale,-55.939417,-17.994194
Hoplosternum littorale,-55.991222,-18.08175
Hoplosternum littorale,-57.187222,-19.260833
Hoplosternum littorale,-46.941864,-21.365468
Hoplosternum littorale,-46.92691,-21.372471
Hoplosternum littorale,-48.458028,-27.455288
Hoplosternum littorale,-42.352841,-22.898637
Hoplosternum littorale,-54.255278,-24.076111
Hoplosternum littorale,-53.275833,-22.710556
Hoplosternum littorale,-42.675134,-19.815064
