Species,decimalLongitude,decimalLatitude
Hovenia dulcis,-47.747538,-22.614649
Hovenia dulcis,-49.279711,-26.802603
Hovenia dulcis,-48.258249,-18.881144
Hovenia dulcis,-52.462282,-31.449412
Hovenia dulcis,-52.170222,-24.527583
Hovenia dulcis,-49.285633,-26.805406
Hovenia dulcis,-49.508898,-28.487441
Hovenia dulcis,-53.956654,-27.24788
Hovenia dulcis,-49.285555,-26.805556
Hovenia dulcis,-46.693178,-23.643464
Hovenia dulcis,-43.940919,-19.937722
Hovenia dulcis,-43.989688,-19.921847
Hovenia dulcis,-52.41231,-31.801462
Hovenia dulcis,-52.398611,-24.163889
Hovenia dulcis,-52.398778,-24.164
Hovenia dulcis,-52.398611,-24.163889
Hovenia dulcis,-46.641048,-23.057273
Hovenia dulcis,-52.149398,-26.996425
Hovenia dulcis,-49.376269,-25.660077
Hovenia dulcis,-48.001681,-23.879995
Hovenia dulcis,-46.277522,-22.92687
Hovenia dulcis,-42.497062,-22.310076
Hovenia dulcis,-49.227412,-25.449019
Hovenia dulcis,-46.729985,-23.566058
Hovenia dulcis,-51.430342,-23.461668
Hovenia dulcis,-45.529669,-20.311468
Hovenia dulcis,-49.808923,-25.417032
Hovenia dulcis,-45.529764,-20.311447
Hovenia dulcis,-51.189205,-29.450454
Hovenia dulcis,-48.400358,-27.465739
Hovenia dulcis,-54.491455,-25.452009
Hovenia dulcis,-45.545081,-22.96204
Hovenia dulcis,-45.544971,-22.962026
Hovenia dulcis,-47.912486,-22.055242
Hovenia dulcis,-49.611912,-27.266058
Hovenia dulcis,-49.229997,-25.390004
Hovenia dulcis,-49.686708,-25.294719
Hovenia dulcis,-48.895261,-26.224719
Hovenia dulcis,-49.780947,-26.101782
Hovenia dulcis,-46.883431,-23.500224
Hovenia dulcis,-45.530674,-20.311169
Hovenia dulcis,-45.529667,-20.311394
Hovenia dulcis,-54.673808,-30.983396
Hovenia dulcis,-49.330652,-24.116557
Hovenia dulcis,-43.914267,-19.945135
Hovenia dulcis,-46.646654,-23.56796
Hovenia dulcis,-49.346277,-25.894806
Hovenia dulcis,-47.245335,-24.305044
Hovenia dulcis,-48.503355,-27.585175
Hovenia dulcis,-53.618278,-30.372181
Hovenia dulcis,-46.621667,-23.507012
Hovenia dulcis,-52.481306,-24.578111
Hovenia dulcis,-46.551257,-22.971852
Hovenia dulcis,-46.658265,-23.562851
Hovenia dulcis,-51.062432,-26.239856
Hovenia dulcis,-46.693197,-23.627071
Hovenia dulcis,-46.893033,-23.155224
Hovenia dulcis,-43.857619,-19.757489
Hovenia dulcis,-45.530979,-20.31167
Hovenia dulcis,-45.529681,-20.311437
Hovenia dulcis,-45.529718,-20.311445
Hovenia dulcis,-48.922771,-27.093766
Hovenia dulcis,-48.922748,-27.093864
Hovenia dulcis,-49.233967,-25.44742
Hovenia dulcis,-49.233953,-25.447728
Hovenia dulcis,-49.231787,-25.447855
Hovenia dulcis,-51.842918,-27.465269
Hovenia dulcis,-49.990647,-28.602089
Hovenia dulcis,-50.897697,-29.398815
Hovenia dulcis,-51.651649,-23.248377
Hovenia dulcis,-49.617462,-23.055445
Hovenia dulcis,-42.87403,-20.757292
Hovenia dulcis,-47.481781,-21.721382
Hovenia dulcis,-49.294582,-25.463949
Hovenia dulcis,-47.118614,-22.910111
Hovenia dulcis,-47.05638,-22.876602
Hovenia dulcis,-46.141723,-23.246215
Hovenia dulcis,-47.582222,-23.515556
Hovenia dulcis,-51.849889,-24.440472
Hovenia dulcis,-47.468381,-23.546094
Hovenia dulcis,-44.106765,-22.496671
Hovenia dulcis,-47.141292,-22.966345
Hovenia dulcis,-52.678162,-27.055628
Hovenia dulcis,-46.549802,-23.611072
Hovenia dulcis,-47.504847,-23.32254
Hovenia dulcis,-51.461234,-29.656239
Hovenia dulcis,-49.315368,-25.43662
Hovenia dulcis,-46.373221,-23.067844
Hovenia dulcis,-46.373221,-23.067844
Hovenia dulcis,-47.104589,-22.828536
Hovenia dulcis,-51.42834,-23.57695
Hovenia dulcis,-47.653488,-23.30154
Hovenia dulcis,-47.653488,-23.30154
Hovenia dulcis,-50.170487,-22.113089
Hovenia dulcis,-50.170487,-22.113089
Hovenia dulcis,-48.623702,-22.350135
Hovenia dulcis,-52.263611,-24.031944
Hovenia dulcis,-53.431616,-30.902944
Hovenia dulcis,-46.999496,-23.640363
Hovenia dulcis,-49.910556,-22.981667
Hovenia dulcis,-47.894897,-21.992892
Hovenia dulcis,-47.904475,-22.561724
Hovenia dulcis,-49.644609,-27.209613
Hovenia dulcis,-51.251358,-24.238353
Hovenia dulcis,-54.569686,-25.550996
Hovenia dulcis,-49.329108,-28.647835
Hovenia dulcis,-46.551218,-23.664672
Hovenia dulcis,-46.662157,-23.593298
Hovenia dulcis,-47.29985,-23.634057
Hovenia dulcis,-53.643047,-25.785735
Hovenia dulcis,-53.631958,-25.77788
Hovenia dulcis,-51.052327,-30.04861
Hovenia dulcis,-54.279444,-24.083056
Hovenia dulcis,-53.425,-24.190833
Hovenia dulcis,-54.296389,-24.054167
Hovenia dulcis,-54.279444,-24.083056
Hovenia dulcis,-54.296388,-24.054166
Hovenia dulcis,-54.279444,-24.083055
Hovenia dulcis,-52.029983,-27.580355
Hovenia dulcis,-46.569058,-23.103538
Hovenia dulcis,-52.38,-27
Hovenia dulcis,-52.38,-27
