Species,decimalLongitude,decimalLatitude
Hyparrhenia rufa,-47.665278,-15.596111
Hyparrhenia rufa,-47.665278,-15.596111
Hyparrhenia rufa,-47.665277,-15.596111
Hyparrhenia rufa,-38.477039,-6.880001
Hyparrhenia rufa,-57.671444,-16.074028
Hyparrhenia rufa,-38.485539,-3.798901
Hyparrhenia rufa,-47.921667,-15.726944
Hyparrhenia rufa,-47.921666,-15.726944
Hyparrhenia rufa,-42.945278,-22.901389000000002
Hyparrhenia rufa,-42.945278,-22.901389000000002
Hyparrhenia rufa,-39.805556,-18.627778
Hyparrhenia rufa,-47.905556,-15.74
Hyparrhenia rufa,-54.977222,-22.225556
Hyparrhenia rufa,-48.405,-22.929167
Hyparrhenia rufa,-47.905555,-15.74
Hyparrhenia rufa,-54.917333,-9.35975
Hyparrhenia rufa,-47.905556,-15.74
Hyparrhenia rufa,-38.672081,-6.873644
Hyparrhenia rufa,-38.646961,-6.663669
Hyparrhenia rufa,-54.581944,-20.457222
Hyparrhenia rufa,-46,-23
Hyparrhenia rufa,-47.92924,-15.73449
Hyparrhenia rufa,-47.440556,-7.313611
Hyparrhenia rufa,-47.440555,-7.313611
Hyparrhenia rufa,-40.584444,-19.511111
Hyparrhenia rufa,-47.948056,-15.944444
Hyparrhenia rufa,-49.86,-13.32
Hyparrhenia rufa,-55.44,-21.06
Hyparrhenia rufa,-53.46,-19.799722
Hyparrhenia rufa,-48.14,-13.14
Hyparrhenia rufa,-49.86,-13.32
Hyparrhenia rufa,-55.44,-21.06
Hyparrhenia rufa,-53.46,-19.799722
Hyparrhenia rufa,-49.162777,-13.461595
Hyparrhenia rufa,-51.48,-16.199722
Hyparrhenia rufa,-51.48,-16.56
Hyparrhenia rufa,-54.72,-15.66
Hyparrhenia rufa,-53.28,-16.02
Hyparrhenia rufa,-56.88,-15.66
Hyparrhenia rufa,-51.48,-16.199722
Hyparrhenia rufa,-51.48,-16.56
Hyparrhenia rufa,-46.705383,-23.338206
Hyparrhenia rufa,-56.34,-14.94
Hyparrhenia rufa,-43.064167,-20.287222
Hyparrhenia rufa,-42.901667,-20.26
Hyparrhenia rufa,-56.835,-20.719167
Hyparrhenia rufa,23,-23.565833
Hyparrhenia rufa,-47.812222,-15.836667
Hyparrhenia rufa,-46.39,-23.565833
Hyparrhenia rufa,-49.855,-8.233889
Hyparrhenia rufa,-49.441111,-7.979444
Hyparrhenia rufa,-49.449444,-7.979444
Hyparrhenia rufa,-49.855,-8.233889
Hyparrhenia rufa,-56.708056,-21.939444
Hyparrhenia rufa,-56.339722,-14.694167
Hyparrhenia rufa,-49.32,-8.82
Hyparrhenia rufa,-46.98,-5.58
Hyparrhenia rufa,-44.28,-5.22
Hyparrhenia rufa,-47.948056,-15.944444
Hyparrhenia rufa,-53.413056,-18.155278
Hyparrhenia rufa,-50.881944,-20.236944
Hyparrhenia rufa,-50.882222,-20.236944
Hyparrhenia rufa,-48.054167,-16.041667
Hyparrhenia rufa,-41.903056,-13.291667
Hyparrhenia rufa,-47.226775,-23.789428
Hyparrhenia rufa,-56.711408,-21.930675
Hyparrhenia rufa,-48.160833,-16.109444
Hyparrhenia rufa,-46.941111,-20.255278
Hyparrhenia rufa,-46.941111,-20.255278
Hyparrhenia rufa,-46.941111,-20.255306
Hyparrhenia rufa,-43.347222,-22.410556
Hyparrhenia rufa,-51.3,-22.86
Hyparrhenia rufa,-51.3,-22.86
Hyparrhenia rufa,-46.591722,-23.427194
Hyparrhenia rufa,-51.3,-22.86
Hyparrhenia rufa,-46.591667,-23.427222
Hyparrhenia rufa,-51.3,-22.86
Hyparrhenia rufa,-34.920833,-7.920833
Hyparrhenia rufa,-50.132942,-18.427011
Hyparrhenia rufa,-50.132942,-18.427011
Hyparrhenia rufa,-42.120278,-21.130278
Hyparrhenia rufa,-42.120278,-21.780278
Hyparrhenia rufa,-39.015,-4.32
Hyparrhenia rufa,-39.015014,-4.319992
Hyparrhenia rufa,-39.015,-4.32
Hyparrhenia rufa,-50.132942,-18.427011
Hyparrhenia rufa,-44.303667,-2.554056
Hyparrhenia rufa,-47.571944,-15.434444
Hyparrhenia rufa,-47.571944,-15.434444
Hyparrhenia rufa,-48.123611,-15.950556
Hyparrhenia rufa,-47.955556,-15.729167
Hyparrhenia rufa,-47.923611,-15.793333
Hyparrhenia rufa,-47.955556,-15.729167
Hyparrhenia rufa,-47.923611,-15.793333
Hyparrhenia rufa,-48.123611,-15.950555
Hyparrhenia rufa,-47.955555,-15.729166
Hyparrhenia rufa,-47.571111,-15.400278
Hyparrhenia rufa,-47.571111,-15.400278
Hyparrhenia rufa,-47.953056,-15.6675
Hyparrhenia rufa,-47.953056,-15.6675
Hyparrhenia rufa,-54.578378,-16.465103
Hyparrhenia rufa,-47.953055,-15.6675
Hyparrhenia rufa,-47.339167,-23.310556
Hyparrhenia rufa,-55.035833,-19.796389
Hyparrhenia rufa,-47.983889,-15.800833
Hyparrhenia rufa,-47.983889,-15.800833
Hyparrhenia rufa,-47.983889,-15.800833
Hyparrhenia rufa,-50.105278,-17.769167
Hyparrhenia rufa,-40.451944,-20.2975
Hyparrhenia rufa,-40.451806,-20.297611
Hyparrhenia rufa,-49.360556,-26.946667
Hyparrhenia rufa,-49.360278,-26.946667
Hyparrhenia rufa,-50.092222,-17.709722
Hyparrhenia rufa,-49.360556,-26.946667
Hyparrhenia rufa,-49.360556,-26.946667
Hyparrhenia rufa,-50.092222,-17.709722
Hyparrhenia rufa,-49.360556,-26.946667
Hyparrhenia rufa,-51.368333,-30.545556
Hyparrhenia rufa,-51.368333,-30.545556
Hyparrhenia rufa,-51.368611,-30.545555
Hyparrhenia rufa,-57.272777,-15.666111
Hyparrhenia rufa,-51.545833,-17.743056
Hyparrhenia rufa,-51.545833,-17.743056
Hyparrhenia rufa,-44.286944,-21.0475
Hyparrhenia rufa,-51.545833,-17.743055
Hyparrhenia rufa,-51.545833,-17.743055
Hyparrhenia rufa,-43.638611,-9.131111
Hyparrhenia rufa,-44.314167,-2.582222
Hyparrhenia rufa,-50.044722,-6.031111
Hyparrhenia rufa,-50.044722,-6.031111
Hyparrhenia rufa,-50.079444,-6.052778
Hyparrhenia rufa,-57.831278,-16.061
Hyparrhenia rufa,-57.312528,-15.5835
Hyparrhenia rufa,-57.685667,-16.057517
Hyparrhenia rufa,-35.066667,-6.326389
Hyparrhenia rufa,-35.066667,-6.316667
Hyparrhenia rufa,-35.066667,-6.326389
Hyparrhenia rufa,-57.55,-17.877222
Hyparrhenia rufa,-51.468611,-18.692778
Hyparrhenia rufa,-51.468611,-18.692778
Hyparrhenia rufa,-55.751389,-20.792778
Hyparrhenia rufa,-51.468611,-18.692778
Hyparrhenia rufa,-51.468611,-18.692777
Hyparrhenia rufa,-55.255833,-21.370278
Hyparrhenia rufa,-55.255833,-21.370278
Hyparrhenia rufa,-48.511111,-22.8375
Hyparrhenia rufa,-46.511111,-22.8375
Hyparrhenia rufa,-55.432778,-21.617778
Hyparrhenia rufa,-55.528889,-22.031667
Hyparrhenia rufa,-54.843333,-20.754722
Hyparrhenia rufa,-54.216944,-23.344444
Hyparrhenia rufa,-54.345278,-23.887778
Hyparrhenia rufa,-54.4925,-23.821944
Hyparrhenia rufa,-54.681111,-23.656944
Hyparrhenia rufa,-54.886944,-23.655833
Hyparrhenia rufa,-55.209444,-23.193889
Hyparrhenia rufa,-55.229444,-22.940555
Hyparrhenia rufa,-55.613611,-22.655278
Hyparrhenia rufa,-55.529167,-22.031944
Hyparrhenia rufa,-55.432778,-21.618056
Hyparrhenia rufa,-48.511111,-22.8375
Hyparrhenia rufa,-48.754722,-17.777222
Hyparrhenia rufa,-51.685556,-19.141917
Hyparrhenia rufa,-51.940861,-21.101611
Hyparrhenia rufa,-48.754722,-17.777222
Hyparrhenia rufa,-57.621389,-19.076389
Hyparrhenia rufa,-57.506944,-19.209444
Hyparrhenia rufa,-57.401667,-19.245833
Hyparrhenia rufa,-57.511944,-19.258056
Hyparrhenia rufa,-57.578056,-19.3025
Hyparrhenia rufa,-57.591111,-19.325
Hyparrhenia rufa,-54.531389,-20.368889
Hyparrhenia rufa,-54.5075,-20.316667
Hyparrhenia rufa,-54.501389,-20.295555
Hyparrhenia rufa,-54.375556,-19.9975
Hyparrhenia rufa,-54.371111,-19.908611
Hyparrhenia rufa,-54.370833,-19.818333
Hyparrhenia rufa,-54.359444,-19.7625
Hyparrhenia rufa,-54.777778,-19.088055
Hyparrhenia rufa,-54.904722,-18.756944
Hyparrhenia rufa,-55.095278,-18.644167
Hyparrhenia rufa,-54.740555,-17.566389
Hyparrhenia rufa,-54.718611,-17.945555
Hyparrhenia rufa,-54.817778,-18.034444
Hyparrhenia rufa,-54.624167,-18.174167
