scientific_name,decimalLongitude,decimalLatitude
Hyphessobrycon herbertaxelrodi,-54.744167,-17.615833
Hyphessobrycon herbertaxelrodi,-54.83479,-18.422469
Hyphessobrycon herbertaxelrodi,-54.768401,-18.510277
Hyphessobrycon herbertaxelrodi,-54.744226,-17.616957
Hyphessobrycon herbertaxelrodi,-54.18833,-17.60583
Hyphessobrycon herbertaxelrodi,-55.005361,-16.393722
Hyphessobrycon herbertaxelrodi,-54.653139,-16.754194
Hyphessobrycon herbertaxelrodi,-55.925861,-16.313167
Hyphessobrycon herbertaxelrodi,-54.79944,-18.43694
Hyphessobrycon herbertaxelrodi,-54.677222,-18.506389
Hyphessobrycon herbertaxelrodi,-52.1,-18.935278
Hyphessobrycon herbertaxelrodi,-54.964278,-8.746444
Hyphessobrycon herbertaxelrodi,-54.74,-17.519444
Hyphessobrycon herbertaxelrodi,-54.74,-17.519444
Hyphessobrycon herbertaxelrodi,-57.812722,-14.556833
Hyphessobrycon herbertaxelrodi,-57.812722,-14.556833
Hyphessobrycon herbertaxelrodi,-57.812722,-14.556833
Hyphessobrycon herbertaxelrodi,-55.805278,-16.155833
Hyphessobrycon herbertaxelrodi,-55.805278,-16.155833
Hyphessobrycon herbertaxelrodi,-57.551944,-14.350833
Hyphessobrycon herbertaxelrodi,-54.834444,-18.423611
Hyphessobrycon herbertaxelrodi,-57.551944,-14.350833
Hyphessobrycon herbertaxelrodi,-54.676944,-18.480556
Hyphessobrycon herbertaxelrodi,-54.648333,-18.483889
Hyphessobrycon herbertaxelrodi,-54.676944,-18.480556
Hyphessobrycon herbertaxelrodi,-55.8,-16.283333
Hyphessobrycon herbertaxelrodi,-59.408333,-15.200556
Hyphessobrycon herbertaxelrodi,-59.585278,-14.483055
Hyphessobrycon herbertaxelrodi,-62.904389,-12.852278
Hyphessobrycon herbertaxelrodi,-54.835,-18.4225
Hyphessobrycon herbertaxelrodi,-54.835,-18.4225
Hyphessobrycon herbertaxelrodi,-55.339722,-12.177778
Hyphessobrycon herbertaxelrodi,-56.696945,-11.525278
Hyphessobrycon herbertaxelrodi,-54.75,-18.5
Hyphessobrycon herbertaxelrodi,-54.15,-17.2
Hyphessobrycon herbertaxelrodi,-54.15,-17.2
Hyphessobrycon herbertaxelrodi,-54.15,-17.2
Hyphessobrycon herbertaxelrodi,-57.577222,-14.501111
Hyphessobrycon herbertaxelrodi,-57.513611,-14.505833
Hyphessobrycon herbertaxelrodi,-57.699722,-15.478889
