Species,decimalLongitude,decimalLatitude
Hypophthalmichthys nobilis,-53.892778,-28.301667
Hypophthalmichthys nobilis,-53.990333,-25.5881
Hypophthalmichthys nobilis,-53.990333,-25.5881
Hypophthalmichthys nobilis,-53.78,-24.796111
Hypophthalmichthys nobilis,-47.375042,-21.931297
Hypophthalmichthys nobilis,-47.375042,-21.931297
Hypophthalmichthys nobilis,-47.375042,-21.931297
Hypophthalmichthys nobilis,-47.38,-21.93
Hypophthalmichthys nobilis,-47.38,-21.93
Hypophthalmichthys nobilis,-47.38,-21.93
Hypophthalmichthys nobilis,-49.112778,-25.423333
Hypophthalmichthys nobilis,-51.884998,-29.169445
Hypophthalmichthys nobilis,-49.112778,-25.423333
Hypophthalmichthys nobilis,-53.096944,-25.574167
Hypophthalmichthys nobilis,-53.486389,-25.536667
Hypophthalmichthys nobilis,-43.695111,-22.759417
Hypophthalmichthys nobilis,-43.694806,-22.760222
