Species,decimalLongitude,decimalLatitude
Ictalurus punctatus,-53.891364,-27.16169
Ictalurus punctatus,-53.531967,-25.491583
Ictalurus punctatus,-53.531967,-25.491583
Ictalurus punctatus,-46.279167,-23.111667
Ictalurus punctatus,-40.639686,-20.320847
Ictalurus punctatus,-40.637778,-20.321944
Ictalurus punctatus,-53.61305,-25.602333
Ictalurus punctatus,-53.61305,-25.602333
Ictalurus punctatus,-52.434444,-26.761944
Ictalurus punctatus,-52.434444,-26.761944
Ictalurus punctatus,-51.086389,-29.737222
Ictalurus punctatus,-51.888056,-29.171111
Ictalurus punctatus,-51.888056,-29.171111
Ictalurus punctatus,-54.283333,-23.9
Ictalurus punctatus,-54.060833,-24.926944
Ictalurus punctatus,-51.88,-23.264167
Ictalurus punctatus,-48.973611,-25.708056
Ictalurus punctatus,-50.977778,-25.213056
Ictalurus punctatus,-52.085833,-25.753611
